ShipTrip,Section,Station,Lat,Lon,Date,Day,Month,Year,TimeUTC,Season,T#,SampleID,TowDepth,DW_small,DW_large,corrDW_small,corrDW_large,Comments,NewShipTrip,UID,NewSampleID,EmptySampleID
TEM230,S27,S27-01,47.54666667,-52.58666667,1998-10-24,24,10,1998,nan,,3359,,165,0.359,0.143,0.718,0.286,,,,,907
TEM230,S27,S27-01,47.54666667,-52.58666667,1998-11-05,5,11,1998,9:48:00,Fall,3363,,165,0.17,0.14,0.34,0.28,,,,,
TEM232,S27,S27-01,47.54666667,-52.58666667,1998-11-22,22,11,1998,20:45:00,Fall,3361,,165,0.144,0.178,0.288,0.356,,,,,
TEL075,S27,S27-01,47.54666667,-52.58666667,1998-11-24,24,11,1998,4:59:00,Fall,3360,,165,0.193,0.188,0.386,0.376,,,,,
TEM234,S27,S27-01,47.54666667,-52.58666667,1999-03-29,29,3,1999,23:39:00,,3356,,165,0.248,0.248,0.496,0.496,,10234,10234001,50040,
CG206,S27,S27-01,47.54666667,-52.58666667,1999-05-04,4,5,1999,13:30:00,Spring,3357,,165,0.473,0.217,0.946,0.434,,206,27000001,,
TEM237,S27,S27-01,47.54666667,-52.58666667,1999-05-07,7,5,1999,12:45:00,Spring,3355,,165,0.231,0.422,0.462,0.844,,10237,10237103,50060,
TEM238,S27,S27-01,47.54666667,-52.58666667,1999-05-10,10,5,1999,23:00:00,Spring,3353,,165,0.238,0.757,0.476,1.514,,10238,10238102,50070,
TEL078,S27,S27-01,47.54666667,-52.58666667,1999-05-13,13,5,1999,20:55:00,Spring,2512,,162,0.251,0.393,0.502,0.786,,39078,39078111,57102,
TEL078,,FishSet-05,47.5,-52.34166667,1999-05-14,14,5,1999,2:30:00,Spring,2515,,162,0.325,0.519,0.65,1.038,,39078,39078111,,
TEL078,,FishSet-08,47.5,-52.30833333,1999-05-14,14,5,1999,7:32:00,Spring,2514A,,84,0.185,0.147,0.37,0.294,,39078,39078111,,
TEL078,,FishSet-08,47.5,-52.30833333,1999-05-14,14,5,1999,7:32:00,Spring,2514A,,157,0.347,0.501,0.694,1.002,,39078,39078111,,
TEL078,,FishSet-05,47.5,-52.34166667,1999-05-14,14,5,1999,2:30:00,Spring,2515A,,80,0.184,0.23,0.368,0.46,,39078,39078111,,
TEL078,,FishSet-06,47.43666667,-52.24833333,1999-05-14,14,5,1999,11:55:00,Spring,2516A,,154,0.264,0.557,0.528,1.114,,39078,39078111,,
TEL078,,FishSet-06,47.43666667,-52.24833333,1999-05-14,14,5,1999,11:55:00,Spring,2516A,,77,0.208,0.166,0.416,0.332,,39078,39078111,,
TEL078,,Fish Set 11,47.495,-50.18666667,1999-05-15,15,5,1999,19:20:00,Spring,2518A,,50,0.197,0.245,0.394,0.49,,39078,39078111,,
TEL078,,Fish Set 11,47.495,-50.18666667,1999-05-15,15,5,1999,19:20:00,Spring,2518A,,90,0.318,0.234,0.636,0.468,,39078,39078111,,
TEL078,,Fish Set 14,47.99833333,-49.21333333,1999-05-16,16,5,1999,19:20:00,Spring,2517,,200,0.398,1.081,0.796,2.162,,39078,39078111,,
TEL078,,Fish Set 14,47.99833333,-49.21333333,1999-05-16,16,5,1999,19:20:00,Spring,2517A,,70,0.31,0.404,0.62,0.808,,39078,39078111,,
