20118001 9 34 30 60 1013.7 004.2                                               8
20118002 8 15 20 63 1004.7 005.2       03 02 15 06 03                          8
20118003 8 18 26 63 0998.7 007.5 007.5 04 02 15 07 03                          8
20118004 5 22 20 21 0996.9 009.9       04 02 16 06 03                          8
20118005 8 26 39 02 0999.4 008.1       03 03 16 07 04                          8
20118006 8 01 45 02 1002.7 006.4                                               8
20118007 7 26 38 02 1003.3 006.3       04 03 27 08 05                          8
20118008   25 35    1000.7 006.0       09 03 27 09 12                          8
20118009 6 24 46 01 1000.9 005.6       09 02 25 12 10                          8
20118010 6 27 40 03 1003.7 004.3       09 04 27 10 13                          8
20118011 9 26 50 21 1003.0 003.6       09 05 27 10 14                          8
20118012 8 27 46 62 1004.4 002.1       05 04 27 09 12                          8
20118013 8 27 41 69 1007.3 001.6       05 06 27 09 12                          8
20118014 1 28 40 02 1009.6 003.4       27 04 28 10 12                          8
20118015   29 35 23 1014.8 001.9       08 04 27 10 12                          8
20118016 4 30 30 23 1019.5 003.5       08 08 27 09 14                          8
20118017 7 31 38 02 1023.2 003.6       04 07 27 09 14                          8
20118018 8 15 20 02 1027.1 003.1       05 06 30 08 11                          8
20118019 9 28 20 02 1027.2 000.6       08 02 23 10 04                          8
20118020 8 29 15 02 1027.1 003.9       08 02 29 06 08                          8
20118021 9 27 15 03 1027.0 004.7       27 01 27 09 06                          8
20118022 9 25 10 02 1026.1 005.7       05 02 27 10 05                          8
20118023 9 23 10 02 1024.0 006.6       08 02 27 09 06                          8
20118024 8 20 42 63 0996.3 012.7       05 06 18 08 08                          8
20118025 8 26 42 61 0995.0 010.2       06 06 25 09 14                          8
20118026 8 26 53 02 0994.8 008.6       05 08 26 10 16                          8
20118027 9 25 45 02 0991.5 004.1       08 06 26 10 20                          8
20118028 4 31 14 02 1018.2 -01.3       03 03 31 05 05                          8
20118029 3 31 23 02 1019.8 -01.6       03 04 31 06 07                          8
20118030 2 32 25 01 1021.0 -01.9       04 04 32 06 05                          8
20118031 5 34 23 02 1021.3 -01.4       07 02 33 08 06                          8
20118032 5 33 15 03 1023.0 -01.4       05 03 32 12 07                          8
20118033 8 35 05 03 1021.7 -00.7       04 03 32 12 06                          8
20118034 9 28 08 02 1020.3 000.0       08 02 30 10 08                          8
20118035 9 22 07 02 1019.2 001.2       08 02 33 10 10                          8
20118036 9 15 12 02 1014.7 002.7       08 02 27 10 06                          8
20118037 9 13 35 64 1005.8 003.0       10 04 27 10 05                          8
20118038 3 31 36 02 1013.4 004.7       04 04 31 10 08                          8
20118039 7 30 26 02 1016.0 004.2       10 03 31 10 06                          8
20118040 5 29 13 02 1019.1 006.0       08 03 32 12 06                          8
20118041 1 29 10 02 1019.0 005.5       08 03 28 10 08                          8
20118042 8 29 10 01 1019.9 004.9       08 02 28 10 08                          8
20118043 2 30 15 03 1023.5 005.2       08 02 27 10 06                          8
20118044 1 30 15 02 1023.9 005.2       08 02 27 10 06                          8
20118045 0 31 16 02 1025.6 005.1       04 02 31 06 04                          8
20118046 2 32 13 03 1027.5 005.1       03 03 32 09 05                          8
20118047                                                                       8
20118048 3 04 10 02 1028.9 007.8       08 02 30 10 04                          8
20118049 0 07 08 02 1030.7 007.4       08 02 30 10 06                          8
20118050 2 08 10 02 1029.6 006.6       03 02 05 05 04                          8
20118051 0 08 05 01 1029.4 005.9       04 02 05 05 05                          8
20118052 6 16 12 03 1029.2       010.4 05 02 02 08 06                          8
20118053 8 16 17 03 1028.9 012.6       04 03 02 09 05                          8
20118054 9 18 25 02 1027.8 014.1       08 02 06 10 05                          8
20118055 9 15 25 02 1027.1 012.9       08 04 03 10 05                          8
20118056 6 18 30 01 1027.0 013.0       08 04 30 10 05                          8
20118057 9 16 35 02 1025.2 013.9       08 06 30 10 05                          8
20118058 8 17 39 63 1023.6 013.3       04 04 17 09 08                          8
20118059 8 17 35 63 1022.9 010.6       04 04 17 09 09                          8
20118060 8 14 32 61 1020.2 012.2       04 04 14 10 10                          8
20118061 9 16 35 28 1011.2 010.2       02 02 18 10 09                          8
20118062 9 18 30 28 1002.9 010.6       08 02 13 10 05                          8
20118063 8 31 20 02 1009.0 005.2       04 03 20 08 04                          8
20118064 8 31 21 02 1011.7 004.3       03 01 25 07 04                          8
20118065 8 31 21 02 1011.8 003.5       03 02 20 07 04                          8
20118066 8 31 10 02 1011.3 003.8       08 02 28 09 04                          8
20118067 6 35 05 02 1010.8 003.7       09 03 28 13 06                          8
20118068 2 33 10 02 1010.6 003.6       08 01 30 10 03                          8
20118069 3 14 10 02 1009.9 003.3       08 01 28 10 04                          8
20118070 9 12 10 01 1008.5 003.3       08 02 28 10 04                          8
20118071 8 13 20 02 1007.7 003.9       08 02 27 10 04                          8
20118072 8 13 20 02 1003.3 006.0       08 02 23 10 04                          8
20110073 8 14 15 53 0999.0 007.6       04 04 18 07 06                          8
20118074 8 17 27 62 0995.2 009.0       03 02 19 05 04                          8
20118075 8 30 31 02 0999.1 000.9       03 04 22 08 06                          8
20118076 7 27 25 01 1001.4 001.1       03 02 27 06 06                          8
20118077 8 26 26 03 1001.9 001.8       04 03 24 09 05                          8
20118078 8 26 30 02 1003.2 -00.6       08 04 26 10 05                          8
20118079 9 24 30 72 1002.7 -01.6       08 02 29 10 05                          8
20118080 7 23 20 02 1002.5 -02.1       08 02 24 10 05                          8
20118081 7 22 26 72 1001.0 -01.7       03 02 24 09 05                          8
20118082 9 25 27 74 0999.2 -00.8       04 00 23 08 05                          8
20118083 6 25 32 70 1000.0 -00.3       03 02 25 10 06                          8
20118084 8 28 32 97 1008.9 -00.8       08 06 27 10 08                          8
20118085 8 28 30 02 1007.7 000.3       08 04 29 10 06                          8
20118086 6 27 30 02 1005.4 000.2       08 04 27 10 06                          8
20118087 6 28 29 02 1003.2 000.6       08 04 30 10 08                          8
20118088 3 34 28 01 1005.8 001.7       06 04 03 09 09                          8
20118089 6 02 23 03 1007.6 001.5       04 04 31 09 06                          8
20118090 8 02 27 97 1006.6 000.8       06 04 35 09 06                          8
20118091 9 09 18 41 1008.1 000.5       04 02 32 08 03                          8
20118092 9 02 24 41 1007.4 002.7       05 03 32 08 04                          8
20118093 9 03 20 41 1007.3 002.2       08 01 03 08 03                          8
20118094 9 03 20 41 1007.8 002.5       08 02 03 10 04                          8
20118095 9 00 25 41 1008.2 002.2       08 02 03 10 04                          8
20118096   00 20 02 1010.4 001.7             00 10 02                          8
20118097 9 36 29 41 1009.5 002.0       03 02 36 06 04                          8
20118098 9 35 27 40 1010.9 001.9       04 03 00 07 05                          8
20118099 8 35 18 02 1014.5 002.0       03 02 35 06 04                          8
20118100 8 36 27 02 1015.0 001.7       04 04 36 08 06                          8
20118101 8 36 22 02 1015.3 001.4       04 04 36 09 06                          8
20118102 8 35 22 02 1014.5 000.9       04 04 36 11 08                          8
20118103                                                                       8
20118104 9 00 20 41 1014.6 000.3       08 04 03 12 04                          8
20118105 9 35 18 02 1014.8 000.2       08 04 03 10 06                          8
20118106 9 01 20 02 1014.6 000.8       08 02 03 12 06                          8
20118107 6 02 12 01 1014.5 001.1       03 02 02 05 03                          8
20118108 7 04 12 03 1015.1 001.3       03 02 03 05 04                          8
20118109 8 04 15 97 1014.9 001.5       03 02 03 07 06                          8
20118110 4 07 10 02 1013.4 002.4       06 01 07 12 09                          8
20118111 7 08 18 02 1012.6 003.7       08 01 03 12 06                          8
20118112 2 09 20 02 1008.1 004.5       08 03 04 12 06                          8
20118113 8 10 37 03 0999.6 006.4       04 04 07 10 06                          8
20118114 8 16 21 02 0980.2 004.3       04 04 09 08 06                          8
20118115 9 07 07 47 0983.0 003.4       04 04 09 10 10                          8
20118116 9 00 10 41 0983.1 003.7       08 02 07 12 08                          8
20118117 6 01 15 02 0983.8 004.0       08 02 03 12 07                          8
20118118 6 00 15 02 0983.9 004.3       08 01 04 12 06                          8
20118119 9 35 20 41 0985.5 003.8       08 01 03 12 05                          8
20118120 9 36 27 45 0990.0 004.3       04 03 04 08 05                          8
20118121 8 36 27 61 0991.1 003.9       04 03 04 08 06                          8
20118122 9 36 26 63 0995.3 003.2       04 04 04 09 07                          8
20118123 9 36 23 51 0998.8 002.8       03 02 02 08 06                          8
20118124 9 35 21 50 1001.3 002.3       04 03 01 10 06                          8
20118125 9 00 25 50 1002.7 002.1       07 02 00 10 05                          8
20118126 9 01 20 50 1004.1 002.1       08 02 01 10 05                          8
20118127 9 00 20 02 1006.9 002.0       08 02 03 12 05                          8
20118128 9 35 20 03 1008.3 001.8       08 02 03 12 05                          8
20118129 9 34 20 02 1010.6 001.5       08 02 03 12 04                          8
20118130 9 35 20 02 1011.6 001.3       08 01 03 12 04                          8
20118131 9 00 15 02 1013.1 001.4       08 01 03 10 04                          8
20118132 9 00 10 02 1014.4 001.3       08 02 03 10 03                          8
20118133 8 34 18 02 1017.1 001.0       03 02 36 09 04                          8
20118134 8 35 22 02 1018.9 001.6       03 01 36 08 04                          8
20118001 9 34 30 60 1013.7 004.2                                               8
20118002 8 15 20 63 1004.7 005.2       03 02 15 06 03                          8
20118003 8 18 26 63 0998.7 007.5 007.5 04 02 15 07 03                          8
20118004 5 22 20 21 0996.9 009.9       04 02 16 06 03                          8
20118005 8 26 39 02 0999.4 008.1       03 03 16 07 04                          8
20118006 8 01 45 02 1002.7 006.4                                               8
20118007 7 26 38 02 1003.3 006.3       04 03 27 08 05                          8
20118008   25 35    1000.7 006.0       09 03 27 09 12                          8
20118009 6 24 46 01 1000.9 005.6       09 02 25 12 10                          8
20118010 6 27 40 03 1003.7 004.3       09 04 27 10 13                          8
20118011 9 26 50 21 1003.0 003.6       09 05 27 10 14                          8
20118012 8 27 46 62 1004.4 002.1       05 04 27 09 12                          8
20118013 8 27 41 69 1007.3 001.6       05 06 27 09 12                          8
20118014 1 28 40 02 1009.6 003.4       27 04 28 10 12                          8
20118015   29 35 23 1014.8 001.9       08 04 27 10 12                          8
20118016 4 30 30 23 1019.5 003.5       08 08 27 09 14                          8
20118017 7 31 38 02 1023.2 003.6       04 07 27 09 14                          8
20118018 8 15 20 02 1027.1 003.1       05 06 30 08 11                          8
20118019 9 28 20 02 1027.2 000.6       08 02 23 10 04                          8
20118020 8 29 15 02 1027.1 003.9       08 02 29 06 08                          8
20118021 9 27 15 03 1027.0 004.7       27 01 27 09 06                          8
20118022 9 25 10 02 1026.1 005.7       05 02 27 10 05                          8
20118023 9 23 10 02 1024.0 006.6       08 02 27 09 06                          8
20118024 8 20 42 63 0996.3 012.7       05 06 18 08 08                          8
20118025 8 26 42 61 0995.0 010.2       06 06 25 09 14                          8
20118026 8 26 53 02 0994.8 008.6       05 08 26 10 16                          8
20118027 9 25 45 02 0991.5 004.1       08 06 26 10 20                          8
20118028 4 31 14 02 1018.2 -01.3       03 03 31 05 05                          8
20118029 3 31 23 02 1019.8 -01.6       03 04 31 06 07                          8
20118030 2 32 25 01 1021.0 -01.9       04 04 32 06 05                          8
20118031 5 34 23 02 1021.3 -01.4       07 02 33 08 06                          8
20118032 5 33 15 03 1023.0 -01.4       05 03 32 12 07                          8
20118033 8 35 05 03 1021.7 -00.7       04 03 32 12 06                          8
20118034 9 28 08 02 1020.3 000.0       08 02 30 10 08                          8
20118035 9 22 07 02 1019.2 001.2       08 02 33 10 10                          8
20118036 9 15 12 02 1014.7 002.7       08 02 27 10 06                          8
