Mission / Project
 Identifier: TEL197
 Name: AZMP
 Operator: WB/CB/RD/BD
 Research centre: NAFC
 Dates: APRIL 11-18, 2019
 Platform: CCGS TELEOST

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
433276,8.486,0.083,2019-04-13 15:23:27,8.544,8.427,,,,
433275,8.428,0.035,2019-04-13 15:46:17,8.452,8.403,,,,
433274,8.407,0.006,2019-04-13 15:54:38,8.411,8.403,,,,
433273,8.506,0.013,2019-04-13 16:16:10,8.515,8.497,,,,
433272,8.396,0.029,2019-04-13 16:30:04,8.376,8.417,,,,
433271,8.361,0.042,2019-04-13 16:45:24,8.331,8.390,,,,
433270,8.178,0.006,2019-04-13 16:59:53,8.182,8.173,,,,
433269,7.752,0.016,2019-04-13 17:13:00,7.763,7.741,,,,
433268,7.269,0.018,2019-04-13 17:25:36,7.282,7.256,,,,
433302,8.539,0.004,2019-04-13 22:09:33,8.542,8.536,,,,
433301,8.572,0.013,2019-04-13 22:22:15,8.581,8.562,,,,
433300,8.508,0.037,2019-04-13 22:34:55,8.535,8.482,,,,
433299,8.451,0.001,2019-04-13 22:47:29,8.452,8.451,,,,
433298,8.432,0.002,2019-04-13 22:59:49,8.431,8.434,,,,
433297,8.350,0.013,2019-04-13 23:12:09,8.341,8.359,,,,
433296,7.803,0.000,2019-04-13 23:24:19,7.803,,,,,
433295,7.250,0.003,2019-04-13 23:34:51,7.252,7.248,,,,
433344,5.699,0.788,2019-04-14 20:21:47,5.142,6.256,,,,
433345,6.554,0.004,2019-04-14 20:36:48,6.551,6.557,,,,
433346,7.694,0.011,2019-04-14 20:49:26,7.687,7.702,,,,
433347,7.575,0.036,2019-04-14 21:02:32,7.550,7.601,,,,
433348,7.582,0.021,2019-04-14 21:15:04,7.567,7.597,,,,
433349,7.577,0.008,2019-04-14 21:27:52,7.571,7.583,,,,
433350,7.585,0.017,2019-04-14 21:41:12,7.573,7.597,,,,
433351,7.591,0.015,2019-04-14 21:54:25,7.580,7.601,,,,
433352,7.636,0.007,2019-04-14 22:08:24,7.641,7.631,,,,
433353,7.618,0.000,2019-04-14 22:20:47,7.618,NaN,,,,
433392,7.000,0.010,2019-04-15 14:23:50,6.993,7.007,,,,
433391,7.005,0.045,2019-04-15 14:38:04,7.037,6.974,,,,
433390,6.886,0.019,2019-04-15 14:49:17,6.873,6.900,,,,
433389,6.422,0.013,2019-04-15 14:59:21,6.413,6.431,,,,
433388,5.748,0.033,2019-04-15 15:10:06,5.771,5.725,,,,
433387,5.982,0.028,2019-04-15 15:18:42,5.962,6.002,,,,
433393,6.986,0.030,2019-04-15 15:28:09,6.965,7.008,,,,
433394,7.002,0.017,2019-04-15 15:39:00,7.014,6.990,,,,
433395,7.009,0.007,2019-04-15 15:49:22,7.014,7.004,,,,
433396,6.983,0.001,2019-04-15 16:00:32,6.983,6.984,,,,
433418,6.034,0.019,2019-04-15 23:05:46,6.020,6.047,,,,
433419,6.316,0.028,2019-04-15 23:18:55,6.335,6.296,,,,
433420,6.847,0.019,2019-04-15 23:30:49,6.860,6.833,,,,
433421,6.851,0.008,2019-04-15 23:47:20,6.845,6.857,,,,
433422,6.895,0.017,2019-04-15 23:59:43,6.907,6.883,,,,
433423,6.960,0.002,2019-04-16 00:11:37,6.961,6.958,,,,
433424,6.926,0.035,2019-04-16 00:24:15,6.951,6.902,,,,
433425,6.915,0.002,2019-04-16 00:35:04,6.913,6.916,,,,
433426,6.941,0.004,2019-04-16 00:46:30,6.939,6.944,,,,
433427,6.938,0.008,2019-04-16 00:56:46,6.932,6.944,,,,
433462,6.879,0.021,2019-04-16 13:31:19,6.894,6.864,,,,
433461,6.226,0.013,2019-04-16 13:43:53,6.235,6.217,,,,
433460,6.023,0.029,2019-04-16 13:53:57,6.043,6.002,,,,
433459,5.997,0.001,2019-04-16 14:05:20,5.998,5.996,,,,
433458,6.208,0.011,2019-04-16 14:17:02,6.216,6.200,,,,
433457,6.223,0.100,2019-04-16 14:29:01,6.152,6.293,,,,
433463,6.889,0.018,2019-04-16 15:06:03,6.876,6.902,,,,
433464,6.905,0.033,2019-04-16 15:18:55,6.881,6.928,,,,
433465,6.884,0.008,2019-04-16 15:30:26,6.879,6.890,,,,
433466,6.868,0.020,2019-04-16 15:43:15,6.882,6.854,,,,
433468,6.824,0.005,2019-04-16 15:55:40,6.820,6.827,,,,
