Mission / Project
Identifier: TEL200
Name: AZMP
Operator: WB/DB/BP/RD
Research centre: NAFC
Dates: JULY 2019
Platform: TELEOST

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
433878,6.717,0.042,2019-06-27 15:05:10,6.747,6.688,,,,
433879,8.695,0.047,2019-06-27 15:17:07,8.662,8.729,,,,
433880,8.847,0.124,2019-06-27 15:29:57,8.759,8.935,,,,
433881,8.803,0.008,2019-06-27 16:15:06,8.798,8.809,,,,
433882,8.726,0.006,2019-06-27 16:26:32,8.721,8.730,,,,
433883,8.422,0.021,2019-06-27 16:37:00,8.407,8.436,,,,
433884,8.173,0.003,2019-06-27 16:47:26,8.175,8.171,,,,
433885,8.063,0.047,2019-06-27 16:57:20,8.097,8.030,,,,
433886,7.962,0.011,2019-06-27 17:06:51,7.969,7.954,,,,
433907,6.225,0.011,2019-06-27 22:51:44,6.233,6.217,,,,
433914,7.769,0.000,2019-06-27 23:02:41,7.769,,,,,
433913,7.780,0.006,2019-06-27 23:08:34,7.775,7.784,,,,
433908,7.806,0.033,2019-06-27 23:24:23,7.783,7.829,,,,
433909,8.605,0.066,2019-06-27 23:36:31,8.652,8.558,,,,
433910,8.695,0.017,2019-06-27 23:47:15,8.683,8.707,,,,
433911,8.149,0.012,2019-06-27 23:59:11,8.157,8.140,,,,
433912,7.956,0.004,2019-06-28 00:09:41,7.959,7.953,,,,
433958,6.160,0.029,2019-06-28 22:07:50,6.181,6.140,,,,
433959,7.525,0.001,2019-06-28 22:19:36,7.526,7.524,,,,
433960,8.352,0.001,2019-06-28 22:30:35,8.353,8.351,,,,
433961,8.465,0.007,2019-06-28 22:40:54,8.460,8.470,,,,
433962,8.708,0.013,2019-06-28 22:52:07,8.717,8.699,,,,
433963,8.873,0.009,2019-06-28 23:03:31,8.880,8.867,,,,
433964,8.591,0.030,2019-06-28 23:14:48,8.612,8.570,,,,
433965,8.242,0.015,2019-06-28 23:26:02,8.253,8.232,,,,
433966,8.029,0.018,2019-06-28 23:36:39,8.042,8.017,,,,
433967,8.042,0.010,2019-06-28 23:47:57,8.049,8.035,,,,
434010,7.454,0.008,2019-06-29 14:19:19,7.460,7.449,,,,
434009,7.470,0.008,2019-06-29 14:31:18,7.475,7.464,,,,
434008,7.755,0.021,2019-06-29 14:42:40,7.770,7.740,,,,
434007,7.878,0.001,2019-06-29 14:54:13,7.878,7.879,,,,
434006,8.060,0.013,2019-06-29 15:04:24,8.069,8.051,,,,
434005,7.666,0.028,2019-06-29 15:15:25,7.686,7.646,,,,
