Mission / Project
 Identifier: TEL210
 Name: AZMP
 Operator: WB/MG/RD/SS/TB
 Research centre: NAFC
 Dates: July 2020
 Platform: Teleost

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
435770,6.343,0.007,2020-07-15 12:49:27,6.348,6.338,,,,
435769,6.348,0.006,2020-07-15 13:00:19,6.344,6.352,,,,
435768,6.594,0.016,2020-07-15 13:19:51,6.605,6.583,,,,
435762,6.259,0.008,2020-07-15 13:41:39,6.265,6.254,,,,
435763,6.603,0.017,2020-07-15 13:51:59,6.615,6.591,,,,
435764,7.473,0.000,2020-07-15 14:02:45,7.473,NaN,,,,
435765,8.012,0.023,2020-07-15 14:11:01,7.996,8.028,,,,
435766,7.723,0.006,2020-07-15 14:21:16,7.719,7.727,,,,
435767,7.690,0.031,2020-07-15 14:33:58,7.712,7.668,,,,
435796,6.369,0.005,2020-07-15 20:58:28,6.372,6.365,,,,
435795,6.380,0.003,2020-07-15 21:11:32,6.378,6.382,,,,
435794,6.459,0.021,2020-07-15 21:24:06,6.474,6.444,,,,
435793,7.572,0.045,2020-07-15 21:37:03,7.603,7.540,,,,
435792,8.003,0.098,2020-07-15 21:49:01,8.072,7.934,,,,
435791,7.508,0.078,2020-07-15 22:02:00,7.452,7.563,,,,
435790,6.696,0.001,2020-07-15 22:12:05,6.696,6.695,,,,
435789,6.695,0.034,2020-07-15 22:21:34,6.719,6.671,,,,
435838,6.505,0.561,2020-07-17 00:36:18,6.902,6.108,,,,
435839,7.199,0.080,2020-07-17 00:51:37,7.142,7.255,,,,
435840,7.694,0.119,2020-07-17 01:02:59,7.778,7.610,,,,
435841,7.299,0.941,2020-07-17 01:16:05,6.633,7.964,,,,
435842,7.514,0.561,2020-07-17 01:28:28,7.911,7.117,,,,
435843,7.273,1.619,2020-07-17 01:55:54,6.128,8.417,,,,
