Filename,Instr,PrimOSens,SecOSens,PrimSOC,SecSOC
79001001,1221,3313,3539,5.0160e-001,5.4070e-001,
79001008,1221,3313,3539,5.0160e-001,5.4070e-001,
79001010,1221,3313,3539,5.0160e-001,5.4070e-001,
79001011,1221,3313,3539,5.0160e-001,5.4070e-001,
79001012,1221,3313,3539,5.0160e-001,5.4070e-001,
79001013,1221,3313,3539,5.0160e-001,5.4070e-001,
79001021,1257,0709,3538,4.4530e-001,4.1426e-001,
79001022,1257,0709,3538,4.4530e-001,4.1426e-001,
79001023,1257,0709,3538,4.4530e-001,4.1426e-001,
79001024,,0709,3538,4.4530e-001,4.1426e-001,
79001025,,0709,3538,4.4530e-001,4.1426e-001,
79001026,,0709,3538,4.4530e-001,4.1426e-001,
79001027,,0709,3538,4.4530e-001,4.1426e-001,
79001028,,0709,3538,4.4530e-001,4.1426e-001,
79001029,,0709,3538,4.4530e-001,4.1426e-001,
79001030,,0709,3538,4.4530e-001,4.1426e-001,
79001031,,0709,3538,4.4530e-001,4.1426e-001,
79001032,,0709,3538,4.4530e-001,4.1426e-001,
79001033,,0709,3538,4.4530e-001,4.1426e-001,
79001034,,0709,3538,4.4530e-001,4.1426e-001,
79001035,,0709,2550,4.4530e-001,4.7390e-001,
79001048,,0709,2550,4.4530e-001,4.7390e-001,
79001049,,0709,2550,4.4530e-001,4.7390e-001,
79001050,,0709,2550,4.4530e-001,4.7390e-001,
79001051,,0709,2550,4.4530e-001,4.7390e-001,
79001052,,0709,2550,4.4530e-001,4.7390e-001,
79001053,,0709,2550,4.4530e-001,4.7390e-001,
79001054,,0709,2550,4.4530e-001,4.7390e-001,
79001055,,0709,2550,4.4530e-001,4.7390e-001,
79001056,,0709,2550,4.4530e-001,4.7390e-001,
79001057,,0709,2550,4.4530e-001,4.7390e-001,
79001064,,0709,2550,4.4530e-001,4.7390e-001,
79001067,,0709,2550,4.4530e-001,4.7390e-001,
79001068,,0709,2550,4.4530e-001,4.7390e-001,
79001069,,0709,2550,4.4530e-001,4.7390e-001,
79001070,,0709,2550,4.4530e-001,4.7390e-001,
79001071,,0709,2550,4.4530e-001,4.7390e-001,
79001072,,0709,2550,4.4530e-001,4.7390e-001,
79001073,019 07,0709,2550,4.4530e-001,4.7390e-001,
79001074,,0709,2550,4.4530e-001,4.7390e-001,
79001075,,0709,2550,4.4530e-001,4.7390e-001,
79001076,,0709,2550,4.4530e-001,4.7390e-001,
79001077,,0709,2550,4.4530e-001,4.7390e-001,
79001078,,0709,2550,4.4530e-001,4.7390e-001,
79001079,,0709,2550,4.4530e-001,4.7390e-001,
79001080,,0709,2550,4.4530e-001,4.7390e-001,
79001081,,0709,2550,4.4530e-001,4.7390e-001,
79001082,,0709,2550,4.4530e-001,4.7390e-001,
79001083,,0709,2550,4.4530e-001,4.7390e-001,
79001084,,0709,2550,4.4530e-001,4.7390e-001,
79001085,,0709,2550,4.4530e-001,4.7390e-001,
79001086,,0709,2550,4.4530e-001,4.7390e-001,
79001087,,0709,2550,4.4530e-001,4.7390e-001,
79001088,,0709,2550,4.4530e-001,4.7390e-001,
79001089,,0709,2550,4.4530e-001,4.7390e-001,
79001091,,0709,2550,4.4530e-001,4.7390e-001,
79001092,,0709,2550,4.4530e-001,4.7390e-001,
79001093,,0709,2550,4.4530e-001,4.7390e-001,
79001094,,0709,2550,4.4530e-001,4.7390e-001,
79001095,,0709,2550,4.4530e-001,4.7390e-001,
79001096,,0709,2550,4.4530e-001,4.7390e-001,
79001097,,0709,2550,4.4530e-001,4.7390e-001,
79001098,,0709,2550,4.4530e-001,4.7390e-001,
79001099,,0709,2550,4.4530e-001,4.7390e-001,
79001100,,0709,2550,4.4530e-001,4.7390e-001,
79001101,,0709,2550,4.4530e-001,4.7390e-001,
79001102,,0709,2550,4.4530e-001,4.7390e-001,
79001103,,0709,2550,4.4530e-001,4.7390e-001,
79001104,,0709,2550,4.4530e-001,4.7390e-001,
79001111,,0709,2550,4.4530e-001,4.7390e-001,
79001112,,0709,2550,4.4530e-001,4.7390e-001,
79001113,,0709,2550,4.4530e-001,4.7390e-001,
79001114,,0709,2550,4.4530e-001,4.7390e-001,
79001115,,0709,2550,4.4530e-001,4.7390e-001,
79001116,,0709,2550,4.4530e-001,4.7390e-001,
79001117,,0709,2550,4.4530e-001,4.7390e-001,
79001118,,0709,2550,4.4530e-001,4.7390e-001,
79001119,,0709,2550,4.4530e-001,4.7390e-001,
79001120,,0709,2550,4.4530e-001,4.7390e-001,
79001121,,0709,2550,4.4530e-001,4.7390e-001,
79001122,,0709,2550,4.4530e-001,4.7390e-001,
79001123,,0709,2550,4.4530e-001,4.7390e-001,
79001124,,0709,2550,4.4530e-001,4.7390e-001,
79001125,,0709,2550,4.4530e-001,4.7390e-001,
79001126,,0709,2550,4.4530e-001,4.7390e-001,
79001127,,0709,2550,4.4530e-001,4.7390e-001,
79001128,,0709,2550,4.4530e-001,4.7390e-001,
