Filename,ID,Cruise ID,Ship,Trip,Station,Latitude,Longitude,Datetime,SerialNumber,Sounder Depth,Sample Size,Comments
10552001.cnv,10552001,10552,10,552,001,47.55,-52.59,2004-07-21 23:20:00, S0277, 0176,,    STATION 27
10552002.cnv,10552002,10552,10,552,002,47.35,-52.66,2004-07-22 20:45:00, XBT10, 0136,,  STN27-FC01-01
10552003.cnv,10552003,10552,10,552,003,47.18,-52.74,2004-07-22 21:45:00, XBT07, 0154,,  STN27-FC01-02
10552004.cnv,10552004,10552,10,552,004,47.0,-52.83,2004-07-22 23:00:00, S0277, 0105,,    FC-01
10552005.cnv,10552005,10552,10,552,005,47.0,-52.7,2004-07-23 00:34:00, S0277, 0184,,    FC-02
10552006.cnv,10552006,10552,10,552,006,47.0,-52.58,2004-07-23 02:09:00, S0277, 0160,,    FC-03
10552007.cnv,10552007,10552,10,552,007,47.0,-52.32,2004-07-23 04:51:00, S0277, 0124,,    FC-04
10552008.cnv,10552008,10552,10,552,008,47.0,-52.03,2004-07-23 07:21:00, S0277, 0139,,    FC-05
10552009.cnv,10552009,10552,10,552,009,47.0,-51.48,2004-07-23 10:13:00, S0277, 0099,,    FC-06
10552010.cnv,10552010,10552,10,552,010,47.0,-51.0,2004-07-23 12:30:00, S0277, 0102,,    FC-07
10552011.cnv,10552011,10552,10,552,011,47.0,-50.67,2004-07-23 14:38:00, S0277, 0176,,    FC-08
10552012.cnv,10552012,10552,10,552,012,47.0,-50.0,2004-07-23 17:34:00, S0277, 0084,,    FC-09
10552013.cnv,10552013,10552,10,552,013,47.0,-49.12,2004-07-23 21:37:00, S0277, 0080,,    FC-10
10552014.cnv,10552014,10552,10,552,014,47.0,-48.62,2004-07-24 00:18:00, S0277, 0103,,    FC-11
10552015.cnv,10552015,10552,10,552,015,47.0,-48.12,2004-07-24 03:41:00, S0277, 0134,,    FC-12
10552016.cnv,10552016,10552,10,552,016,47.0,-47.82,2004-07-24 06:16:00, S0277, 0165,,    FC-13
10552017.cnv,10552017,10552,10,552,017,47.0,-47.5,2004-07-24 08:29:00, S0277, 0214,,    FC-14
10552018.cnv,10552018,10552,10,552,018,47.0,-47.25,2004-07-24 10:38:00, S0277, 0538,,    FC-15
10552019.cnv,10552019,10552,10,552,019,47.0,-47.17,2004-07-24 13:31:00, S0277, 0846,,    FC-16
10552020.cnv,10552020,10552,10,552,020,47.0,-47.02,2004-07-24 15:15:00, S0277, 1131,,    FC-17
10552021.cnv,10552021,10552,10,552,021,47.0,-46.83,2004-07-24 18:25:00, S0277, 1172,,    FC-18
10552022.cnv,10552022,10552,10,552,022,47.0,-46.67,2004-07-24 19:58:00, S0277, 0865,,    FC-19
10552023.cnv,10552023,10552,10,552,023,47.0,-46.48,2004-07-24 21:39:00, S0277, 0344,,    FC-20
10552024.cnv,10552024,10552,10,552,024,47.0,-46.02,2004-07-25 01:31:00, S0277, 0302,,    FC-21
10552025.cnv,10552025,10552,10,552,025,47.0,-45.73,2004-07-25 05:36:00, S0277, 0274,,    FC-22
10552026.cnv,10552026,10552,10,552,026,47.0,-45.5,2004-07-25 07:26:00, S0277, 0248,,    FC-23
10552027.cnv,10552027,10552,10,552,027,47.0,-45.21,2004-07-25 09:10:00, S0277, 0166,,    FC-24
10552028.cnv,10552028,10552,10,552,028,47.0,-44.99,2004-07-25 11:16:00, S0277, 0148,,    FC-25
10552029.cnv,10552029,10552,10,552,029,47.0,-44.77,2004-07-25 12:32:00, S0277, 0148,,    FC-26
10552030.cnv,10552030,10552,10,552,030,47.0,-44.58,2004-07-25 14:18:00, S0277, 0135,,    FC-27
10552031.cnv,10552031,10552,10,552,031,47.0,-44.43,2004-07-25 15:10:00, S0277, 0151,,    FC-28
10552032.cnv,10552032,10552,10,552,032,47.0,-44.23,2004-07-25 16:19:00, S0277, 0271,,    FC-29
10552033.cnv,10552033,10552,10,552,033,47.0,-44.08,2004-07-25 18:02:00, S0277, 0329,,    FC-30
10552034.cnv,10552034,10552,10,552,034,47.0,-43.83,2004-07-25 19:26:00, S0277, 0555,,    FC-31
10552035.cnv,10552035,10552,10,552,035,47.0,-43.4,2004-07-25 22:50:00, S0277, 1229,,    FC-33
10552036.cnv,10552036,10552,10,552,036,47.0,-43.0,2004-07-26 02:01:00, S0277, 3550,,    FC-35
10552037.cnv,10552037,10552,10,552,037,47.29,-43.39,2004-07-26 07:30:00, XBT07, 2500,,  FC-35TOBB15-01
10552038.cnv,10552038,10552,10,552,038,47.63,-43.89,2004-07-26 10:30:00, XBT07, 0642,,  FC-35TOBB15-02
10552039.cnv,10552039,10552,10,552,039,48.02,-44.43,2004-07-26 13:30:00, XBT07, 0511,,  FC-35TOBB15-03
10552040.cnv,10552040,10552,10,552,040,48.39,-44.99,2004-07-26 16:30:00, XBT07, 0660,,  FC35-BB15-0440
10552045.cnv,10552045,10552,10,552,045,50.33,-47.95,2004-07-27 10:50:00, S0277, 2621,,    BB-15
10552046.cnv,10552046,10552,10,552,046,50.15,-48.47,2004-07-27 15:12:00, S0277, 2291,,    BB-14
10552047.cnv,10552047,10552,10,552,047,50.0,-49.0,2004-07-27 19:56:00, S0277, 1815,,    BB-13
10552048.cnv,10552048,10552,10,552,048,49.85,-49.5,2004-07-28 00:14:00, S0277, 1335,,    BB-12
10552049.cnv,10552049,10552,10,552,049,49.68,-50.02,2004-07-28 05:14:00, S0277, 0594,,    BB-11
10552050.cnv,10552050,10552,10,552,050,49.52,-50.53,2004-07-28 09:11:00, S0277, 0330,,    BB-10
10552051.cnv,10552051,10552,10,552,051,49.37,-51.02,2004-07-28 12:58:00, S0277, 0334,,    BB-09
10552052.cnv,10552052,10552,10,552,052,49.28,-51.28,2004-07-28 14:56:00, S0277, 0320,,    BB-08
10552053.cnv,10552053,10552,10,552,053,49.19,-51.54,2004-07-28 17:31:00, S0277, 0311,,    BB-07
10552054.cnv,10552054,10552,10,552,054,49.1,-51.83,2004-07-28 19:25:00, S0277, 0291,,    BB-06
10552055.cnv,10552055,10552,10,552,055,49.02,-52.07,2004-07-28 21:55:00, S0277, 0290,,    BB-05
10552056.cnv,10552056,10552,10,552,056,48.92,-52.4,2004-07-29 00:14:00, S0277, 0348,,    BB-04
10552057.cnv,10552057,10552,10,552,057,48.83,-52.65,2004-07-29 02:56:00, S0277, 0253,,    BB-03
10552058.cnv,10552058,10552,10,552,058,48.8,-52.75,2004-07-29 04:08:00, S0277, 0176,,    BB-02
10552059.cnv,10552059,10552,10,552,059,48.73,-52.97,2004-07-29 06:33:00, S0277, 0100,,    BB-01
10552060.cnv,10552060,10552,10,552,060,48.97,-53.2,2004-07-29 15:30:00, XBT07, 0323,,  BB01-SI01-01
10552061.cnv,10552061,10552,10,552,061,49.32,-53.25,2004-07-29 17:30:00, XBT10, 0127,,  BB01-SI01-02
10552062.cnv,10552062,10552,10,552,062,49.63,-53.45,2004-07-29 19:30:00, XBT10, 0128,,  BB01-SI01-03
10552063.cnv,10552063,10552,10,552,063,49.91,-53.84,2004-07-29 21:30:00, XBT10, 0168,,  BB01-SI01-04
10552064.cnv,10552064,10552,10,552,064,50.26,-54.04,2004-07-29 23:30:00, XBT07, 0302,,  BB01-SI01-05
10552065.cnv,10552065,10552,10,552,065,50.62,-54.23,2004-07-30 01:30:00, XBT07, 0287,,  BB01-SI01-06
10552066.cnv,10552066,10552,10,552,066,50.88,-54.35,2004-07-30 03:30:00, XBT07, 0246,,  BB01-SI01-07
10552067.cnv,10552067,10552,10,552,067,51.08,-54.47,2004-07-30 05:30:00, XBT07, 0224,,  BB01-SI01-08
10552068.cnv,10552068,10552,10,552,068,51.35,-54.62,2004-07-30 07:30:00, XBT07, 0257,,  BB01-SI01-09
10552069.cnv,10552069,10552,10,552,069,51.68,-54.78,2004-07-30 09:30:00, XBT10, 0179,,  BB01-SI01-10
10552070.cnv,10552070,10552,10,552,070,51.92,-54.99,2004-07-30 11:30:00, XBT07, 0243,,  BB01-SI01-11
10552071.cnv,10552071,10552,10,552,071,52.16,-55.29,2004-07-30 13:30:00, XBT10, 0174,,  BB01-SI01-12
10552072.cnv,10552072,10552,10,552,072,52.48,-55.46,2004-07-30 15:30:00, XBT10, 0185,,  BB01-SI01-13
10552073.cnv,10552073,10552,10,552,073,52.83,-55.55,2004-07-30 17:30:00, XBT10, 0138,,  BB01-SI01-14
10552074.cnv,10552074,10552,10,552,074,53.23,-55.65,2004-07-30 19:51:00, S0277, 0068,,    SI-01
10552075.cnv,10552075,10552,10,552,075,53.33,-55.5,2004-07-30 20:56:00, S0277, 0139,,    SI-02
10552076.cnv,10552076,10552,10,552,076,53.41,-55.36,2004-07-30 22:37:00, S0277, 0168,,    SI-03
10552077.cnv,10552077,10552,10,552,077,53.53,-55.15,2004-07-31 00:02:00, S0277, 0205,,    SI-04
10552078.cnv,10552078,10552,10,552,078,53.62,-55.0,2004-07-31 01:42:00, S0277, 0293,,    SI-05
10552079.cnv,10552079,10552,10,552,079,53.76,-54.78,2004-07-31 03:34:00, S0277, 0167,,    SI-06
10552080.cnv,10552080,10552,10,552,080,53.92,-54.5,2004-07-31 06:03:00, S0277, 0171,,    SI-07
10552081.cnv,10552081,10552,10,552,081,54.08,-54.22,2004-07-31 07:54:00, S0277, 0190,,    SI-08
10552082.cnv,10552082,10552,10,552,082,54.2,-54.0,2004-07-31 09:56:00, S0277, 0212,,    SI-09
10552083.cnv,10552083,10552,10,552,083,54.35,-53.73,2004-07-31 12:29:00, S0277, 0232,,    SI-10
10552084.cnv,10552084,10552,10,552,084,54.5,-53.5,2004-07-31 14:59:00, S0277, 0318,,    SI-11
10552085.cnv,10552085,10552,10,552,085,54.63,-53.25,2004-07-31 16:45:00, S0277, 0674,,    SI-12
10552086.cnv,10552086,10552,10,552,086,54.78,-53.0,2004-07-31 19:37:00, S0277, 1053,,    SI-13
