Mission / Project
Identifier: HUD118
Name: AZMP
Operator: WB/RD/BP/FC
Research centre: NAFC
Dates: NOV 10 TO DEC 3 2018
Platform: HUDSON

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
432536,5.933,0.017,2018-11-13 00:08:56,5.945,5.921,,,,
432535,5.888,0.002,2018-11-13 00:22:57,5.886,5.889,,,,
432534,5.900,0.004,2018-11-13 00:35:20,5.898,5.903,,,,
432528,6.279,0.021,2018-11-13 00:46:22,6.294,6.264,,,,
432529,6.406,0.074,2018-11-13 00:58:28,6.458,6.354,,,,
432530,6.084,0.010,2018-11-13 01:11:24,6.077,6.091,,,,
432531,5.922,0.026,2018-11-13 01:24:34,5.940,5.903,,,,
432532,5.918,0.005,2018-11-13 01:37:41,5.914,5.921,,,,
432533,5.902,0.011,2018-11-13 01:50:56,5.895,5.910,,,,
432561,5.925,0.053,2018-11-13 13:53:39,5.963,5.888,,,,
432560,5.789,0.032,2018-11-13 14:05:40,5.766,5.811,,,,
432559,5.713,0.011,2018-11-13 14:22:41,5.721,5.706,,,,
432558,5.747,0.028,2018-11-13 15:09:40,5.727,5.766,,,,
432557,5.765,0.037,2018-11-13 15:20:06,5.791,5.739,,,,
432556,5.721,0.006,2018-11-13 15:32:08,5.725,5.717,,,,
432555,5.726,0.035,2018-11-13 15:44:35,5.750,5.701,,,,
432554,5.705,0.077,2018-11-13 15:55:53,5.759,5.650,,,,
432553,4.293,0.286,2018-11-13 16:07:09,4.091,4.495,,,,
432552,2.811,0.000,2018-11-13 16:24:48,NaN,2.811,,,,
432551,3.462,0.008,2018-11-13 16:32:56,3.467,3.456,,,,
432630,6.263,0.277,2018-11-16 15:21:44,6.459,6.067,,,,
432629,6.579,0.029,2018-11-16 15:34:49,6.599,6.558,,,,
432628,6.340,0.066,2018-11-16 15:47:02,6.387,6.293,,,,
432627,6.132,0.028,2018-11-16 15:58:58,6.151,6.112,,,,
432626,5.809,0.037,2018-11-16 16:15:59,5.783,5.836,,,,
432625,5.764,0.016,2018-11-16 16:28:27,5.775,5.752,,,,
432634,6.089,0.003,2018-11-16 16:38:15,6.087,6.091,,,,
432633,6.109,0.016,2018-11-16 16:48:46,6.097,6.120,,,,
432632,5.776,0.337,2018-11-16 16:58:57,6.014,5.537,,,,
432631,6.058,0.052,2018-11-16 17:09:08,6.095,6.021,,,,
432663,5.902,0.063,2018-11-17 05:30:49,5.947,5.858,,,,
432662,5.861,0.002,2018-11-17 05:41:15,5.862,5.859,,,,
432661,5.648,0.290,2018-11-17 05:59:03,5.853,5.443,,,,
432660,5.841,0.008,2018-11-17 06:03:51,5.835,5.847,,,,
432659,5.848,0.012,2018-11-17 06:18:34,5.856,5.839,,,,
432658,5.840,0.016,2018-11-17 06:33:52,5.851,5.828,,,,
432657,5.873,0.012,2018-11-17 06:45:25,5.881,5.864,,,,
432691,5.942,0.132,2018-11-18 20:21:56,6.036,5.849,,,,
432685,5.530,0.008,2018-11-18 20:33:27,5.524,5.536,,,,
432686,5.782,0.002,2018-11-18 20:44:33,5.780,5.783,,,,
432687,5.777,0.011,2018-11-18 20:55:24,5.785,5.770,,,,
432688,5.756,0.001,2018-11-18 21:05:35,5.755,5.757,,,,
432689,5.780,0.025,2018-11-18 21:15:49,5.762,5.798,,,,
432690,5.758,0.006,2018-11-18 21:30:42,5.762,5.754,,,,
432718,5.691,0.077,2018-11-19 08:38:15,5.746,5.637,,,,
432717,5.395,0.056,2018-11-19 08:48:50,5.355,5.434,,,,
432716,5.363,0.004,2018-11-19 09:00:08,5.365,5.360,,,,
432715,5.215,0.008,2018-11-19 09:09:52,5.221,5.209,,,,
432714,5.463,0.009,2018-11-19 09:20:09,5.456,5.469,,,,
432713,5.330,0.004,2018-11-19 09:32:19,5.333,5.327,,,,
432724,5.622,0.070,2018-11-19 09:42:54,5.572,5.671,,,,
432723,5.581,0.001,2018-11-19 09:52:17,5.582,5.580,,,,
432721,5.883,0.131,2018-11-19 10:02:34,5.976,5.791,,,,
432720,5.856,0.000,2018-11-19 10:13:15,5.856,5.856,,,,
432719,5.641,0.016,2018-11-19 10:22:49,5.630,5.652,,,,
432749,5.691,0.062,2018-11-22 15:29:35,5.647,5.735,,,,
