Mission / Project
Identifier: TEL200
Name: AZMP
Operator: WB/DB/BP/RD
Research centre: NAFC
Dates: JULY 2019
Platform: TELEOST
Equation : DO2 = ((Titrant_volume - Blank_mean) * 559.8) / ((Standard_mean - Blank_mean) * (Bottle_volume-2)) - 0.018
Sample,Bottle#,O2_Concentration(ml/l),O2_Uncertainty(ml/l),Titrant_volume(ml),Titrant_uncertainty(ml),Analysis_date,Data_file,Standards(ml),Blanks(ml),Bottle_volume(ml),Initial_transmittance(%%),Standard_transmittance0(%%),Comments
433878_1,253,6.747,0.003,3.132,0.003,2019-06-27 15:05:10,433878_1.tod,2.011 2.004,0.001 0.000,131.110,1.0,2,WB Oxygen concentation recalculated on 2019-07-29 11:25:33.
433878_2,258,6.688,0.003,3.155,0.002,2019-06-27 15:11:16,433878_2.tod,2.011 2.004,0.001 0.000,133.200,1.0,2,WB Oxygen concentation recalculated on 2019-07-29 11:26:48.
433879_1,254,8.662,0.003,4.021,0.002,2019-06-27 15:17:07,433879_1.tod,2.011 2.004,0.001 0.000,131.190,0.8,2,WB Oxygen concentation recalculated on 2019-07-29 11:27:08.
433879_2,252,8.729,0.003,3.999,0.003,2019-06-27 15:23:56,433879_2.tod,2.011 2.004,0.001 0.000,129.510,0.7,2,WB Oxygen concentation recalculated on 2019-07-29 11:27:22.
433880_1,255,8.759,0.006,3.991,0.016,2019-06-27 15:29:57,433880_1.tod,2.011 2.004,0.001 0.000,128.820,0.7,2,Titration problem or stopped by hand. WB Oxygen concentation recalculated on 2019-07-29 11:27:44. Titrant volume and oxygen concentration recalculated on 2019-06-27 19:12:48.
433880_2,251,8.935,0.003,3.869,0.004,2019-06-27 16:08:57,433880_2.tod,2.011 2.004,0.001 0.000,122.520,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:27:57.
433881_1,91,8.798,0.004,4.042,0.007,2019-06-27 16:15:06,433881_1.tod,2.011 2.004,0.001 0.000,129.860,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:28:17.
433881_2,244,8.809,0.003,3.785,0.002,2019-06-27 16:20:48,433881_2.tod,2.011 2.004,0.001 0.000,121.590,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:28:27.
433882_1,86,8.721,0.003,3.975,0.003,2019-06-27 16:26:32,433882_1.tod,2.011 2.004,0.001 0.000,128.850,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:28:49.
433882_2,230,8.730,0.003,4.070,0.003,2019-06-27 16:31:40,433882_2.tod,2.011 2.004,0.001 0.000,131.760,0.5,2,WB Oxygen concentation recalculated on 2019-07-29 11:29:00.
433883_1,247,8.407,0.003,3.952,0.004,2019-06-27 16:37:00,433883_1.tod,2.011 2.004,0.001 0.000,132.820,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:29:17.
433883_2,200,8.436,0.003,3.867,0.002,2019-06-27 16:42:39,433883_2.tod,2.011 2.004,0.001 0.000,129.570,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:29:31.
433884_1,212,8.175,0.003,3.758,0.003,2019-06-27 16:47:26,433884_1.tod,2.011 2.004,0.001 0.000,129.920,0.5,2,WB Oxygen concentation recalculated on 2019-07-29 11:29:45.
433884_2,160,8.171,0.003,3.520,0.003,2019-06-27 16:52:31,433884_2.tod,2.011 2.004,0.001 0.000,121.880,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:29:54.
433885_1,213,8.097,0.004,3.424,0.004,2019-06-27 16:57:20,433885_1.tod,2.011 2.004,0.001 0.000,119.670,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:30:04.
433885_2,219,8.030,0.003,3.969,0.003,2019-06-27 17:01:46,433885_2.tod,2.011 2.004,0.001 0.000,139.530,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:30:16.
433886_1,210,7.969,0.003,3.601,0.002,2019-06-27 17:06:51,433886_1.tod,2.011 2.004,0.001 0.000,127.730,0.6,2,WB Oxygen concentation recalculated on 2019-07-29 11:30:27.
433886_2,40,7.954,0.003,3.671,0.002,2019-06-27 17:11:47,433886_2.tod,2.011 2.004,0.001 0.000,130.430,0.6,2,WB/DR/SR Oxygen concentation recalculated on 2019-07-29 11:30:38.
433907_1,82,6.233,0.003,2.798,0.001,2019-06-27 22:51:44,433907_1.tod,2.011 2.004,0.001 0.000,126.830,0.7,2,SR Oxygen concentation recalculated on 2019-07-29 11:31:22.
433907_2,70,6.217,0.004,2.646,0.003,2019-06-27 22:57:55,433907_2.tod,2.011 2.004,0.001 0.000,120.340,0.9,2,THE COLLECTORS Oxygen concentation recalculated on 2019-07-29 11:31:41.
433914_1,56,7.769,0.003,3.374,0.003,2019-06-27 23:02:41,433914_1.tod,2.011 2.004,0.001 0.000,122.830,0.8,2,SRDR Oxygen concentation recalculated on 2019-07-29 11:34:15.
433913_1,90,7.775,0.003,3.634,0.003,2019-06-27 23:08:34,433913_1.tod,2.011 2.004,0.001 0.000,132.050,0.9,2,SRDR Oxygen concentation recalculated on 2019-07-29 11:33:55.
433913_2,242,7.784,0.003,3.410,0.002,2019-06-27 23:18:22,433913_2.tod,2.011 2.004,0.001 0.000,123.890,1.0,2,SR Oxygen concentation recalculated on 2019-07-29 11:34:05.
433908_1,221,7.783,0.003,4.138,0.003,2019-06-27 23:24:23,433908_1.tod,2.011 2.004,0.001 0.000,149.930,0.6,2,DR Oxygen concentation recalculated on 2019-07-29 11:31:52.
433908_2,65,7.829,0.003,3.653,0.002,2019-06-27 23:31:15,433908_2.tod,2.011 2.004,0.001 0.000,131.830,0.8,2,DR Oxygen concentation recalculated on 2019-07-29 11:32:04.
433909_1,80,8.652,0.003,3.970,0.003,2019-06-27 23:36:31,433909_1.tod,2.011 2.004,0.001 0.000,129.700,0.8,2,DR Oxygen concentation recalculated on 2019-07-29 11:32:16.
433909_2,52,8.558,0.005,3.659,0.008,2019-06-27 23:41:53,433909_2.tod,2.011 2.004,0.001 0.000,120.990,0.6,2,DR Oxygen concentation recalculated on 2019-07-29 11:32:37.
433910_1,220,8.683,0.003,4.571,0.004,2019-06-27 23:47:15,433910_1.tod,2.011 2.004,0.001 0.000,148.510,0.5,2,DR Oxygen concentation recalculated on 2019-07-29 11:32:47.
433910_2,216,8.707,0.003,4.659,0.002,2019-06-27 23:53:17,433910_2.tod,2.011 2.004,0.001 0.000,150.920,0.4,2,DR Oxygen concentation recalculated on 2019-07-29 11:32:58.
433911_1,241,8.157,0.003,3.495,0.002,2019-06-27 23:59:11,433911_1.tod,2.011 2.004,0.001 0.000,121.230,0.5,2,DR/WB Oxygen concentation recalculated on 2019-07-29 11:33:07.
433911_2,228,8.140,0.003,3.780,0.002,2019-06-28 00:04:05,433911_2.tod,2.011 2.004,0.001 0.000,131.220,0.5,2,DR/SR/WB Oxygen concentation recalculated on 2019-07-29 11:33:21.
433912_1,209,7.959,0.003,3.940,0.002,2019-06-28 00:09:41,433912_1.tod,2.011 2.004,0.001 0.000,139.750,0.6,2,SRDRWB Oxygen concentation recalculated on 2019-07-29 11:33:34.
433912_2,225,7.953,0.004,3.714,0.005,2019-06-28 00:15:30,433912_2.tod,2.011 2.004,0.001 0.000,131.950,0.6,2,SRDRWB Oxygen concentation recalculated on 2019-07-29 11:33:44.
433958_1,210,6.181,0.01,2.795,0.002,2019-06-28 22:07:50,433958_1.tod,2.011 2.004,0.001 0.000,127.730,0.6,1,DR
433958_2,235,6.140,0.01,2.841,0.003,2019-06-28 22:13:24,433958_2.tod,2.011 2.004,0.001 0.000,130.660,1.3,1,DR
433959_1,246,7.526,0.01,3.300,0.001,2019-06-28 22:19:36,433959_1.tod,2.011 2.004,0.001 0.000,123.990,0.5,1,DR
433959_2,153,7.524,0.01,3.494,0.003,2019-06-28 22:25:07,433959_2.tod,2.011 2.004,0.001 0.000,131.200,0.5,1,DR
433960_1,247,8.353,0.01,3.926,0.003,2019-06-28 22:30:35,433960_1.tod,2.011 2.004,0.001 0.000,132.820,0.4,1,DR
433960_2,212,8.351,0.01,3.839,0.002,2019-06-28 22:36:02,433960_2.tod,2.011 2.004,0.001 0.000,129.920,0.6,1,DR
433961_1,244,8.460,0.01,3.635,0.002,2019-06-28 22:40:54,433961_1.tod,2.011 2.004,0.001 0.000,121.590,0.6,1,DR
433961_2,86,8.470,0.01,3.861,0.005,2019-06-28 22:46:19,433961_2.tod,2.011 2.004,0.001 0.000,128.850,0.6,1,DR
433962_1,230,8.717,0.01,4.064,0.004,2019-06-28 22:52:07,433962_1.tod,2.011 2.004,0.001 0.000,131.760,0.4,1,SR
433962_2,91,8.699,0.01,3.996,0.003,2019-06-28 22:57:37,433962_2.tod,2.011 2.004,0.001 0.000,129.860,0.3,1,SR
433963_1,233,8.880,0.01,4.151,0.002,2019-06-28 23:03:31,433963_1.tod,2.011 2.004,0.001 0.000,132.110,0.3,1,SR
433963_2,171,8.867,0.01,3.760,0.003,2019-06-28 23:09:47,433963_2.tod,2.011 2.004,0.001 0.000,120.010,0.6,1,SR
433964_1,239,8.612,0.01,3.721,0.003,2019-06-28 23:14:48,433964_1.tod,2.011 2.004,0.001 0.000,122.260,0.4,1,DR
433964_2,219,8.570,0.01,4.235,0.002,2019-06-28 23:20:04,433964_2.tod,2.011 2.004,0.001 0.000,139.530,0.5,1,SR
433965_1,50,8.253,0.01,3.591,0.002,2019-06-28 23:26:02,433965_1.tod,2.011 2.004,0.001 0.000,123.070,0.6,1,SR
433965_2,79,8.232,0.01,3.874,0.003,2019-06-28 23:31:15,433965_2.tod,2.011 2.004,0.001 0.000,132.940,0.5,1,DR
433966_1,206,8.042,0.01,4.241,0.003,2019-06-28 23:36:39,433966_1.tod,2.011 2.004,0.001 0.000,148.740,0.6,1,DR
433966_2,82,8.017,0.01,3.596,0.002,2019-06-28 23:42:36,433966_2.tod,2.011 2.004,0.001 0.000,126.830,0.5,1,DR
433967_1,56,8.049,0.01,3.495,0.003,2019-06-28 23:47:57,433967_1.tod,2.011 2.004,0.001 0.000,122.830,0.5,1,DR
433967_2,70,8.035,0.01,3.417,0.003,2019-06-28 23:53:18,433967_2.tod,2.011 2.004,0.001 0.000,120.340,0.6,1,DR
434010_1,74,7.460,0.01,3.357,0.002,2019-06-29 14:19:19,434010_1.tod,1.949 1.948,0.001 0.000,131.000,0.4,1,RD
434010_2,142,7.449,0.01,3.330,0.002,2019-06-29 14:26:00,434010_2.tod,1.949 1.948,0.001 0.000,130.140,0.5,1,RD
434009_1,222,7.475,0.01,3.149,0.004,2019-06-29 14:31:18,434009_1.tod,1.949 1.948,0.001 0.000,122.750,0.5,1,RD
434009_2,232,7.464,0.01,3.347,0.002,2019-06-29 14:36:53,434009_2.tod,1.949 1.948,0.001 0.000,130.520,0.4,1,RD
434008_1,211,7.770,0.01,3.460,0.005,2019-06-29 14:42:40,434008_1.tod,1.949 1.948,0.001 0.000,129.650,0.5,1,RD
434008_2,96,7.740,0.01,3.466,0.004,2019-06-29 14:48:26,434008_2.tod,1.949 1.948,0.001 0.000,130.370,0.5,1,RD
434007_1,236,7.878,0.01,3.585,0.002,2019-06-29 14:54:13,434007_1.tod,1.949 1.948,0.001 0.000,132.460,0.5,1,DR
434007_2,245,7.879,0.01,3.320,0.002,2019-06-29 14:59:22,434007_2.tod,1.949 1.948,0.001 0.000,122.790,0.5,1,DR
434006_1,225,8.069,0.01,3.657,0.002,2019-06-29 15:04:24,434006_1.tod,1.949 1.948,0.001 0.000,131.950,0.3,1,DR
434006_2,228,8.051,0.01,3.629,0.004,2019-06-29 15:09:47,434006_2.tod,1.949 1.948,0.001 0.000,131.220,0.6,1,DR
434005_1,216,7.686,0.01,3.993,0.003,2019-06-29 15:15:25,434005_1.tod,1.949 1.948,0.001 0.000,150.920,0.6,1,DR
434005_2,209,7.646,0.01,3.674,0.004,2019-06-29 15:34:26,434005_2.tod,1.949 1.948,0.001 0.000,139.750,0.8,1,DOSIMAT TURNED OFF
434004_1,220,6.736,0.01,3.444,0.002,2019-06-29 15:42:14,434004_1.tod,1.949 1.948,0.001 0.000,148.510,0.6,1,DB
434004_2,241,6.742,0.01,2.805,0.001,2019-06-29 15:50:24,434004_2.tod,1.949 1.948,0.001 0.000,121.230,0.7,1,DB
434003_1,52,6.629,0.01,2.753,0.003,2019-06-29 15:55:52,434003_1.tod,1.949 1.948,0.001 0.000,120.990,0.8,1,DB
434003_2,65,6.629,0.01,3.004,0.002,2019-06-29 16:00:45,434003_2.tod,1.949 1.948,0.001 0.000,131.830,0.7,1,DB
434002_1,80,6.296,0.01,2.806,0.004,2019-06-29 16:06:18,434002_1.tod,1.949 1.948,0.001 0.000,129.700,0.8,1,DB
434002_2,221,6.309,0.01,3.257,0.002,2019-06-29 16:12:42,434002_2.tod,1.949 1.948,0.001 0.000,149.930,0.9,1,DB
434001_1,242,6.507,0.01,2.768,0.003,2019-06-29 16:21:34,434001_1.tod,1.949 1.948,0.001 0.000,123.890,0.7,1,DB
434001_2,90,6.491,0.01,2.946,0.003,2019-06-29 16:26:22,434001_2.tod,1.949 1.948,0.001 0.000,132.050,0.8,1,DB
434037_1,63,7.600,0.01,3.283,0.001,2019-06-30 00:03:52,434037_1.tod,1.949 1.948,0.001 0.000,125.840,1.1,1,WB
434037_2,92,7.574,0.01,3.433,0.003,2019-06-30 00:09:26,434037_2.tod,1.949 1.948,0.001 0.000,131.910,1.2,1,WB
434036_1,223,7.358,0.01,3.331,0.002,2019-06-30 00:14:44,434036_1.tod,1.949 1.948,0.001 0.000,131.740,1.2,1,WB
434036_2,53,7.350,0.01,3.158,0.003,2019-06-30 00:20:03,434036_2.tod,1.949 1.948,0.001 0.000,125.140,1.2,1,WB
434035_1,56,6.415,0.01,2.705,0.004,2019-06-30 00:25:08,434035_1.tod,1.949 1.948,0.001 0.000,122.830,1.2,1,WB
434035_2,82,6.420,0.01,2.797,0.002,2019-06-30 00:29:18,434035_2.tod,1.949 1.948,0.001 0.000,126.830,1.3,1,WB
434034_1,96,6.320,0.01,2.832,0.002,2019-06-30 00:33:47,434034_1.tod,1.949 1.948,0.001 0.000,130.370,1.2,1,WB
434034_2,211,6.336,0.01,2.823,0.002,2019-06-30 00:38:49,434034_2.tod,1.949 1.948,0.001 0.000,129.650,1.2,1,DB
434033_1,232,5.775,0.01,2.591,0.001,2019-06-30 00:44:27,434033_1.tod,1.949 1.948,0.001 0.000,130.520,1.5,1,DB
434033_2,222,5.833,0.01,2.459,0.003,2019-06-30 00:49:14,434033_2.tod,1.949 1.948,0.001 0.000,122.750,1.4,1,DB
434032_1,74,5.518,0.01,2.486,0.002,2019-06-30 00:52:58,434032_1.tod,1.949 1.948,0.001 0.000,131.000,1.4,1,DB
434032_2,142,5.527,0.01,2.473,0.005,2019-06-30 00:56:39,434032_2.tod,1.949 1.948,0.001 0.000,130.140,1.4,1,DB
434038_1,219,7.854,0.01,3.768,0.002,2019-06-30 01:01:00,434038_1.tod,1.949 1.948,0.001 0.000,139.530,1.2,1,DB
434038_2,210,7.851,0.01,3.443,0.003,2019-06-30 01:06:56,434038_2.tod,1.949 1.948,0.001 0.000,127.730,1.3,1,DB
434039_1,50,7.930,0.01,3.349,0.002,2019-06-30 01:12:39,434039_1.tod,1.949 1.948,0.001 0.000,123.070,1.3,1,DB
434039_2,79,7.942,0.01,3.627,0.005,2019-06-30 01:18:05,434039_2.tod,1.949 1.948,0.001 0.000,132.940,1.3,1,DB
434040_1,70,7.909,0.01,3.265,0.002,2019-06-30 01:24:54,434040_1.tod,1.949 1.948,0.001 0.000,120.340,1.3,1,DB
434040_2,206,7.932,0.01,4.060,0.016,2019-06-30 01:30:17,434040_2.tod,1.949 1.948,0.001 0.000,148.740,1.2,1,DB
434041_1,236,7.524,0.01,3.424,0.003,2019-06-30 01:37:14,434041_1.tod,1.949 1.948,0.001 0.000,132.460,1.4,1,DB
434041_2,245,7.534,0.01,3.175,0.001,2019-06-30 01:43:10,434041_2.tod,1.949 1.948,0.001 0.000,122.790,1.4,1,DB
434075_1,65,7.054,0.01,3.193,0.005,2019-06-30 15:10:42,434075_1.tod,1.949 1.945,0.001 0.000,131.830,1.4,2,SR
434075_2,220,7.053,0.01,3.602,0.002,2019-06-30 15:16:34,434075_2.tod,1.949 1.945,0.001 0.000,148.510,1.5,2,SR
434076_1,80,7.132,0.01,3.175,0.002,2019-06-30 15:22:44,434076_1.tod,1.949 1.945,0.001 0.000,129.700,1.4,2,SR
434076_2,216,7.130,0.01,3.702,0.002,2019-06-30 15:28:01,434076_2.tod,1.949 1.945,0.001 0.000,150.920,1.3,2,SR
434077_1,209,6.874,0.01,3.302,0.005,2019-06-30 15:33:49,434077_1.tod,1.949 1.945,0.001 0.000,139.750,1.3,2,SR
434077_2,90,6.867,0.01,3.114,0.005,2019-06-30 15:39:22,434077_2.tod,1.949 1.945,0.001 0.000,132.050,1.3,2,SR
434078_1,52,6.117,0.01,2.539,0.003,2019-06-30 15:44:16,434078_1.tod,1.949 1.945,0.001 0.000,120.990,1.5,2,SR
434078_2,225,6.126,0.01,2.777,0.003,2019-06-30 15:48:26,434078_2.tod,1.949 1.945,0.001 0.000,131.950,1.5,2,SR
434079_1,242,6.074,0.01,2.582,0.003,2019-06-30 15:53:23,434079_1.tod,1.949 1.945,0.001 0.000,123.890,1.4,2,SR
434079_2,241,6.086,0.01,2.531,0.001,2019-06-30 15:58:56,434079_2.tod,1.949 1.945,0.001 0.000,121.230,1.5,2,SR
434080_1,228,6.000,0.01,2.704,0.001,2019-06-30 16:04:17,434080_1.tod,1.949 1.945,0.001 0.000,131.220,1.5,2,SR
434080_2,221,5.969,0.01,3.080,0.002,2019-06-30 16:09:14,434080_2.tod,1.949 1.945,0.001 0.000,149.930,1.6,2,SR
434086_1,239,7.856,0.01,3.293,0.002,2019-06-30 16:15:12,434086_1.tod,1.949 1.945,0.001 0.000,122.260,1.3,2,SR
434086_2,235,7.808,0.01,3.501,0.005,2019-06-30 16:20:07,434086_2.tod,1.949 1.945,0.001 0.000,130.660,1.3,2,SR
434084_1,96,8.226,0.011,3.680,0.002,2019-06-30 16:32:43,434084_1.tod,1.949 1.945,0.001 0.000,130.370,1.4,2,SS
434084_2,222,8.271,0.011,3.481,0.002,2019-06-30 16:38:21,434084_2.tod,1.949 1.945,0.001 0.000,122.750,1.5,2,SS
