Mission / Project
 Identifier: COO001
 Name: AZMP
 Operator: GD/RD/BP/DB/WB/SR/DR/HR
 Research centre: NAFC
 Dates: Nov 17 - Dec 10; 2019
 Platform: RRS James Cook

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
434623,7.232,0.131,2019-11-19 03:30:56,7.325,7.140,,,,
434622,7.176,0.020,2019-11-19 03:43:53,7.190,7.162,,,,
434621,7.363,0.040,2019-11-19 03:54:14,7.335,7.391,,,,
434620,7.861,0.004,2019-11-19 04:04:16,7.864,7.859,,,,
434619,7.710,0.005,2019-11-19 04:15:33,7.706,7.713,,,,
434618,7.669,0.060,2019-11-19 05:19:17,7.712,7.627,,,,
434625,7.123,0.013,2019-11-19 05:32:57,7.114,7.132,,,,
434626,7.202,0.134,2019-11-19 05:43:48,7.297,7.107,,,,
434628,7.104,0.000,2019-11-19 05:55:28,7.104,,,,,
434713,7.049,0.222,2019-11-23 20:08:29,7.206,6.892,,,,
434714,6.880,0.008,2019-11-23 20:19:28,6.886,6.874,,,,
434715,7.268,0.004,2019-11-23 20:30:29,7.265,7.271,,,,
434716,7.605,0.060,2019-11-23 20:41:41,7.648,7.563,,,,
434717,7.509,0.011,2019-11-23 20:53:43,7.501,7.517,,,,
434718,7.214,0.011,2019-11-23 21:04:55,7.206,7.222,,,,
434719,7.171,0.021,2019-11-23 21:16:01,7.156,7.186,,,,
434721,7.165,0.011,2019-11-23 21:55:29,7.173,7.158,,,,
434722,7.167,0.024,2019-11-23 22:08:48,7.184,7.150,,,,
434724,7.229,0.070,2019-11-23 22:20:13,7.180,7.279,,,,
434783,6.943,0.052,2019-11-24 11:39:58,6.980,6.906,,,,
434774,6.765,0.019,2019-11-24 11:53:36,6.752,6.779,,,,
434776,6.281,0.612,2019-11-24 12:04:54,6.713,5.848,,,,
434777,6.651,0.053,2019-11-24 12:15:24,6.613,6.688,,,,
434778,6.879,0.024,2019-11-24 12:26:56,6.862,6.896,,,,
434780,6.903,0.094,2019-11-24 12:38:20,6.837,6.970,,,,
434781,6.926,0.006,2019-11-24 12:49:12,6.930,6.922,,,,
434827,7.663,0.027,2019-11-25 12:59:14,7.644,7.682,,,,
434829,7.622,0.016,2019-11-25 13:11:09,7.633,7.610,,,,
434826,7.492,0.016,2019-11-25 13:22:32,7.503,7.480,,,,
434824,7.490,0.030,2019-11-25 13:33:21,7.512,7.469,,,,
434823,7.194,0.028,2019-11-25 13:49:40,7.174,7.213,,,,
434822,6.635,0.027,2019-11-25 13:59:36,6.654,6.616,,,,
434821,6.656,0.057,2019-11-25 14:09:40,6.696,6.616,,,,
434871,5.861,0.107,2019-11-26 01:35:28,5.785,5.937,,,,
434872,5.930,0.004,2019-11-26 01:50:34,5.933,5.927,,,,
434873,5.476,0.002,2019-11-26 02:04:15,5.478,5.475,,,,
434874,5.392,0.007,2019-11-26 02:16:53,5.397,5.387,,,,
434875,5.122,0.006,2019-11-26 02:28:27,5.118,5.126,,,,
434878,5.825,0.036,2019-11-26 02:36:58,5.799,5.850,,,,
434879,6.942,0.794,2019-11-26 02:48:19,6.381,7.504,,,,
434882,6.473,0.001,2019-11-26 03:00:00,6.473,6.474,,,,
434883,6.499,0.042,2019-11-26 03:12:25,6.469,6.529,,,,
434884,6.368,0.015,2019-11-26 03:23:58,6.379,6.358,,,,
434888,6.286,0.192,2019-11-26 03:35:34,6.422,6.150,,,,
434889,6.422,0.011,2019-11-26 03:45:55,6.414,6.429,,,,
434942,6.522,0.000,2019-11-28 09:16:18,NaN,6.522,,,,
434953,6.460,0.030,2019-11-28 09:26:44,6.439,6.481,,,,
434954,6.471,0.002,2019-11-28 09:37:35,6.473,6.470,,,,
434955,6.587,0.074,2019-11-28 09:53:07,6.639,6.534,,,,
434959,6.564,0.011,2019-11-28 10:08:53,6.556,6.572,,,,
434960,6.581,0.078,2019-11-28 10:24:50,6.525,6.636,,,,
434964,6.523,0.001,2019-11-28 10:37:02,6.524,6.522,,,,
434950,6.412,0.022,2019-11-28 10:49:43,6.427,6.396,,,,
434949,6.420,0.025,2019-11-28 11:01:08,6.437,6.402,,,,
434946,6.550,0.062,2019-11-28 11:11:17,6.594,6.507,,,,
434945,6.604,0.019,2019-11-28 11:21:08,6.590,6.617,,,,
434944,6.592,0.001,2019-11-28 11:31:19,6.593,6.592,,,,
434943,6.579,0.031,2019-11-28 11:41:16,6.601,6.557,,,,
435045,6.568,0.020,2019-11-29 00:37:34,6.582,6.554,,,,
435041,6.535,0.013,2019-11-29 00:48:41,6.526,6.544,,,,
435040,6.545,0.009,2019-11-29 00:58:58,6.538,6.551,,,,
435036,6.522,0.013,2019-11-29 01:08:44,6.513,6.531,,,,
435035,6.515,0.018,2019-11-29 01:18:36,6.503,6.528,,,,
435034,6.207,0.007,2019-11-29 01:28:06,6.212,6.202,,,,
435026,5.731,0.008,2019-11-29 01:38:43,5.737,5.725,,,,
435027,5.701,0.004,2019-11-29 01:49:04,5.698,5.704,,,,
435030,5.956,0.027,2019-11-29 01:59:25,5.937,5.975,,,,
435031,5.907,0.021,2019-11-29 02:09:20,5.892,5.921,,,,
435094,6.476,0.001,2019-11-29 10:26:32,6.477,6.476,,,,
435096,6.451,0.001,2019-11-29 10:37:19,6.451,6.452,,,,
434097,6.463,0.000,2019-11-29 11:26:22,6.463,,,,,
435097,6.453,0.000,2019-11-29 11:31:29,6.453,,,,,
435099,6.466,0.017,2019-11-29 11:36:26,6.478,6.454,,,,
435088,6.160,0.006,2019-11-29 11:45:36,6.156,6.164,,,,
435089,5.943,0.031,2019-11-29 11:55:49,5.921,5.965,,,,
435090,5.909,0.015,2019-11-29 12:05:39,5.920,5.899,,,,
435091,6.256,0.040,2019-11-29 12:15:01,6.284,6.228,,,,
435092,6.495,0.007,2019-11-29 12:26:40,6.500,6.490,,,,
435093,6.521,0.016,2019-11-29 12:35:38,6.509,6.532,,,,
435267,7.774,0.000,2019-12-02 15:49:22,7.774,,,,,
435263,7.730,0.000,2019-12-02 16:01:18,NaN,7.730,,,,
435262,7.787,0.060,2019-12-02 16:10:52,7.744,7.829,,,,
435261,7.747,0.002,2019-12-02 16:23:13,7.748,7.745,,,,
435258,7.748,0.018,2019-12-02 16:35:24,7.735,7.760,,,,
435257,7.752,0.011,2019-12-02 16:49:00,7.760,7.744,,,,
435269,7.721,0.034,2019-12-02 17:00:06,7.697,7.745,,,,
435272,7.581,0.323,2019-12-02 17:12:21,7.809,7.352,,,,
435311,7.887,0.004,2019-12-03 00:42:33,7.884,7.890,,,,
435312,7.854,0.004,2019-12-03 00:54:45,7.856,7.851,,,,
435314,7.882,0.018,2019-12-03 01:06:47,7.894,7.869,,,,
435315,7.619,0.352,2019-12-03 01:18:22,7.370,7.868,,,,
435317,7.933,0.045,2019-12-03 01:29:33,7.901,7.964,,,,
435310,7.870,0.033,2019-12-03 01:42:46,7.893,7.847,,,,
435309,7.818,0.112,2019-12-03 01:54:30,7.739,7.897,,,,
435308,7.842,0.033,2019-12-03 02:06:24,7.865,7.819,,,,
435307,7.233,0.053,2019-12-03 02:17:41,7.271,7.196,,,,
435306,7.075,0.023,2019-12-03 02:29:17,7.059,7.091,,,,
435305,6.271,0.345,2019-12-03 02:39:58,6.515,6.027,,,,
435384,6.409,0.029,2019-12-03 16:42:35,6.389,6.430,,,,
435385,6.552,0.013,2019-12-03 16:54:07,6.561,6.543,,,,
435386,6.734,0.010,2019-12-03 17:13:40,6.741,6.727,,,,
435387,7.345,0.001,2019-12-03 17:24:29,7.346,7.344,,,,
435388,7.450,0.033,2019-12-03 17:34:48,7.473,7.426,,,,
435389,7.472,0.033,2019-12-03 17:45:00,7.495,7.449,,,,
435390,7.505,0.029,2019-12-03 17:56:18,7.525,7.484,,,,
435392,7.476,0.008,2019-12-03 18:07:00,7.470,7.482,,,,
435393,7.479,0.068,2019-12-03 18:17:25,7.431,7.527,,,,
435395,7.442,0.036,2019-12-03 18:27:30,7.468,7.417,,,,
435462,6.684,0.008,2019-12-04 12:02:20,6.679,6.690,,,,
435463,6.691,0.028,2019-12-04 12:12:28,6.710,6.671,,,,
435464,6.646,0.019,2019-12-04 12:21:56,6.660,6.633,,,,
435465,6.520,0.000,2019-12-04 12:31:42,6.520,6.520,,,,
435466,6.351,0.011,2019-12-04 12:42:37,6.359,6.344,,,,
435469,5.963,0.004,2019-12-04 12:53:23,5.961,5.966,,,,
435470,7.067,0.126,2019-12-04 13:02:40,7.156,6.978,,,,
435473,6.893,0.010,2019-12-04 13:12:27,6.886,6.900,,,,
435474,6.919,0.033,2019-12-04 13:22:55,6.896,6.943,,,,
435475,6.926,0.052,2019-12-04 13:32:44,6.963,6.889,,,,
435479,6.930,0.017,2019-12-04 13:42:58,6.918,6.942,,,,
435480,6.987,0.020,2019-12-04 13:52:49,6.973,7.001,,,,
435484,6.983,0.033,2019-12-04 14:02:19,7.006,6.960,,,,
435502,6.681,0.049,2019-12-05 10:27:02,6.716,6.647,,,,
435486,6.835,0.173,2019-12-05 10:37:27,6.713,6.958,,,,
435539,7.454,0.016,2019-12-06 23:45:13,7.443,7.466,,,,
435542,7.390,0.008,2019-12-06 23:59:17,7.384,7.396,,,,
435544,7.513,0.100,2019-12-07 00:12:50,7.583,7.442,,,,
435538,7.381,0.011,2019-12-07 00:24:35,7.373,7.389,,,,
435537,6.986,0.001,2019-12-07 00:35:48,6.987,6.986,,,,
435536,7.127,0.021,2019-12-07 00:47:30,7.142,7.112,,,,
435534,6.345,0.016,2019-12-07 00:58:27,6.333,6.356,,,,
435533,6.342,0.018,2019-12-07 01:09:19,6.329,6.355,,,,
435613,7.152,0.004,2019-12-08 15:38:58,7.149,7.154,,,,
435614,7.369,0.008,2019-12-08 15:51:10,7.374,7.363,,,,
435615,7.653,0.058,2019-12-08 16:03:20,7.694,7.612,,,,
435616,7.450,0.013,2019-12-08 16:14:33,7.459,7.441,,,,
435617,7.484,0.009,2019-12-08 16:25:50,7.490,7.477,,,,
435619,7.503,0.025,2019-12-08 16:38:12,7.521,7.485,,,,
435220,7.477,0.000,2019-12-08 16:50:21,7.477,,,,,
435620,7.541,0.000,2019-12-08 16:56:20,7.541,,,,,
435622,7.539,0.019,2019-12-08 17:04:17,7.552,7.525,,,,
435658,7.376,0.007,2019-12-08 23:35:58,7.371,7.381,,,,
435657,7.358,0.060,2019-12-08 23:47:22,7.401,7.316,,,,
435656,7.447,0.028,2019-12-08 23:58:09,7.467,7.428,,,,
435655,7.620,0.000,2019-12-09 00:09:59,7.620,NaN,,,,
435654,7.479,0.021,2019-12-09 00:19:28,7.464,7.494,,,,
435653,6.918,0.001,2019-12-09 00:31:30,6.919,6.918,,,,
435663,7.407,0.014,2019-12-09 00:43:44,7.397,7.417,,,,
435661,7.291,0.173,2019-12-09 00:55:07,7.413,7.169,,,,
435660,7.380,0.010,2019-12-09 01:06:24,7.373,7.387,,,,
