Mission / Project
 Identifier: CAR031
 Name: AZMP
 Operator: SS/SR/WB/AF/JC/RD/DB/DR/BD
 Research centre: NAFC
 Dates: April 2023
 Platform: Cartier

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
442975,8.386,1.232,2023-04-05 04:29:55,9.257,7.515,,,,
442974,7.460,0.049,2023-04-05 04:44:59,7.426,7.495,,,,
442973,7.404,0.021,2023-04-05 04:56:47,7.389,7.419,,,,
442972,7.367,0.009,2023-04-05 05:08:10,7.373,7.360,,,,
442971,7.353,0.052,2023-04-05 05:20:31,7.316,7.389,,,,
442970,7.280,0.214,2023-04-05 05:33:33,7.129,7.431,,,,
442969,7.341,0.002,2023-04-05 05:46:27,7.342,7.339,,,,
442967,6.906,0.007,2023-04-05 05:52:54,6.911,6.901,,,,
442968,7.094,0.236,2023-04-05 05:59:57,7.261,6.927,,,,
442990,4.648,1.256,2023-04-05 14:37:00,5.536,3.760,,,,
442991,3.045,0.004,2023-04-05 14:48:33,3.042,3.048,,,,
442992,4.740,1.360,2023-04-05 14:57:53,3.779,5.702,,,,
442993,6.242,0.694,2023-04-05 15:08:50,5.751,6.732,,,,
443000,7.317,0.206,2023-04-05 15:21:42,7.172,7.463,,,,
442994,6.529,0.641,2023-04-05 15:33:54,6.076,6.983,,,,
442995,7.140,0.111,2023-04-05 15:44:49,7.218,7.061,,,,
442996,6.572,0.048,2023-04-05 15:55:48,6.606,6.538,,,,
442999,7.178,0.042,2023-04-05 16:06:06,7.208,7.148,,,,
442998,7.183,0.001,2023-04-05 16:17:01,7.182,7.184,,,,
442997,7.164,0.006,2023-04-05 16:27:35,7.168,7.160,,,,
443028,7.775,1.165,2023-04-07 07:28:52,8.599,6.951,,,,
443029,6.864,0.016,2023-04-07 07:43:03,6.853,6.875,,,,
443030,6.945,0.007,2023-04-07 07:54:08,6.950,6.940,,,,
443031,7.176,0.003,2023-04-07 08:05:16,7.178,7.174,,,,
443032,7.319,0.052,2023-04-07 08:16:43,7.283,7.356,,,,
443033,7.494,0.022,2023-04-07 08:28:22,7.478,7.509,,,,
443034,7.476,0.052,2023-04-07 08:39:55,7.439,7.513,,,,
443035,6.777,1.150,2023-04-07 08:51:29,5.964,7.590,,,,
443036,7.495,0.006,2023-04-07 09:03:05,7.491,7.500,,,,
443037,7.500,0.000,2023-04-07 09:14:33,7.500,7.500,,,,
443066,7.977,1.260,2023-04-07 23:02:58,8.868,7.086,,,,
443065,6.550,0.156,2023-04-07 23:19:21,6.440,6.661,,,,
443064,7.623,0.059,2023-04-07 23:33:31,7.665,7.581,,,,
443063,7.342,0.249,2023-04-07 23:45:56,7.518,7.166,,,,
443062,7.518,0.019,2023-04-07 23:58:23,7.504,7.531,,,,
443061,7.463,0.001,2023-04-08 00:10:37,7.462,7.463,,,,
443060,7.501,0.057,2023-04-08 00:23:06,7.541,7.460,,,,
443088,6.316,0.185,2023-04-08 11:38:39,6.186,6.447,,,,
443089,5.906,0.744,2023-04-08 11:51:12,6.432,5.380,,,,
443090,7.452,0.040,2023-04-08 12:02:42,7.424,7.480,,,,
443091,6.687,1.327,2023-04-08 12:15:38,5.748,7.625,,,,
443092,7.766,0.034,2023-04-08 12:27:46,7.742,7.790,,,,
443093,7.774,0.012,2023-04-08 12:40:55,7.782,7.765,,,,
443094,7.792,0.048,2023-04-08 12:53:24,7.758,7.826,,,,
443128,6.625,0.988,2023-04-08 22:32:13,7.323,5.926,,,,
443127,5.937,0.105,2023-04-08 22:46:36,5.862,6.011,,,,
443126,5.085,0.346,2023-04-08 22:58:40,5.329,4.840,,,,
443125,6.173,0.054,2023-04-08 23:10:51,6.212,6.135,,,,
443124,5.920,0.016,2023-04-08 23:22:31,5.908,5.931,,,,
443123,5.735,0.067,2023-04-08 23:34:45,5.782,5.687,,,,
443118,5.792,0.159,2023-04-08 23:46:22,5.679,5.904,,,,
443129,5.483,1.005,2023-04-08 23:59:12,6.194,4.773,,,,
443122,4.609,0.077,2023-04-09 00:11:44,4.554,4.663,,,,
443155,6.925,1.447,2023-04-11 19:36:57,7.948,5.901,,,,
443159,5.960,0.009,2023-04-11 19:51:39,5.966,5.953,,,,
443160,6.402,0.074,2023-04-11 20:02:26,6.350,6.455,,,,
443161,6.516,0.010,2023-04-11 20:14:35,6.509,6.523,,,,
443162,6.235,0.336,2023-04-11 20:27:00,6.472,5.997,,,,
443163,6.393,0.046,2023-04-11 20:38:55,6.425,6.360,,,,
443164,5.943,0.641,2023-04-11 20:49:48,5.490,6.396,,,,
443166,6.384,0.023,2023-04-11 21:01:51,6.400,6.368,,,,
443165,6.384,0.026,2023-04-11 21:12:48,6.403,6.366,,,,
443202,6.500,2.458,2023-04-12 12:30:30,8.238,NaN,4.762,,,
443203,6.643,0.001,2023-04-12 12:49:46,6.642,6.644,,,,
443201,6.627,0.004,2023-04-12 13:03:00,6.630,6.624,,,,
443204,6.645,0.042,2023-04-12 13:16:50,6.674,6.615,,,,
443200,5.441,1.534,2023-04-12 13:23:24,4.356,6.526,,,,
443199,5.417,1.063,2023-04-12 13:35:56,4.665,6.169,,,,
443198,6.044,0.774,2023-04-12 13:55:38,6.592,5.497,,,,
443205,6.624,0.003,2023-04-12 14:08:19,6.622,6.626,,,,
443197,5.742,0.011,2023-04-12 14:22:55,5.734,5.749,,,,
443196,6.198,0.004,2023-04-12 14:35:09,6.201,6.195,,,,
443233,5.619,0.547,2023-04-12 21:47:30,6.005,5.232,,,,
443232,4.732,0.391,2023-04-12 21:57:53,5.008,4.455,,,,
443231,5.569,0.866,2023-04-12 22:04:27,4.957,6.182,,,,
443230,6.753,0.034,2023-04-12 22:15:39,6.729,6.777,,,,
443229,6.765,0.026,2023-04-12 22:26:20,6.784,6.747,,,,
443228,6.595,0.049,2023-04-12 22:37:00,6.560,6.629,,,,
443227,5.595,0.000,2023-04-12 22:47:28,5.595,,,,,
443236,6.733,0.008,2023-04-12 22:52:15,6.728,6.739,,,,
443235,6.724,0.040,2023-04-12 23:03:09,6.696,6.753,,,,
443234,6.778,0.045,2023-04-12 23:14:18,6.810,6.746,,,,
443270,6.823,1.001,2023-04-13 16:30:02,7.531,6.116,,,,
443271,6.418,0.004,2023-04-13 16:42:31,6.421,6.415,,,,
443272,6.353,0.569,2023-04-13 16:53:34,6.755,5.950,,,,
443273,6.379,0.001,2023-04-13 17:04:37,6.380,6.378,,,,
443274,7.753,0.045,2023-04-13 17:17:46,7.785,7.721,,,,
443275,7.303,0.082,2023-04-13 17:30:42,7.361,7.245,,,,
443276,7.716,0.011,2023-04-13 17:42:30,7.724,7.708,,,,
443277,7.701,0.000,2023-04-13 18:08:03,7.701,7.701,,,,
443278,7.835,0.028,2023-04-13 18:20:02,7.855,7.815,,,,
443279,7.845,0.045,2023-04-13 18:31:40,7.877,7.813,,,,
