Mission / Project
 Identifier: ATL001
 Name: AZMP
 Operator: DR/RD/AF/SR/WB/BP/BD/SS/DB/GM
 Research centre: NAFC
 Dates: April 2022
 Platform: RV Atlantis

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
440917,7.349,0.021,2022-04-11 21:53:12,7.335,7.364,,,,
440918,7.941,0.054,2022-04-11 22:06:13,7.980,7.903,,,,
440919,8.003,0.013,2022-04-11 22:19:15,8.012,7.993,,,,
440920,8.024,0.036,2022-04-11 22:31:01,7.999,8.050,,,,
440921,8.008,0.021,2022-04-11 22:44:54,8.023,7.993,,,,
440922,7.992,0.012,2022-04-11 22:56:09,8.000,7.983,,,,
440925,8.027,0.065,2022-04-11 23:07:45,8.073,7.981,,,,
440924,7.973,0.064,2022-04-11 23:19:09,8.018,7.928,,,,
440923,8.041,0.039,2022-04-12 00:00:15,8.069,8.014,,,,
440940,4.268,0.037,2022-04-12 07:39:36,4.294,4.242,,,,
440942,3.594,0.013,2022-04-12 07:50:55,3.603,3.584,,,,
440943,7.274,0.024,2022-04-12 08:01:26,7.257,7.291,,,,
440944,8.250,0.000,2022-04-12 08:13:23,8.250,,,,,
440945,8.358,0.000,2022-04-12 08:19:07,8.358,,,,,
440946,8.448,0.010,2022-04-12 08:27:40,8.441,8.455,,,,
440950,8.547,0.070,2022-04-12 08:38:58,8.596,8.497,,,,
440949,8.413,0.049,2022-04-12 08:52:20,8.378,8.448,,,,
440948,8.421,0.000,2022-04-12 09:06:39,8.421,8.421,,,,
440947,8.427,0.047,2022-04-12 09:18:19,8.460,8.394,,,,
440987,8.642,0.000,2022-04-13 20:16:53,NaN,8.642,,,,
440986,8.331,0.013,2022-04-13 20:43:19,8.340,8.321,,,,
440985,8.333,0.014,2022-04-13 21:14:35,8.323,8.343,,,,
440984,8.346,0.005,2022-04-13 21:25:56,8.342,8.349,,,,
440978,6.880,0.037,2022-04-13 21:37:56,6.907,6.854,,,,
440979,6.886,0.009,2022-04-13 21:49:09,6.879,6.892,,,,
440980,7.129,0.035,2022-04-13 22:01:20,7.154,7.104,,,,
440981,7.898,0.025,2022-04-13 22:13:39,7.880,7.916,,,,
440982,8.239,0.087,2022-04-13 22:25:54,8.300,8.177,,,,
440983,8.296,0.009,2022-04-13 22:37:06,8.302,8.289,,,,
441008,7.958,0.067,2022-04-14 08:13:45,8.005,7.910,,,,
441007,7.977,0.020,2022-04-14 08:25:09,7.963,7.991,,,,
440106,8.036,0.000,2022-04-14 08:36:02,8.036,,,,,
441006,8.018,0.000,2022-04-14 08:41:38,8.018,,,,,
441005,7.936,0.025,2022-04-14 08:46:27,7.954,7.919,,,,
441004,8.042,0.000,2022-04-14 08:57:07,NaN,8.042,,,,
441003,7.941,0.023,2022-04-14 09:05:36,7.924,7.957,,,,
441009,8.073,0.077,2022-04-14 09:16:50,8.018,8.127,,,,
441044,7.566,0.057,2022-04-15 01:15:16,7.526,7.606,,,,
441043,7.518,0.012,2022-04-15 01:27:22,7.527,7.510,,,,
441042,7.557,0.055,2022-04-15 01:38:05,7.518,7.596,,,,
441041,7.511,0.002,2022-04-15 01:56:43,7.509,7.512,,,,
441040,7.555,0.025,2022-04-15 02:22:55,7.572,7.537,,,,
441039,7.497,0.005,2022-04-15 02:36:54,7.493,7.500,,,,
441038,6.805,0.019,2022-04-15 02:52:53,6.791,6.818,,,,
441077,8.668,0.016,2022-04-15 16:36:53,8.680,8.657,,,,
441076,8.579,0.015,2022-04-15 16:49:51,8.589,8.568,,,,
441075,8.030,0.028,2022-04-15 17:02:15,8.010,8.050,,,,
441074,7.656,0.018,2022-04-15 17:13:34,7.643,7.668,,,,
441073,7.319,0.008,2022-04-15 17:24:57,7.313,7.324,,,,
