Filename,Primary Oxygen Serial Number,Primary Oxygen Old SOC,Secondary Oxygen Serial Number,Secondary Oxygen Old SOC
car031_2023_001,4136,5.3240e-001,4140,5.6930e-001
car031_2023_010,4136,5.3240e-001,4140,5.6930e-001
car031_2023_011,4136,5.3240e-001,4140,5.6930e-001
car031_2023_012,4136,5.3240e-001,4140,5.6930e-001
car031_2023_013,4136,5.3240e-001,4140,5.6930e-001
car031_2023_014,4136,5.3240e-001,4140,5.6930e-001
car031_2023_020,4136,5.3240e-001,4140,5.6930e-001
car031_2023_021,4136,5.3240e-001,4140,5.6930e-001
car031_2023_022,4136,5.3240e-001,4140,5.6930e-001
car031_2023_023,4136,5.3240e-001,4140,5.6930e-001
car031_2023_024,4136,5.3240e-001,4140,5.6930e-001
car031_2023_025,4136,5.3240e-001,4140,5.6930e-001
car031_2023_026,4136,5.3240e-001,4140,5.6930e-001
car031_2023_027,4136,5.3240e-001,4140,5.6930e-001
car031_2023_028,4136,5.3240e-001,4140,5.6930e-001
car031_2023_029,4136,5.3240e-001,4140,5.6930e-001
car031_2023_030,4136,5.3240e-001,4140,5.6930e-001
car031_2023_031,4136,5.3240e-001,4140,5.6930e-001
car031_2023_032,4136,5.3240e-001,4140,5.6930e-001
car031_2023_033,4136,5.3240e-001,4140,5.6930e-001
car031_2023_034,4136,5.3240e-001,4140,5.6930e-001
car031_2023_035,4136,5.3240e-001,4140,5.6930e-001
car031_2023_036,4136,5.3240e-001,4140,5.6930e-001
car031_2023_037,4136,5.3240e-001,4140,5.6930e-001
car031_2023_038,4136,5.3240e-001,4140,5.6930e-001
car031_2023_039,2549,5.8060e-001,2550,4.6750e-001
car031_2023_052,2549,5.8060e-001,2550,4.6750e-001
car031_2023_053,2549,5.8060e-001,2550,4.6750e-001
car031_2023_054,2549,5.8060e-001,2550,4.6750e-001
car031_2023_055,2549,5.8060e-001,2550,4.6750e-001
car031_2023_056,2549,5.8060e-001,2550,4.6750e-001
car031_2023_057,2549,5.8060e-001,2550,4.6750e-001
car031_2023_058,2549,5.8060e-001,2550,4.6750e-001
car031_2023_059,2549,5.8060e-001,2550,4.6750e-001
car031_2023_060,2549,5.8060e-001,2550,4.6750e-001
car031_2023_061,2549,5.8060e-001,2550,4.6750e-001
car031_2023_062,2549,5.8060e-001,2550,4.6750e-001
car031_2023_063,2549,5.8060e-001,2550,4.6750e-001
car031_2023_064,2549,5.8060e-001,2550,4.6750e-001
car031_2023_065,2549,5.8060e-001,2550,4.6750e-001
car031_2023_066,2549,5.8060e-001,2550,4.6750e-001
car031_2023_067,2549,5.8060e-001,2550,4.6750e-001
car031_2023_068,2549,5.8060e-001,2550,4.6750e-001
car031_2023_069,2549,5.8060e-001,2550,4.6750e-001
car031_2023_070,2549,5.8060e-001,2550,4.6750e-001
car031_2023_071,2549,5.8060e-001,2550,4.6750e-001
car031_2023_072,2549,5.8060e-001,2550,4.6750e-001
car031_2023_073,2549,5.8060e-001,2550,4.6750e-001
car031_2023_074,2549,5.8060e-001,2550,4.6750e-001
car031_2023_075,2549,5.8060e-001,2550,4.6750e-001
car031_2023_085,2549,5.8060e-001,2550,4.6750e-001
car031_2023_086,2549,5.8060e-001,2550,4.6750e-001
car031_2023_094,2549,5.8060e-001,2550,4.6750e-001
car031_2023_095,2549,5.8060e-001,2550,4.6750e-001
car031_2023_096,2549,5.8060e-001,2550,4.6750e-001
car031_2023_097,2549,5.8060e-001,2550,4.6750e-001
