Stickr,Station-ID,Date,ShTrpStn,latitude,longitude,PrDM,Sbeox0ML/L,Sbeox1ML/L,Wind Dir [deg/10],Wind Speed [kts],Wind Speed [m/s],[O2](ml/l),std_[O2](ml/l),Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l),WINKLER-DIFF,WINKLER
442967,SWSPB-02,2023-04-04,car031_2023_011,46.504833,-56.029833,142.276,7.5617,7.3146,25,16,8.2305,6.906,0.007,6.911,6.901,,,,,0.01,6.906
442969,SWSPB-02,2023-04-04,car031_2023_011,46.504833,-56.029833,75.634,7.9609,7.6688,25,16,8.2305,7.341,0.002,7.342,7.339,,,,,0.003,7.3405
442971,SWSPB-02,2023-04-04,car031_2023_011,46.504833,-56.029833,40.941,8.0536,7.7567,25,16,8.2305,7.353,0.052,7.316,7.389,,,,,0.073,7.3525
442972,SWSPB-02,2023-04-05,car031_2023_011,46.504833,-56.029833,29.921,8.0732,7.7951,25,16,8.2305,7.367,0.009,7.373,7.36,,,,,0.013,7.3665
442973,SWSPB-02,2023-04-05,car031_2023_011,46.504833,-56.029833,20.334,8.1003,7.8143,25,16,8.2305,7.404,0.021,7.389,7.419,,,,,0.03,7.404
442974,SWSPB-02,2023-04-05,car031_2023_011,46.504833,-56.029833,10.18,8.1257,7.8458,25,16,8.2305,7.46,0.049,7.426,7.495,,,,,0.069,7.4605
442991,SWSPB-05,2023-04-05,car031_2023_014,45.846667,-57.023333,249.778,3.4004,3.3079,31,11,5.6584,3.045,0.004,3.042,3.048,,,,,0.006,3.045
442995,SWSPB-05,2023-04-05,car031_2023_014,45.846667,-57.023333,49.416,7.8038,7.5614,31,11,5.6584,7.14,0.111,7.218,7.061,,,,,0.157,7.1395
442996,SWSPB-05,2023-04-05,car031_2023_014,45.846667,-57.023333,39.303,7.7659,7.5369,31,11,5.6584,6.572,0.048,6.606,6.538,,,,,0.068,6.572
442997,SWSPB-05,2023-04-05,car031_2023_014,45.846667,-57.023333,29.569,7.8221,7.5759,31,11,5.6584,7.164,0.006,7.168,7.16,,,,,0.008,7.164
442998,SWSPB-05,2023-04-05,car031_2023_014,45.846667,-57.023333,19.185,7.8707,7.6255,31,11,5.6584,7.183,0.001,7.182,7.184,,,,,0.002,7.183
442999,SWSPB-05,2023-04-05,car031_2023_014,45.846667,-57.023333,9.091,7.9096,7.6186,31,11,5.6584,7.178,0.042,7.208,7.148,,,,,0.06,7.178
443029,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,150.755,7.5578,7.3417,25,15,7.716,6.864,0.016,6.853,6.875,,,,,0.022,6.864
443030,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,100.635,7.6318,7.4067,25,15,7.716,6.945,0.007,6.95,6.94,,,,,0.01,6.945
443031,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,74.944,7.8652,7.6529,25,15,7.716,7.176,0.003,7.178,7.174,,,,,0.004,7.176
443032,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,49.912,7.9818,7.7505,25,15,7.716,7.319,0.052,7.283,7.356,,,,,0.073,7.3195
443033,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,39.992,8.0553,7.84,25,15,7.716,7.494,0.022,7.478,7.509,,,,,0.031,7.4935
443034,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,29.238,8.23,8.0067,25,15,7.716,7.476,0.052,7.439,7.513,,,,,0.074,7.476
443036,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,9.842,8.257,8.0111,25,15,7.716,7.495,0.006,7.491,7.5,,,,,0.009,7.4955
443037,SEGB-03,2023-04-07,car031_2023_022,46.35,-52.733333,4.487,8.2305,8.0217,25,15,7.716,7.5,0.0,7.5,7.5,,,,,0.0,7.5
443060,SEGB-09,2023-04-07,car031_2023_028,44.725,-51.395,67.745,8.084,7.8839,21,27,13.8889,7.501,0.057,7.541,7.46,,,,,0.081,7.5005
443061,SEGB-09,2023-04-07,car031_2023_028,44.725,-51.395,51.305,8.1242,7.9106,21,27,13.8889,7.463,0.001,7.462,7.463,,,,,0.001,7.4625
