Station,Latitude,Longitude,Date,Time,Depth,Comment,Cloud [1-9],Wind Dir [deg/10],Wind Speed [kts],WW Code,Bar Pressure [mb],Air Temp Dry [degC],Air Temp Wet [degC],Wave Period [s],Wave Height [0.5m],Swell Dir [deg/10],Swell Period [s],Swell Height [0.5m],Ice Conc [1/10s],Ice Stage [0-9],Bergs [# 0-9],Sit and Trend
car031_2023_001,47 32.80 N,52 35.20 W,2023-04-03,22:46,0173,S27-01        ,5,23,20,02,1012.1,-00.5,     ,01,01,  ,07,04, , , , 
car031_2023_002,47 05.99 N,52 36.69 W,2023-04-04,04:33,0151,S27TOSWSPB-01 , ,26,24,02,1017.0,-00.9,     ,02,01,18,07,03, , , , 
car031_2023_003,46 48.91 N,52 44.07 W,2023-04-04,06:27,0192,S27TOSWSPB-02 ,6,26,29,01,1019.1,-00.8,     ,02,02,22,08,04, , , , 
car031_2023_004,46 29.99 N,52 52.20 W,2023-04-04,08:32,0160,S27TOSWSPB-03 ,9,28,18,02,1021.2,-00.5,     ,04,04,22,06,05, , , , 
car031_2023_005,46 21.86 N,53 10.12 W,2023-04-04,10:32,0119,S27TOSWSPB-04 ,9,25,22,71,1022.3,-00.6,     ,03,03,25,06,05, , , , 
car031_2023_006,46 27.42 N,53 40.59 W,2023-04-04,12:30,0080,S27TOSWSPB-05 ,9,30,18,01,1021.2,-00.3,     ,03,01,25,06,05, , , , 
car031_2023_007,46 32.33 N,54 10.13 W,2023-04-04,14:25,0060,S27TOSWSPB-06 ,2,23,23,02,1023.0,004.2,     ,05,01,27,08,04, , , , 
car031_2023_008,46 37.44 N,54 41.30 W,2023-04-04,16:27,0164,S27TOSWSPB-07 ,9,22,22,  ,1019.9,001.2,     ,04,02,23,06,03, , , , 
car031_2023_009,46 42.71 N,55 13.70 W,2023-04-04,18:32,0117,S27TOSWSPB-08 ,9,20,21,02,1018.8,001.2,     ,02,03,23,06,03, , , , 
car031_2023_010,46 46.42 N,55 37.14 W,2023-04-04,20:18,0086,SWSPB-01      ,9,20,18,61,1018.3,001.6,     ,04,02,20,08,03, , , , 
car031_2023_011,46 30.29 N,56 01.79 W,2023-04-04,23:44,0140,SWSPB-02      ,4,25,16,02,1018.8,001.8,     ,02,01,  ,08,02, , , , 
car031_2023_012,46 10.88 N,56 30.65 W,2023-04-05,03:38,0059,SWSPB-03      ,9,24,15,45,1018.2,001.4,     ,02,02,10,09,02, , , , 
car031_2023_013,45 56.55 N,56 52.69 W,2023-04-05,06:50,0074,SWSPB-04      , ,30,21,42,1017.0,001.7,     ,05,01,  ,11,02, , , , 
car031_2023_014,45 50.80 N,57 01.40 W,2023-04-05,08:39,0371,SWSPB-05      ,7,31,11,02,1018.1,001.6,     ,04,02,27,08,02, , , , 
car031_2023_015,45 56.39 N,56 30.38 W,2023-04-05,16:43,0045,SWSPBTOSEGB-01,8,29,39,02,1022.4,-00.4,     ,03,08,29,06,04, , , , 
car031_2023_016,46 07.16 N,55 43.33 W,2023-04-05,19:57,0053,SWSPBTOSEGB-02,3,31,35,01,0962.0,005.5,     ,03,01,27,09,05, , , , 
car031_2023_017,46 16.85 N,55 00.12 W,2023-04-05,22:54,0166,SWSPBTOSEGB-03,2,30,35,02,1023.9,-01.3,     ,05,02,12,03,06, , , , 
car031_2023_018,46 29.19 N,54 16.64 W,2023-04-06,01:57,0089,SWSPBTOSEGB-04,2,29,28,02,1025.2,-01.3,     ,02,01,12,09,04, , , , 
car031_2023_019,46 35.02 N,53 34.95 W,2023-04-06,20:03,0024,SWSPBTOSEGB-05,9,26,15,02,0962.0,005.5,     ,05,01,27,08,04, , , , 
car031_2023_020,46 35.00 N,52 56.00 W,2023-04-06,22:50,0052,SEGB-01       ,4,27,06,03,1020.7,-00.3,     ,02,01,27,10,01, , , , 
car031_2023_021,46 30.00 N,52 51.00 W,2023-04-07,00:12,0178,SEGB-02       ,4,24,13,02,1019.7,-00.7,     ,02,01,  ,09,01, , , , 
car031_2023_022,46 21.00 N,52 44.00 W,2023-04-07,02:49,0170,SEGB-03       ,5,25,15,02,1018.2,-00.5,     ,03,01,  ,11,02, , , , 
car031_2023_023,46 12.50 N,52 36.50 W,2023-04-07,04:59,0130,SEGB-04       ,7,21,14,03,1015.9,-00.1,     ,03,01,  ,10,02, , , , 
car031_2023_024,46 04.20 N,52 30.00 W,2023-04-07,06:23,0088,SEGB-05       ,7,19,16,02,1014.0,000.6,     ,02,01,  ,10,02, , , , 
car031_2023_025,45 47.30 N,52 16.00 W,2023-04-07,09:05,0085,SEGB-06       ,9,19,20,45,1011.9,001.2,     ,03,02,00,08,03, , , , 
car031_2023_026,45 27.50 N,52 00.00 W,2023-04-07,11:47,0080,SEGB-07       ,9,20,25,45,1007.2,002.0,     ,02,03,01,03,04, , , , 
car031_2023_027,45 05.70 N,51 42.00 W,2023-04-07,14:55,0071,SEGB-08       ,9,25,27,45,1005.6,003.5,     ,02,03,01,08,05, , , , 
car031_2023_028,44 43.50 N,51 23.70 W,2023-04-07,18:01,0070,SEGB-09       ,9,21,27,  ,1005.2,003.2,     ,04,04,20,06,03, , , , 
car031_2023_029,44 21.80 N,51 06.20 W,2023-04-07,20:58,0070,SEGB-10       ,8,26,18,02,1005.5,003.7,     ,04,01,25,10,02, , , , 
car031_2023_030,44 00.00 N,50 48.50 W,2023-04-08,00:18,0072,SEGB-11       ,9,27,27,47,1006.4,004.0,     ,03,01,  ,10,03, , , , 
car031_2023_031,43 38.00 N,50 31.00 W,2023-04-08,03:19,0065,SEGB-12       ,6,26,15,03,1008.4,003.8,     ,02,01,  ,13,03, , , , 
car031_2023_032,43 12.00 N,50 10.00 W,2023-04-08,06:48,0066,SEGB-13       ,8,27,15,02,1010.4,003.7,     ,05,01,  ,13,03, , , , 
car031_2023_033,42 55.20 N,49 56.50 W,2023-04-08,09:22,0165,SEGB-14       ,9,24,15,02,1011.2,002.5,     ,03,02,22,06,05, , , , 
car031_2023_034,42 51.00 N,49 53.20 W,2023-04-08,10:30,0387,SEGB-15       ,9,29,12,02,1013.1,001.8,     ,04,02,27,06,05, , , , 
car031_2023_035,42 46.50 N,49 49.70 W,2023-04-08,12:50,1425,SEGB-16       ,9,31,10,02,1014.5,002.1,     ,03,02,30,06,06, , , , 
car031_2023_036,42 35.30 N,49 41.00 W,2023-04-08,16:40,2481,SEGB-17       ,8,31,15,02,1016.6,003.0,     ,02,01,27,08,04, , , , 
car031_2023_037,42 23.70 N,49 31.10 W,2023-04-08,20:42,2844,SEGB-18       ,7,30,10,02,1018.6,003.2,     ,02,01,30,08,03, , , , 
car031_2023_038,42 04.90 N,49 16.20 W,2023-04-09,00:57,3151,SEGB-19       ,8,33,21,03,1020.9,003.0,     ,03,01,  ,10,03, , , , 
car031_2023_039,42 04.90 N,49 16.20 W,2023-04-09,11:35,3151,SEGB-19       ,8,32,11,02,1025.3,002.3,     ,03,02,33,06,04, , , , 
car031_2023_040,42 27.31 N,48 48.69 W,2023-04-09,18:28,3024,SEGBTOFC-01   ,9,25,10,  ,1025.0,002.9,     ,05,01,27,08,05, , , , 
car031_2023_041,42 50.79 N,48 19.69 W,2023-04-09,21:31,3084,SEGBTOFC-02   ,5,26,11,02,1025.0,002.0,     ,01,01,33,12,03, , , , 
car031_2023_042,43 14.97 N,47 49.67 W,2023-04-10,00:24,3357,SEGBTOFC-03   ,8,27,13,02,1025.0,001.5,     ,03,01,  ,10,03, , , , 
car031_2023_043,43 38.07 N,47 20.93 W,2023-04-10,03:29,2827,SEGBTOFC-04   ,8,25,18,02,1023.5,002.0,     ,03,01,  ,09,03, , , , 
car031_2023_044,43 53.13 N,47 01.74 W,2023-04-10,06:22,4152,SEGBTOFC-05   , ,27,15,72,1022.4,000.3,     ,03,01,  ,08,03, , , , 
