,Stickr,Station-ID,Date,ShTrpStn,latitude,longitude,PrDM,Sbeox0ML/L,Sbeox1ML/L,Wind Dir [deg/10],Wind Speed [kts],Wind Speed [m/s],[O2](ml/l),std_[O2](ml/l),Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l),WINKLER-DIFF,WINKLER,Primary Oxygen Serial Number,Primary Oxygen Old SOC,Secondary Oxygen Serial Number,Secondary Oxygen Old SOC
0,443159,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,151.954,6.7536,6.4174,26,23,11.8313,5.96,0.009,5.966,5.953,,,,,0.013,5.9595,2549,0.5806,2550,0.4675
1,443160,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,100.189,7.1716,6.8204,26,23,11.8313,6.402,0.074,6.35,6.455,,,,,0.105,6.4025,2549,0.5806,2550,0.4675
2,443161,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,77.512,7.379,7.0012,26,23,11.8313,6.516,0.01,6.509,6.523,,,,,0.014,6.516,2549,0.5806,2550,0.4675
3,443163,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,40.464,7.2401,6.8713,26,23,11.8313,6.393,0.046,6.425,6.36,,,,,0.065,6.3925,2549,0.5806,2550,0.4675
4,443165,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,10.142,7.203,6.8535,26,23,11.8313,6.384,0.026,6.403,6.366,,,,,0.037,6.3845,2549,0.5806,2550,0.4675
5,443166,FC-33,2023-04-11,car031_2023_053,47.0,-43.4,5.398,7.2018,6.8387,26,23,11.8313,6.384,0.023,6.4,6.368,,,,,0.032,6.384,2549,0.5806,2550,0.4675
6,443196,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,163.602,6.3333,5.9686,9,30,15.4321,6.198,0.004,6.201,6.195,,,,,0.006,6.198,2549,0.5806,2550,0.4675
7,443197,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,149.903,6.4162,6.0673,9,30,15.4321,5.742,0.011,5.734,5.749,,,,,0.015,5.7415,2549,0.5806,2550,0.4675
8,443201,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,40.307,7.4483,7.0328,9,30,15.4321,6.627,0.004,6.63,6.624,,,,,0.006,6.627,2549,0.5806,2550,0.4675
9,443203,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,20.073,7.4403,7.023,9,30,15.4321,6.643,0.001,6.642,6.644,,,,,0.002,6.643,2549,0.5806,2550,0.4675
10,443204,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,10.033,7.4419,7.0288,9,30,15.4321,6.645,0.042,6.674,6.615,,,,,0.059,6.6445,2549,0.5806,2550,0.4675
11,443205,FC-24,2023-04-12,car031_2023_061,47.0,-45.213333,5.152,7.4423,7.0338,9,30,15.4321,6.624,0.003,6.622,6.626,,,,,0.004,6.624,2549,0.5806,2550,0.4675
12,443228,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,152.85,7.417,6.9925,29,50,25.7202,6.595,0.049,6.56,6.629,,,,,0.069,6.5945,2549,0.5806,2550,0.4675
13,443229,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,105.88,7.58,7.1305,29,50,25.7202,6.765,0.026,6.784,6.747,,,,,0.037,6.7655,2549,0.5806,2550,0.4675
14,443230,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,77.296,7.63,7.1839,29,50,25.7202,6.753,0.034,6.729,6.777,,,,,0.048,6.753,2549,0.5806,2550,0.4675
15,443234,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,19.326,7.5656,7.1333,29,50,25.7202,6.778,0.045,6.81,6.746,,,,,0.064,6.778,2549,0.5806,2550,0.4675
16,443235,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,10.253,7.5661,7.1436,29,50,25.7202,6.724,0.04,6.696,6.753,,,,,0.057,6.7245,2549,0.5806,2550,0.4675
17,443236,FC-20,2023-04-12,car031_2023_065,47.0,-46.483333,6.443,7.5774,7.1449,29,50,25.7202,6.733,0.008,6.728,6.739,,,,,0.011,6.7335,2549,0.5806,2550,0.4675
18,443271,FC-14,2023-04-13,car031_2023_070,47.0,-47.5,148.821,7.2465,6.8531,23,10,5.144,6.418,0.004,6.421,6.415,,,,,0.006,6.418,2549,0.5806,2550,0.4675
