Mission / Project
 Identifier: HUD120
 Name: AZMP
 Operator: SS/WB/RD/SR/GD/DB/CB/BD/MG
 Research centre: NAFC
 Dates: Nov 2020
 Platform: HUDSON

Sample,[O2](ml/l),std_[O2](ml/l),Analysis_Date_time,Rep_1(ml/l),Rep_2(ml/l),Rep_3(ml/l),Rep_4(ml/l),Rep_5(ml/l),Rep_6(ml/l)
439568,7.036,0.033,2020-11-17 23:20:31,7.059,7.013,,,,
439569,7.008,0.025,2020-11-17 23:32:32,7.026,6.991,,,,
439570,7.019,0.005,2020-11-17 23:43:26,7.023,7.016,,,,
439571,7.031,0.005,2020-11-17 23:53:58,7.034,7.027,,,,
439572,7.008,0.015,2020-11-18 00:04:51,7.019,6.998,,,,
439563,6.507,0.049,2020-11-18 00:16:09,6.541,6.472,,,,
439564,6.918,0.004,2020-11-18 00:26:29,6.920,6.915,,,,
439565,6.978,0.012,2020-11-18 00:37:58,6.986,6.969,,,,
439566,6.159,0.015,2020-11-18 00:49:46,6.170,6.149,,,,
439567,7.364,0.001,2020-11-18 01:00:03,7.363,7.365,,,,
439595,5.117,0.005,2020-11-18 16:04:47,5.113,5.120,,,,
439596,5.636,0.047,2020-11-18 16:16:04,5.670,5.603,,,,
439597,5.924,0.019,2020-11-18 16:26:29,5.937,5.910,,,,
439598,5.884,0.001,2020-11-18 16:36:46,5.885,5.883,,,,
439601,5.905,0.001,2020-11-18 16:47:00,5.904,5.905,,,,
439599,5.934,0.007,2020-11-18 16:56:36,5.929,5.939,,,,
439600,5.885,0.005,2020-11-18 17:07:38,5.888,5.881,,,,
439629,6.478,0.144,2020-11-19 05:21:57,6.376,6.579,,,,
439623,6.454,0.026,2020-11-19 05:32:37,6.473,6.436,,,,
439624,6.482,0.003,2020-11-19 05:42:25,6.480,6.484,,,,
439625,6.564,0.009,2020-11-19 05:51:48,6.558,6.571,,,,
439626,6.603,0.017,2020-11-19 06:01:13,6.615,6.591,,,,
439627,6.628,0.013,2020-11-19 06:30:18,6.638,6.619,,,,
439628,6.669,0.006,2020-11-19 06:44:31,6.665,6.673,,,,
439657,7.245,0.064,2020-11-19 18:58:30,7.291,7.200,,,,
439658,7.332,0.017,2020-11-19 19:12:34,7.320,7.344,,,,
439659,7.099,0.036,2020-11-19 19:24:23,7.125,7.074,,,,
439660,6.806,0.006,2020-11-19 19:35:36,6.811,6.802,,,,
439661,6.809,0.018,2020-11-19 19:47:33,6.821,6.796,,,,
439662,6.797,0.006,2020-11-19 19:57:43,6.792,6.801,,,,
