Station,Latitude,Longitude,Date,Time,Depth,Comment,Cloud [1-9],Wind Dir [deg/10],Wind Speed [kts],WW Code,Bar Pressure [mb],Air Temp Dry [degC],Air Temp Wet [degC],Wave Period [s],Wave Height [0.5m],Swell Dir [deg/10],Swell Period [s],Swell Height [0.5m],Ice Conc [1/10s],Ice Stage [0-9],Bergs [# 0-9],Sit and Trend
hud120_2020_001,47 32.80 N,052 35.20 W,2020-11-10,02:30,0179,S27-01        , ,29,10,02,1016.1,006.1,     ,  ,  ,05,  ,04, , , , 
hud120_2020_002,47 03.04 N,052 47.73 W,2020-11-10,05:39,0168,S27TOPB04-01  ,2,23,06,02,1015.6,006.7,     ,04,04,  ,  ,  , , , , 
hud120_2020_003,46 32.54 N,053 38.72 W,2020-11-10,10:17,0050,S27TOPB04-02  ,8,25,24,02,1015.7,008.2,     ,03,02,25,05,03, , , , 
hud120_2020_004,46 33.83 N,054 14.03 W,2020-11-10,12:21,0088,S27TOPB04-03  ,7,25,16,40,1016.5,007.9,     ,02,03,09,02,03, , , , 
hud120_2020_005,46 54.40 N,054 40.50 W,2020-11-10,15:41,0226,PB-04         ,7,23,20,02,1015.5,008.9,     ,04,01,09,04,02, , , , 
hud120_2020_006,46 44.51 N,055 11.10 W,2020-11-10,18:29,0131,PB04TOSWSPB-01,9,24,25,45,1012.9,008.1,     ,  ,  ,23,03,04, , , , 
hud120_2020_007,46 46.42 N,055 37.14 W,2020-11-10,20:42,0097,SWSPB-01      ,9,25,15,45,1013.4,008.4,     ,  ,  ,24,04,04, , , , 
hud120_2020_008,46 31.17 N,054 59.79 W,2020-11-11,01:55,0206,SWSPBTOS27-01 ,1,25,20,02,1012.5,010.5,     ,  ,  ,24,  ,04, , , , 
hud120_2020_009,46 32.36 N,054 04.02 W,2020-11-11,04:59,0071,SWSPBTOS27-02 ,1,25,20,01,1011.8,009.6,     ,03,02,25,03,02, , , , 
hud120_2020_010,46 32.11 N,053 10.69 W,2020-11-11,07:57,0055,SWSPBTOS27-03 ,2,26,20,02,1011.6,009.8,     ,03,02,26,03,02, , , , 
hud120_2020_011,47 02.88 N,052 47.65 W,2020-11-11,10:56,0107,SWSPBTOS27-04 ,6,33,10,02,1012.4,010.1,     ,02,01,  ,  ,  , , , , 
hud120_2020_012,47 32.80 N,052 35.20 W,2020-11-17,02:00,0178,S27-01        ,9,16,35,02,1013.8,006.2,     ,  ,  ,35,05,06, , , , 
hud120_2020_013,47 15.90 N,052 38.96 W,2020-11-17,04:57,0156,S27TOSEGB-01  , ,22,45,02,1005.6,006.1,     ,07,10,23,07,10, , , , 
hud120_2020_014,46 57.13 N,052 42.68 W,2020-11-17,08:05,0184,S27TOSEGB-02  , ,18,40,62,1002.6,008.3,     ,07,10,15,07,10, , , , 
hud120_2020_015,46 35.00 N,052 56.00 W,2020-11-17,12:15,0056,SEGB-01       ,3,24,16,01,1006.5,006.3,     ,01,08,15,10,08, , , , 
hud120_2020_016,46 30.00 N,052 51.00 W,2020-11-17,14:13,0180,SEBG-02       ,3,24,18,02,1007.6,006.8,     ,05,05,15,06,08, , , , 
hud120_2020_017,46 21.00 N,052 44.00 W,2020-11-17,17:08,0176,SEGB-03       ,3,25,20,02,1007.6,006.4,     ,  ,  ,34,04,08, , , , 
hud120_2020_018,46 12.50 N,052 36.50 W,2020-11-17,19:26,0131,SEGB-04       ,5,27,15,03,1008.6,007.8,     ,  ,  ,35,04,06, , , , 
hud120_2020_019,46 04.20 N,052 30.00 W,2020-11-17,21:11,0091,SEGB-05       ,6,25,10,03,1009.4,007.9,     ,  ,  ,30,04,06, , , , 
hud120_2020_020,45 47.30 N,052 16.00 W,2020-11-17,23:56,0086,SEGB-06       ,3,18,10,02,1009.2,008.6,     ,  ,  ,34,04,06, , , , 
hud120_2020_021,45 27.50 N,052 00.00 W,2020-11-18,03:05,0080,SEGB-07       ,1,16,10,01,1007.4,009.5,     ,  ,  ,33,05,06, , , , 
