Station,Latitude,Longitude,Date,Time,Depth,Comment,Cloud [1-9],Wind Dir [deg/10],Wind Speed [kts],WW Code,Bar Pressure [mb],Air Temp Dry [degC],Air Temp Wet [degC],Wave Period [s],Wave Height [0.5m],Swell Dir [deg/10],Swell Period [s],Swell Height [0.5m],Ice Conc [1/10s],Ice Stage [0-9],Bergs [# 0-9],Sit and Trend
atl001_2022_001,47 32.80 N,052 35.20 W,2022-04-10,14:06,0176,S27-01        ,7,08,02,  ,0999.1,003.8,     ,08,01,18,10,01, , , , 
atl001_2022_002,47 01.84 N,052 29.94 W,2022-04-10,19:25,0147,S27TOPB04-01  ,7,08,13,02,0997.8,000.8,     ,08,01,18,10,03, , , , 
atl001_2022_003,46 33.94 N,052 48.56 W,2022-04-10,21:50,0193,S27TOPB04-02  ,8,07,20,02,0994.2,001.1,     ,05,02,16,08,03, , , , 
atl001_2022_004,46 24.66 N,053 18.34 W,2022-04-10,23:41,0102,S27TOPB04-03  ,8,08,30,02,0989.6,000.6,     ,05,02,16,08,01, , , , 
atl001_2022_005,46 28.68 N,053 52.54 W,2022-04-11,01:32,0164,S27TOPB04-04  ,8,08,33,02,0986.4,000.9,     ,04,02,16,08,02, , , , 
atl001_2022_006,46 44.67 N,054 23.97 W,2022-04-11,03:50,0161,S27TOPB04-05  ,8,10,15,02,0983.6,002.3,     ,02,01,  ,  ,  , , , , 
atl001_2022_007,46 54.30 N,054 40.50 W,2022-04-11,06:19,0228,PB-04         ,9,05,21,  ,0981.1,006.0,     ,02,02,  ,  ,  , , , , 
atl001_2022_008,46 39.74 N,055 11.15 W,2022-04-11,09:32,0143,PBTOSWSPB-01  ,9,02,10,02,0980.0,001.4,     ,08,03,  ,  ,  , , , , 
atl001_2022_009,46 46.42 N,055 37.14 W,2022-04-11,11:25,0100,SWSPB-01      ,9,00,23,02,0982.5,001.1,     ,06,01,05,05,02, , , , 
atl001_2022_010,46 30.29 N,056 01.79 W,2022-04-11,15:33,0152,SWSPB-02      ,7,30,27,02,0989.2,001.7,     ,  ,  ,03,07,04, , , , 
