SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
127,ARNOLDS COVE,47.9,54.21,10,15,12/01/1978,3:50:00 PM,01/02/1978,11:50:00 PM,14400,16710,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_58_1978_01_12.rpf
127,ARNOLDS COVE,47.75,54,9,null,27/09/1988,1:30:00 PM,20/12/1988,7:30:00 PM,null,62582,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_17_1988_09_27.rpf
127,ARNOLDS COVE,47.75,54,9,9,27/09/1988,3:00:00 PM,20/12/1988,11:00:00 PM,7200,62582,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_63_1988_09_27.rpf
127,ARNOLDS COVE,47.75,54,9,9,24/01/1989,4:00:00 PM,11/05/1989,3:00:00 PM,3600,3264,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_53_1989_01_24.rpf
127,ARNOLDS COVE,47.75,54,9,9,11/05/1989,4:00:00 PM,15/07/1989,6:00:00 PM,3600,3213,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_2_1989_05_11.rpf
127,ARNOLDS COVE,47.75,54,9,9,14/09/1989,4:00:00 PM,24/02/1990,7:00:00 AM,3600,3267,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_51_1989_09_14.rpf
127,ARNOLDS COVE,47.75,54,9,9,19/01/1990,2:00:00 PM,10/05/1990,4:00:00 PM,3600,3260,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_34_1990_01_19.rpf
127,ARNOLDS COVE,47.75,54,9,9,10/05/1990,5:00:00 PM,03/10/1990,4:00:00 PM,3600,3213,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_21_1990_05_10.rpf
127,ARNOLDS COVE,47.75,54,9,9,03/10/1990,6:00:00 PM,13/04/1991,11:00:00 PM,3600,3287,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_90_1990_10_03.rpf
127,ARNOLDS COVE,47.75,54,9,9,24/04/1991,6:00:00 PM,01/12/1991,12:00:00 PM,3600,3263,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_54_1991_04_24.rpf
127,ARNOLDS COVE,47.75,54,9,9,09/10/1991,5:00:00 PM,04/12/1991,3:00:00 PM,3600,3213,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_37_1991_10_09.rpf
127,ARNOLDS COVE,47.75,54,9,9,04/12/1991,4:00:00 PM,19/05/1992,7:00:00 PM,3600,4360,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_66_1991_12_04.rpf
127,ARNOLDS COVE,47.75,54,9,9,10/06/1992,4:00:00 PM,01/12/1992,12:00:00 PM,3600,3266,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_36_1992_06_10.rpf
127,ARNOLDS COVE,47.75,54,9,9,13/10/1992,12:00:00 PM,10/12/1992,2:00:00 PM,3600,6744,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_94_1992_10_13.rpf
127,ARNOLDS COVE,47.75,54,9,9,10/12/1992,5:00:00 PM,31/05/1993,12:00:00 PM,3600,5457,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_38_1992_12_10.rpf
127,ARNOLDS COVE,47.75,54,9,9,18/05/1993,12:00:00 PM,05/11/1993,8:00:00 PM,3600,3213,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_86_1993_05_18.rpf
127,ARNOLDS COVE,47.75,54,9,9,08/12/1993,3:00:00 PM,28/05/1994,2:00:00 AM,60,7944,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_43_1993_12_08.rpf
127,ARNOLDS COVE,47.75,54,9,9,08/12/1993,3:00:00 PM,28/05/1994,2:00:00 AM,3600,7944,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Arnolds Cove\MTR_47_1993_12_08.rpf
