SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
101,null,47.42,53.83,6,6,18/04/1979,5:30:00 PM,14/05/1979,9:30:00 PM,14400,0,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_44_1979_04_18.rpf
101,null,47.42,53.83,6,6,23/09/1980,2:30:00 PM,30/10/1980,2:30:00 PM,14400,61041,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_11_1980_09_23.rpf
101,null,47.73,53.22,10,16,31/05/1989,12:00:00 AM,31/08/1989,8:00:00 PM,14400,63305,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_31_1989_05_31.rpf
101,BRISTOLS HOPE,47.43,53.11,10,null,25/05/1990,6:05:00 PM,20/09/1990,12:15:00 PM,null,63800,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_27_1990_05_25.rpf
101,null,47.73,53.18,10,16,31/05/1990,7:00:00 PM,23/09/1990,1:00:00 AM,7200,63800,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_7_1990_05_31.rpf
101,Bristols Hope,47.73,53.18,10,null,22/05/1991,11:05:00 AM,19/07/1991,12:00:00 PM,null,62900,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_36_1991_05_22.rpf
101,null,47.73,53.18,10,16,22/05/1991,12:00:00 PM,11/08/1991,4:00:00 PM,14400,62900,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_5_1991_05_22.rpf
101,BRISTOLS HOPE,47.73,53.18,10,null,27/05/1992,9:17:00 AM,28/07/1992,5:10:00 AM,null,63331,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_29_1992_05_27.rpf
101,null,47.73,53.18,10,16,12/06/1993,9:00:00 AM,22/09/1993,12:00:00 PM,3600,6742,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_16_1993_06_12.rpf
101,null,47.73,53.18,10,15,08/06/1994,10:00:00 PM,05/09/1994,5:00:00 PM,3600,7930,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Bristols Hope\MTR_12_1994_06_08.rpf
