SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
245,null,48.71,53.76,4.5,4.5,18/06/1969,10:00:00 AM,04/07/1969,6:00:00 PM,14400,1181,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_8_1969_06_18.rpf
262,null,48.71,53.76,27,27,27/11/1969,11:30:00 AM,10/12/1969,11:30:00 PM,14400,1189,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_11_1969_11_27.rpf
261,null,48.71,53.76,27,27,18/12/1969,3:30:00 PM,12/01/1970,3:30:00 AM,14400,1184,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_66_1969_12_18.rpf
118,null,47.9,54.21,3,15,01/08/1978,5:00:00 PM,07/09/1978,5:00:00 AM,14400,19120,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_97_1978_08_01.rpf
118,null,49.41,54.83,10,10,11/01/1989,6:00:00 PM,15/05/1989,6:00:00 PM,10800,63383,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_33_1989_01_11.rpf
118,null,49.41,54.83,9,9,16/05/1989,2:00:00 AM,19/04/1990,12:00:00 PM,3600,3264,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_72_1989_05_16.rpf
118,null,49.41,54.83,9,9,26/09/1989,1:00:00 PM,25/11/1989,2:00:00 PM,3600,4361,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_16_1989_09_26.rpf
118,null,49.41,54.83,9,9,19/04/1990,2:00:00 PM,18/09/1990,11:00:00 AM,3600,5456,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_24_1990_04_19.rpf
118,null,49.41,54.83,10,10,18/09/1990,1:00:00 PM,21/11/1990,7:00:00 PM,3600,3261,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_40_1990_09_18.rpf
118,null,49.41,54.83,9,9,21/11/1990,8:00:00 PM,07/05/1991,12:00:00 PM,3600,3213,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Comfort Cove\MTR_41_1990_11_21.rpf
