SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
179,null,47.9,54.21,3,15,19/08/1976,3:15:00 PM,20/09/1976,3:15:00 AM,14400,9110,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_55_1976_08_19.rpf
179,null,49.55,56.83,9,18,17/06/1991,7:00:00 PM,14/08/1991,1:00:00 AM,21600,63326,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_28_1991_06_17.rpf
179,HamptonWhite Bay,49.55,58.83,9,null,17/06/1991,7:00:00 PM,14/08/1991,6:00:00 PM,null,63326,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_47_1991_06_17.rpf
179,HAMPTON WHITE BAY,49.55,56.83,9,null,17/06/1991,7:00:00 PM,14/08/1991,2:26:00 AM,null,63326,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_5_1991_06_17.rpf
179,HAMPDEN WHITE BAY,49.55,56.83,10,null,10/06/1992,3:00:00 PM,27/08/1992,2:29:00 PM,null,62882,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_25_1992_06_10.rpf
179,null,49.55,56.83,10,70,10/06/1992,3:00:00 PM,27/08/1992,12:00:00 PM,10800,62882,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_49_1992_06_10.rpf
179,null,49.55,56.83,10,70,14/06/1993,9:00:00 PM,14/09/1993,3:00:00 PM,3600,3260,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_27_1993_06_14.rpf
179,HAMPDEN WHITE BAY,49.55,56.83,10,70,22/06/1994,9:00:00 PM,06/09/1994,9:00:00 AM,60,5459,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_36_1994_06_22.rpf
179,null,49.55,56.83,10,70,22/06/1994,9:00:00 PM,06/09/1994,9:00:00 AM,3600,5459,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_41_1994_06_22.rpf
179,HAMPDEN WHITE BAY,49.55,56.83,10,10,27/06/1995,8:00:00 PM,07/10/1995,6:00:00 PM,60,8954,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_52_1995_06_27.rpf
179,null,49.55,56.83,10,10,27/06/1995,8:00:00 PM,07/10/1995,6:00:00 PM,3600,8954,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_7_1995_06_27.rpf
179,HAMPDEN WHITE BAY,49.55,56.83,10,70,30/05/1996,5:00:00 PM,05/09/1996,12:00:00 PM,60,8959,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_15_1996_05_30.rpf
179,null,49.55,56.83,10,70,07/06/1996,7:00:00 PM,05/09/1996,6:00:00 PM,3600,8959,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_39_1996_06_07.rpf
null,,null,null,null,null,15/05/1997,1:00:00 PM,19/01/1998,null,null,6594,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_23_1997_05_15.rpf
179,HAMPDEN WHITE BAY,49.55,56.83,10,70,24/06/1997,8:00:00 PM,19/11/1997,10:00:00 AM,60,6594,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_22_1997_06_24.rpf
179,null,49.55,56.83,10,70,24/06/1997,8:00:00 PM,19/11/1997,10:00:00 AM,3600,6594,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_50_1997_06_24.rpf
null,Hampden,null,null,null,null,25/05/1998,1:00:00 PM,03/12/1998,null,null,5516,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Hampden\MTR_20_1998_05_25.rpf
