SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
114,null,49.25,53.45,15,15,31/05/1989,2:00:00 PM,20/08/1989,7:00:00 PM,3600,63315,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_17_1989_05_31.rpf
114,CAPE FREELS,49.29,*****,15,31,06/06/1998,2:00:00 PM,03/11/1998,1:00:00 PM,60,8962,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_10_1998_06_06.rpf
114,CAPE FREELS,49.29,53.53,15,35,13/06/1999,1:00:00 PM,15/11/1999,2:00:00 PM,60,7929,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_18_1999_06_13.rpf
114,CAPE FREELS,49.25,53.53,15,30,16/05/2000,6:00:00 PM,16/11/2000,7:00:00 PM,60,7946,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_20_2000_05_16.rpf
114,CAPE FREELS,49.25,53.53,15,33,28/05/2002,10:00:00 PM,29/10/2002,7:00:00 PM,60,4333,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_11_2002_05_28.rpf
null,cape freels,null,null,null,null,19/05/2003,12:00:00 PM,12/01/2004,6:14:49 PM,0.041666667,4347,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_7_2003_05_19.rpf
114,CAPE FREELS,49.29,53.53,15,31,26/05/2003,12:00:00 AM,24/10/2003,5:00:00 PM,60,4347,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_3_2003_05_26.rpf
null,cape Freels,null,null,null,null,18/05/2004,12:00:00 PM,12/11/2004,1:52:09 PM,0.041666667,7419,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_6_2004_05_18.rpf
114,CAPE FREELS,49.29,53.53,15,30,03/06/2004,10:00:00 PM,15/10/2004,5:00:00 PM,60,7419,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_13_2004_06_03.rpf
null,cape Freels,null,null,null,null,07/05/2005,12:00:00 PM,16/05/2005,12:33:19 PM,0.010416667,7419,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_16_2005_05_07.rpf
null,Cape Freels Metre,null,null,null,null,18/05/2005,12:00:00 PM,21/11/2005,5:13:09 PM,0.041666667,9496,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_14_2005_05_18.rpf
114,CAPE FREELS,49.29,53.53,15,30,29/05/2005,10:00:00 PM,20/10/2005,4:00:00 PM,60,9496,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_15_2005_05_29.rpf
null,Cape Freels,null,null,null,null,18/05/2006,12:00:00 PM,06/11/2006,5:18:29 PM,0.041666667,3729,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_4_2006_05_18.rpf
114,CAPE FREELS,49.29,53.53,15,15,01/06/2006,10:00:00 AM,30/10/2006,12:00:00 PM,60,3729,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_19_2006_06_01.rpf
114,CAPE FREELS,49.29,53.53,15,15,15/06/2007,9:00:00 PM,21/10/2007,8:00:00 PM,60,8969,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_9_2007_06_15.rpf
114,CAPE FREELS,49.29,53.53,15,15,25/05/2008,10:00:00 AM,28/10/2008,2:00:00 PM,60,7928,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_1_2008_05_25.rpf
null,Cape Freels,null,null,null,null,15/05/2009,1:00:00 PM,10/11/2009,null,null,7928,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_2_2009_05_15.rpf
null,Cape Freels,null,null,null,null,11/05/2010,1:00:00 PM,19/11/2010,null,null,7821,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_12_2010_05_11.rpf
null,CApe Freels M,null,null,null,null,15/05/2011,1:00:00 PM,15/11/2011,null,null,8955,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_5_2011_05_15.rpf
null,Lumsden M,null,null,null,null,12/05/2012,1:00:00 PM,06/02/2013,null,null,6598,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Lumsden\15m\MTR_8_2012_05_12.rpf
