SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path,,,,,,,,
102,MELROSETRINITY BAY,48.47,53.04,5,null,11/06/1989,4:00:00 PM,18/10/1989,12:00:00 PM,null,63383,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_32_1989_06_11.rpf,,,,,,,,
102,null,48.47,53.04,5,45,11/06/1989,5:00:00 PM,18/10/1989,8:00:00 AM,3600,63383,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_39_1989_06_11.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,6,28,01/06/1995,9:00:00 AM,05/09/1995,12:00:00 PM,60,4323,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_16_1995_06_01.rpf,,,,,,,,
102,null,48.47,53.04,6,28,01/06/1995,9:00:00 AM,05/09/1995,12:00:00 PM,3600,4323,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_37_1995_06_01.rpf,,,,,,,,
102,null,48.47,53.04,5,28,20/06/1997,8:00:00 PM,27/10/1997,5:00:00 PM,3600,7832,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_11_1997_06_20.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,28,20/06/1997,8:00:00 PM,27/10/1997,5:00:00 PM,60,7832,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_1_1997_06_20.rpf,,,,,,,,
102,null,47.8,55.83,5,86,04/10/1997,5:00:00 PM,04/04/1998,6:00:00 PM,3600,3866,MINILOG-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_26_1997_10_04.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,31,02/06/1998,10:00:00 PM,30/10/1998,12:00:00 PM,60,6600,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_3_1998_06_02.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,0,16/06/1999,10:00:00 PM,26/06/1999,7:00:00 PM,60,5477,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_31_1999_06_16.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,0,30/09/1999,6:00:00 PM,08/11/1999,5:00:00 PM,60,00C147,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_15_1999_09_30.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,5,13/06/2001,7:00:00 PM,06/10/2001,11:00:00 AM,60,5475,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_13_2001_06_13.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,40,04/06/2002,2:00:00 PM,12/09/2002,4:00:00 PM,60,7937,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_27_2002_06_04.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,40,15/09/2002,3:00:00 PM,25/10/2002,12:00:00 PM,60,7945,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_9_2002_09_15.rpf,,,,,,,,
null,melrose M),null,null,null,null,19/05/2003,12:00:00 PM,12/01/2004,6:03:29 PM,0.041666667,2180,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_38_2003_05_19.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,31,21/05/2003,2:00:00 PM,03/11/2003,6:00:00 PM,60,2180,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_18_2003_05_21.rpf,,,,,,,,
null,Melrose metre,null,null,null,null,18/05/2004,12:00:00 PM,16/11/2004,3:18:39 PM,0.041666667,3827,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_33_2004_05_18.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,31,25/05/2004,8:00:00 PM,25/10/2004,4:00:00 PM,60,3827,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_36_2004_05_25.rpf,,,,,,,,
null,Melrose Metre,null,null,null,null,18/05/2005,12:00:00 PM,21/11/2005,7:02:09 PM,0.041666667,9500,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_22_2005_05_18.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,5,26/05/2005,1:00:00 PM,17/11/2005,1:00:00 PM,60,9500,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_10_2005_05_26.rpf,,,,,,,,
null,Melrose,null,null,null,null,18/05/2006,12:00:00 PM,06/11/2006,3:49:09 PM,0.041666667,452,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_23_2006_05_18.rpf,,,,,,,,
null,Melrose,null,null,null,null,15/05/2007,12:00:00 PM,29/10/2007,12:47:19 PM,0.041666667,1176,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_2_2007_05_15.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,5,08/06/2007,9:00:00 PM,19/10/2007,4:00:00 PM,60,008A0B,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_6_2007_06_08.rpf,,,,,,,,
null,Melrose,null,null,null,null,20/05/2008,12:00:00 PM,17/11/2008,1:39:39 PM,0.041666667,4935,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_30_2008_05_20.rpf,,,,,,,,
102,MELROSE TRINITY BAY,48.47,53.04,5,5,30/05/2008,6:00:00 PM,16/10/2008,12:00:00 PM,60,008A0B,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_34_2008_05_30.rpf,,,,,,,,
null,melrose fall,null,null,null,null,27/09/2008,12:00:00 PM,17/11/2008,1:37:59 PM,0.041666667,6289,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_7_2008_09_27.rpf,,,,,,,,
null,Melrose,null,null,null,null,15/05/2009,1:00:00 PM,09/11/2009,null,null,8972,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_29_2009_05_15.rpf,,,,,,,,
null,Melrose,null,null,null,null,15/05/2009,12:00:00 PM,09/11/2009,3:39:09 PM,0.041666667,4935,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_35_2009_05_15.rpf,,,,,,,,
null,Melrose,null,null,null,null,11/05/2010,12:00:00 PM,18/11/2010,4:43:09 PM,0.041666667,4601,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_19_2010_05_11.rpf,,,,,,,,
null,Melrose,null,null,null,null,11/05/2010,1:00:00 PM,19/11/2010,null,null,3266,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_24_2010_05_11.rpf,,,,,,,,
null,Melrose,null,null,null,null,15/05/2011,12:00:00 PM,14/11/2011,5:59:29 PM,0.041666667,3733,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_21_2011_05_15.rpf,,,,,,,,
null,Melrose M,null,null,null,null,15/05/2011,1:00:00 PM,15/11/2011,null,null,3266,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_4_2011_05_15.rpf,,,,,,,,
null,Melrose M,null,null,null,null,12/05/2012,1:00:00 PM,16/11/2012,null,null,7930,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_25_2012_05_12.rpf,,,,,,,,
null,Melrose M,null,null,null,null,13/09/2012,12:00:00 PM,06/02/2013,6:16:39 PM,0.041666667,5532,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_8_2012_09_13.rpf,,,,,,,,
null,Melrose,null,null,null,null,13/05/2013,12:00:00 PM,06/02/2014,3:00:00 PM,0.041666667,354448,Minilog-II-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_14_2013_05_13.rpf,,,,,,,,
null,MELROSE,null,null,null,null,21/05/2014,12:00:00 PM,19/12/2014,1:00:00 PM,0.041666667,354445,Minilog-II-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_5_2014_05_21.rpf,,,,,,,,
null,Melrose,null,null,null,null,18/05/2015,12:00:00 PM,09/11/2015,5:00:00 PM,0.041666667,356309,Minilog-II-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Melrose\5m\MTR_12_2015_05_18.rpf,,,,,,,,
