SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
100,null,48.71,53.76,9,9,15/04/1980,10:30:00 AM,14/07/1980,6:30:00 PM,14400,60730,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_14_1980_04_15.rpf
100,OLD BONAVENTURE,48.28,53.42,9,null,07/06/1989,12:00:00 PM,07/08/1989,8:00:00 AM,null,63328,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_13_1989_06_07.rpf
100,null,48.28,53.42,9,22,08/06/1989,12:00:00 AM,07/08/1989,8:00:00 AM,14400,63328,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_30_1989_06_08.rpf
100,OLD BONAVENTURE,48.16,53.25,10,null,15/06/1990,10:30:00 AM,27/08/1990,1:30:00 PM,null,63282,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_58_1990_06_15.rpf
100,null,48.28,53.42,10,22,15/06/1990,12:00:00 PM,27/08/1990,6:00:00 AM,7200,63282,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_59_1990_06_15.rpf
100,Old Bonaventure,48.28,53.42,10,null,16/06/1991,1:00:00 PM,27/09/1991,7:30:00 PM,null,61524,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_18_1991_06_16.rpf
100,null,48.28,53.42,10,22,16/06/1991,1:00:00 PM,26/09/1991,5:00:00 AM,14400,61524,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_21_1991_06_16.rpf
100,OLD BONAVENTURE,48.28,53.42,10,null,15/06/1992,5:35:00 PM,20/08/1992,6:50:00 AM,null,63424,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_34_1992_06_15.rpf
100,null,48.28,53.42,10,22,15/06/1992,7:00:00 PM,20/08/1992,5:00:00 AM,7200,63424,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_50_1992_06_15.rpf
100,null,48.28,53.42,10,22,21/06/1993,11:00:00 AM,07/09/1993,11:00:00 AM,3600,6741,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_5_1993_06_21.rpf
100,null,48.28,53.42,10,22,19/05/1994,8:00:00 PM,13/09/1994,10:00:00 AM,3600,7937,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_20_1994_05_19.rpf
100,OLD BONAVENTURE,48.28,53.42,10,22,19/05/1994,8:00:00 PM,13/09/1994,10:00:00 AM,60,7937,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_54_1994_05_19.rpf
100,OLD BONAVENTURE,48.28,53.42,10,null,05/07/1995,12:00:00 PM,14/07/1995,8:00:00 AM,null,7927,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_56_1995_07_05.rpf
100,null,48.28,53.42,10,40,16/07/1995,8:00:00 PM,26/09/1995,1:00:00 PM,3600,7927,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_22_1995_07_16.rpf
100,OLD BONAVENTURE,48.28,53.42,10,40,16/07/1995,8:00:00 PM,26/09/1995,1:00:00 PM,60,7927,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_39_1995_07_16.rpf
100,OLD BONAVENTURE,48.28,53.42,10,null,16/07/1995,8:00:00 PM,26/09/1995,1:00:00 PM,null,7927,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_53_1995_07_16.rpf
100,OLD BONAVENTURE,48.28,53.14,10,40,26/05/1996,2:00:00 PM,21/09/1996,4:00:00 PM,60,8956,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\OldBonaventure\MTR_49_1996_05_26.rpf
