SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
110,STOCK COVE,48.71,53.76,9,null,25/07/1988,7:00:00 PM,17/11/1988,1:30:00 PM,null,63304,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_24_1988_07_25.rpf
110,STOCK COVE,48.71,53.76,9,null,25/07/1988,6:35:00 PM,17/11/1988,2:00:00 PM,null,63315,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_40_1988_07_25.rpf
110,null,48.71,53.76,9,9,25/07/1988,7:00:00 PM,11/01/1989,4:00:00 AM,10800,63304,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_58_1988_07_25.rpf
110,null,48.71,53.76,9,9,25/07/1988,8:00:00 PM,17/11/1988,8:00:00 AM,7200,63315,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_66_1988_07_25.rpf
110,STOCK COVE,48.78,53.76,9,null,17/11/1988,2:10:00 PM,11/01/1989,4:00:00 PM,null,63304,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_57_1988_11_17.rpf
110,null,48.71,53.76,9,9,15/05/1989,3:00:00 PM,25/09/1989,2:00:00 PM,3600,3261,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_97_1989_05_15.rpf
110,null,48.71,53.76,9,9,25/09/1989,5:00:00 PM,22/11/1989,7:00:00 PM,3600,4360,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_117_1989_09_25.rpf
110,null,48.71,53.76,9,9,24/11/1989,12:00:00 PM,18/04/1990,3:00:00 PM,3600,4323,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_67_1989_11_24.rpf
110,null,48.71,53.76,9,9,18/04/1990,5:00:00 PM,17/09/1990,5:00:00 PM,3600,5458,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_50_1990_04_18.rpf
110,null,48.71,53.76,10,10,17/09/1990,6:00:00 PM,19/11/1990,6:00:00 PM,3600,3260,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_14_1990_09_17.rpf
110,null,48.71,53.76,9,9,19/11/1990,8:00:00 PM,06/05/1991,12:00:00 PM,3600,3262,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_101_1990_11_19.rpf
110,null,48.71,53.76,9,9,06/05/1991,6:00:00 PM,26/05/1992,5:00:00 PM,3600,3287,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_3_1991_05_06.rpf
110,null,48.71,53.76,9,9,23/08/1991,4:00:00 PM,27/11/1991,5:00:00 PM,3600,5516,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_84_1991_08_23.rpf
110,null,48.71,53.76,9,9,26/05/1992,7:00:00 PM,20/08/1992,3:00:00 PM,3600,3213,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_41_1992_05_26.rpf
110,null,48.71,53.76,9,9,20/08/1992,4:00:00 PM,24/11/1992,5:00:00 PM,3600,7873,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_53_1992_08_20.rpf
110,null,48.71,53.76,10,10,24/11/1992,6:00:00 PM,05/05/1993,5:00:00 PM,3600,7819,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_85_1992_11_24.rpf
110,null,48.71,53.76,10,10,05/05/1993,6:00:00 PM,26/08/1993,4:00:00 PM,3600,3267,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_92_1993_05_05.rpf
110,null,48.71,53.76,10,10,26/08/1993,5:00:00 PM,01/12/1993,6:00:00 PM,3600,5475,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_104_1993_08_26.rpf
110,null,48.71,53.76,10,10,26/08/1993,5:00:00 PM,01/12/1993,6:00:00 PM,3600,7938,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\StockCove\MTR_9_1993_08_26.rpf
