SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
313,null,48.66,53.66,0,0,13/12/1967,11:30:00 AM,17/12/1967,3:30:00 AM,14400,1066,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_30_1967_12_13.rpf
295,null,48.71,53.76,27,27,30/10/1968,10:30:00 AM,26/11/1968,10:30:00 AM,14400,106,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_19_1968_10_30.rpf
106,null,47.9,54.21,13,15,21/03/1979,5:30:00 PM,17/04/1979,9:30:00 AM,14400,1892,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_8_1979_03_21.rpf
106,null,47.51,53.04,9,20,30/05/1989,4:00:00 PM,15/08/1989,12:00:00 AM,14400,63368,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_31_1989_05_30.rpf
106,UPPER GULLIES,47.51,53.04,9,null,26/05/1990,9:30:00 AM,31/07/1990,11:17:00 PM,null,62448,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_28_1990_05_26.rpf
106,UPPER GULLIES,47.3,53.02,9,null,26/05/1990,9:30:00 AM,28/07/1990,10:30:00 AM,null,62448,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_38_1990_05_26.rpf
106,null,47.51,53.04,9,20,26/05/1990,11:00:00 AM,31/07/1990,11:00:00 PM,7200,62448,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_7_1990_05_26.rpf
106,UPPER GULLIES,47.51,53.04,9,null,03/06/1991,11:30:00 AM,03/09/1991,4:32:00 PM,null,63282,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_13_1991_06_03.rpf
106,null,47.51,53.04,9,20,03/06/1991,3:00:00 PM,03/09/1991,3:00:00 PM,14400,63282,RYANTHERMOGRAPH,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_22_1991_06_03.rpf
106,Upper Gullies,47.51,53.04,9,null,03/06/1991,10:30:00 AM,03/09/1991,1:30:00 PM,null,63282,null,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\UpperGullies\MTR_9_1991_06_03.rpf
