SiteCode,SiteName,Latitude,Longitude,DeploymentSiteDepth,DeploymentDepth,DeploymentDate,DeploymentTime,RecoveredDate,TimeOfRecovery,SamplingSize,InstrumentNum,InstrumentType,Path
189,null,48.71,53.76,9,9,27/08/1975,1:00:00 PM,24/09/1975,5:00:00 PM,14400,14076,RYAN,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_25_1975_08_27.rpf
189,WINTERTON,47.94,53.35,10,18,05/06/1994,12:00:00 PM,29/08/1994,3:00:00 PM,60,6599,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_31_1994_06_05.rpf
189,null,47.94,53.35,10,18,05/06/1994,12:00:00 PM,29/08/1994,3:00:00 PM,3600,6599,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_4_1994_06_05.rpf
189,WINTERTON,47.94,53.35,10,18,22/06/1995,12:00:00 PM,22/08/1995,11:00:00 AM,60,7928,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_27_1995_06_22.rpf
189,null,47.94,53.35,10,18,22/06/1995,12:00:00 PM,22/08/1995,11:00:00 AM,3600,7928,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_3_1995_06_22.rpf
189,WINTERTON,47.94,53.35,11,17,02/06/1997,1:00:00 PM,16/09/1997,4:00:00 PM,60,7935,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_33_1997_06_02.rpf
189,null,47.94,53.35,11,17,02/06/1997,1:00:00 PM,16/09/1997,4:00:00 PM,3600,7935,SEAMONUTR-B,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_6_1997_06_02.rpf
189,WINTERTON,47.94,53.35,11,0,29/05/1998,8:00:00 PM,06/10/1998,4:00:00 PM,60,6741,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_10_1998_05_29.rpf
189,WINTERTON,47.94,53.35,9,16,19/05/2000,10:00:00 PM,27/09/2000,11:00:00 AM,60,7943,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_30_2000_05_19.rpf
189,WINTERTON,47.94,53.35,6,13,16/05/2001,4:00:00 PM,25/09/2001,12:00:00 PM,60,6593,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_12_2001_05_16.rpf
189,WINTERTON,47.94,53.35,5,13,31/05/2002,1:00:00 PM,07/10/2002,5:00:00 PM,60,6782,Hugrun,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_19_2002_05_31.rpf
null,Winterton,null,null,null,null,19/05/2003,12:00:00 PM,17/12/2003,5:05:19 PM,0.041666667,2187,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_15_2003_05_19.rpf
189,WINTERTON,47.94,53.35,10,16,22/05/2003,1:00:00 PM,20/10/2003,10:00:00 AM,60,2187,Minilog,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_14_2003_05_22.rpf
null,Winterton,null,null,null,null,18/05/2004,12:00:00 PM,25/09/2004,11:00:00 AM,0.041666667,3812,Minilog-T,C:\Users\KennedyDy\Desktop\Kennedy\Fixed\Headlands_New\Winterton\MTR_18_2004_05_18.rpf
