* ID=Minilog-II-T
* Serial Number=354547
* Study ID=Comfort Cove 2018
* Start Time=2018-05-21 18:39:38
* Finish Time=2018-11-28 15:39:38
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-05-21,18:39:38,5.75
2018-05-21,19:39:38,4.68
2018-05-21,20:39:38,4.64
2018-05-21,21:39:38,4.08
2018-05-21,22:39:38,3.19
2018-05-21,23:39:38,2.42
2018-05-22,00:39:38,2.33
2018-05-22,01:39:38,1.79
2018-05-22,02:39:38,2.03
2018-05-22,03:39:38,2.42
2018-05-22,04:39:38,3.98
2018-05-22,05:39:38,3.74
2018-05-22,06:39:38,3.99
2018-05-22,07:39:38,4.48
2018-05-22,08:39:38,4.86
2018-05-22,09:39:38,4.94
2018-05-22,10:39:38,4.93
2018-05-22,11:39:38,4.74
2018-05-22,12:39:38,3.87
2018-05-22,13:39:38,2.48
2018-05-22,14:39:38,2.17
2018-05-22,15:39:38,1.96
2018-05-22,16:39:38,2.40
2018-05-22,17:39:38,2.53
2018-05-22,18:39:38,2.87
2018-05-22,19:39:38,3.11
2018-05-22,20:39:38,3.40
2018-05-22,21:39:38,3.27
2018-05-22,22:39:38,3.05
2018-05-22,23:39:38,2.85
2018-05-23,00:39:38,2.61
2018-05-23,01:39:38,2.64
2018-05-23,02:39:38,2.58
2018-05-23,03:39:38,2.63
2018-05-23,04:39:38,2.58
2018-05-23,05:39:38,2.81
2018-05-23,06:39:38,2.98
2018-05-23,07:39:38,3.53
2018-05-23,08:39:38,3.77
2018-05-23,09:39:38,4.13
2018-05-23,10:39:38,4.26
2018-05-23,11:39:38,5.10
2018-05-23,12:39:38,5.02
2018-05-23,13:39:38,5.01
2018-05-23,14:39:38,5.03
2018-05-23,15:39:38,5.74
2018-05-23,16:39:38,5.79
2018-05-23,17:39:38,3.90
2018-05-23,18:39:38,4.08
2018-05-23,19:39:38,4.18
2018-05-23,20:39:38,2.86
2018-05-23,21:39:38,2.53
2018-05-23,22:39:38,1.69
2018-05-23,23:39:38,2.32
2018-05-24,00:39:38,2.25
2018-05-24,01:39:38,1.71
2018-05-24,02:39:38,1.67
2018-05-24,03:39:38,1.24
2018-05-24,04:39:38,1.12
2018-05-24,05:39:38,1.23
2018-05-24,06:39:38,1.45
2018-05-24,07:39:38,1.21
2018-05-24,08:39:38,1.41
2018-05-24,09:39:38,1.54
2018-05-24,10:39:38,1.45
2018-05-24,11:39:38,2.15
2018-05-24,12:39:38,1.76
2018-05-24,13:39:38,2.44
2018-05-24,14:39:38,0.96
2018-05-24,15:39:38,0.88
2018-05-24,16:39:38,0.96
2018-05-24,17:39:38,1.39
2018-05-24,18:39:38,2.56
2018-05-24,19:39:38,2.18
2018-05-24,20:39:38,2.28
2018-05-24,21:39:38,2.15
2018-05-24,22:39:38,2.20
2018-05-24,23:39:38,2.21
2018-05-25,00:39:38,2.25
2018-05-25,01:39:38,2.11
2018-05-25,02:39:38,1.85
2018-05-25,03:39:38,1.56
2018-05-25,04:39:38,1.47
2018-05-25,05:39:38,1.36
2018-05-25,06:39:38,1.70
2018-05-25,07:39:38,1.81
2018-05-25,08:39:38,1.99
2018-05-25,09:39:38,1.98
2018-05-25,10:39:38,2.20
2018-05-25,11:39:38,2.35
2018-05-25,12:39:38,2.32
2018-05-25,13:39:38,2.52
2018-05-25,14:39:38,2.58
2018-05-25,15:39:38,2.63
2018-05-25,16:39:38,2.95
2018-05-25,17:39:38,3.21
2018-05-25,18:39:38,3.16
2018-05-25,19:39:38,3.17
2018-05-25,20:39:38,3.04
2018-05-25,21:39:38,3.04
2018-05-25,22:39:38,3.09
2018-05-25,23:39:38,3.15
2018-05-26,00:39:38,3.15
2018-05-26,01:39:38,3.15
2018-05-26,02:39:38,3.22
2018-05-26,03:39:38,3.22
2018-05-26,04:39:38,3.19
2018-05-26,05:39:38,3.24
2018-05-26,06:39:38,3.30
2018-05-26,07:39:38,3.36
2018-05-26,08:39:38,3.51
2018-05-26,09:39:38,3.56
2018-05-26,10:39:38,3.60
2018-05-26,11:39:38,3.64
2018-05-26,12:39:38,3.73
2018-05-26,13:39:38,3.78
2018-05-26,14:39:38,3.85
2018-05-26,15:39:38,3.76
2018-05-26,16:39:38,3.98
2018-05-26,17:39:38,3.44
2018-05-26,18:39:38,3.61
2018-05-26,19:39:38,3.61
2018-05-26,20:39:38,3.56
2018-05-26,21:39:38,3.59
2018-05-26,22:39:38,3.56
2018-05-26,23:39:38,3.55
2018-05-27,00:39:38,3.58
2018-05-27,01:39:38,3.51
2018-05-27,02:39:38,3.82
2018-05-27,03:39:38,3.64
2018-05-27,04:39:38,3.41
2018-05-27,05:39:38,3.24
2018-05-27,06:39:38,1.51
2018-05-27,07:39:38,0.93
2018-05-27,08:39:38,1.12
2018-05-27,09:39:38,1.63
2018-05-27,10:39:38,1.47
2018-05-27,11:39:38,1.79
2018-05-27,12:39:38,2.88
2018-05-27,13:39:38,3.89
2018-05-27,14:39:38,4.00
2018-05-27,15:39:38,3.96
2018-05-27,16:39:38,2.41
2018-05-27,17:39:38,2.77
2018-05-27,18:39:38,1.13
2018-05-27,19:39:38,0.72
2018-05-27,20:39:38,1.11
2018-05-27,21:39:38,1.23
2018-05-27,22:39:38,1.54
2018-05-27,23:39:38,1.78
2018-05-28,00:39:38,2.19
2018-05-28,01:39:38,2.40
2018-05-28,02:39:38,2.47
2018-05-28,03:39:38,2.38
2018-05-28,04:39:38,2.49
2018-05-28,05:39:38,2.15
2018-05-28,06:39:38,1.85
2018-05-28,07:39:38,3.02
2018-05-28,08:39:38,3.07
2018-05-28,09:39:38,3.20
2018-05-28,10:39:38,3.22
2018-05-28,11:39:38,3.09
2018-05-28,12:39:38,3.25
2018-05-28,13:39:38,3.45
2018-05-28,14:39:38,3.58
2018-05-28,15:39:38,3.59
2018-05-28,16:39:38,4.49
2018-05-28,17:39:38,4.23
2018-05-28,18:39:38,4.29
2018-05-28,19:39:38,4.14
2018-05-28,20:39:38,3.62
2018-05-28,21:39:38,3.33
2018-05-28,22:39:38,3.41
2018-05-28,23:39:38,3.50
2018-05-29,00:39:38,3.67
2018-05-29,01:39:38,4.07
2018-05-29,02:39:38,4.28
2018-05-29,03:39:38,4.26
2018-05-29,04:39:38,4.40
2018-05-29,05:39:38,4.42
2018-05-29,06:39:38,4.31
2018-05-29,07:39:38,4.24
2018-05-29,08:39:38,4.32
2018-05-29,09:39:38,4.36
2018-05-29,10:39:38,4.41
2018-05-29,11:39:38,4.41
2018-05-29,12:39:38,4.56
2018-05-29,13:39:38,4.54
2018-05-29,14:39:38,4.57
2018-05-29,15:39:38,4.57
2018-05-29,16:39:38,4.54
2018-05-29,17:39:38,4.55
2018-05-29,18:39:38,4.70
2018-05-29,19:39:38,4.66
2018-05-29,20:39:38,4.68
2018-05-29,21:39:38,4.69
2018-05-29,22:39:38,4.70
2018-05-29,23:39:38,4.69
2018-05-30,00:39:38,4.76
2018-05-30,01:39:38,4.84
2018-05-30,02:39:38,4.96
2018-05-30,03:39:38,5.25
2018-05-30,04:39:38,5.27
2018-05-30,05:39:38,5.26
2018-05-30,06:39:38,5.24
2018-05-30,07:39:38,5.23
2018-05-30,08:39:38,5.21
2018-05-30,09:39:38,5.15
2018-05-30,10:39:38,4.76
2018-05-30,11:39:38,4.52
2018-05-30,12:39:38,3.13
2018-05-30,13:39:38,3.33
2018-05-30,14:39:38,3.21
2018-05-30,15:39:38,3.21
2018-05-30,16:39:38,3.00
2018-05-30,17:39:38,3.10
2018-05-30,18:39:38,3.04
2018-05-30,19:39:38,2.77
2018-05-30,20:39:38,2.58
2018-05-30,21:39:38,2.56
2018-05-30,22:39:38,2.52
2018-05-30,23:39:38,2.39
2018-05-31,00:39:38,2.44
2018-05-31,01:39:38,2.37
2018-05-31,02:39:38,2.42
2018-05-31,03:39:38,2.72
2018-05-31,04:39:38,2.72
2018-05-31,05:39:38,2.70
2018-05-31,06:39:38,2.77
2018-05-31,07:39:38,2.93
2018-05-31,08:39:38,2.82
2018-05-31,09:39:38,2.18
2018-05-31,10:39:38,2.27
2018-05-31,11:39:38,2.95
2018-05-31,12:39:38,2.72
2018-05-31,13:39:38,2.75
2018-05-31,14:39:38,2.66
2018-05-31,15:39:38,2.97
2018-05-31,16:39:38,2.91
2018-05-31,17:39:38,3.46
2018-05-31,18:39:38,3.43
2018-05-31,19:39:38,3.31
2018-05-31,20:39:38,3.31
2018-05-31,21:39:38,3.02
2018-05-31,22:39:38,3.01
2018-05-31,23:39:38,3.12
2018-06-01,00:39:38,3.19
2018-06-01,01:39:38,3.04
2018-06-01,02:39:38,3.13
2018-06-01,03:39:38,3.28
2018-06-01,04:39:38,3.30
2018-06-01,05:39:38,3.49
2018-06-01,06:39:38,3.69
2018-06-01,07:39:38,3.71
2018-06-01,08:39:38,3.68
2018-06-01,09:39:38,3.70
2018-06-01,10:39:38,3.74
2018-06-01,11:39:38,3.81
2018-06-01,12:39:38,3.89
2018-06-01,13:39:38,3.80
2018-06-01,14:39:38,3.82
2018-06-01,15:39:38,3.78
2018-06-01,16:39:38,3.80
2018-06-01,17:39:38,3.75
2018-06-01,18:39:38,4.01
2018-06-01,19:39:38,3.85
2018-06-01,20:39:38,3.78
2018-06-01,21:39:38,3.77
2018-06-01,22:39:38,3.81
2018-06-01,23:39:38,3.89
2018-06-02,00:39:38,4.04
2018-06-02,01:39:38,4.02
2018-06-02,02:39:38,4.02
2018-06-02,03:39:38,4.05
2018-06-02,04:39:38,4.07
2018-06-02,05:39:38,3.87
2018-06-02,06:39:38,4.11
2018-06-02,07:39:38,3.90
2018-06-02,08:39:38,3.87
2018-06-02,09:39:38,3.98
2018-06-02,10:39:38,4.02
2018-06-02,11:39:38,4.07
2018-06-02,12:39:38,4.14
2018-06-02,13:39:38,4.15
2018-06-02,14:39:38,4.18
2018-06-02,15:39:38,4.15
2018-06-02,16:39:38,4.15
2018-06-02,17:39:38,4.16
2018-06-02,18:39:38,4.22
2018-06-02,19:39:38,4.20
2018-06-02,20:39:38,4.95
2018-06-02,21:39:38,4.46
2018-06-02,22:39:38,6.34
2018-06-02,23:39:38,6.28
2018-06-03,00:39:38,5.70
2018-06-03,01:39:38,5.77
2018-06-03,02:39:38,5.74
2018-06-03,03:39:38,5.70
2018-06-03,04:39:38,5.75
2018-06-03,05:39:38,5.81
2018-06-03,06:39:38,5.85
2018-06-03,07:39:38,5.88
2018-06-03,08:39:38,5.87
2018-06-03,09:39:38,4.98
2018-06-03,10:39:38,4.84
2018-06-03,11:39:38,5.39
2018-06-03,12:39:38,4.80
2018-06-03,13:39:38,4.48
2018-06-03,14:39:38,4.28
2018-06-03,15:39:38,4.31
2018-06-03,16:39:38,4.27
2018-06-03,17:39:38,4.13
2018-06-03,18:39:38,3.97
2018-06-03,19:39:38,4.52
2018-06-03,20:39:38,3.66
2018-06-03,21:39:38,3.65
2018-06-03,22:39:38,3.45
2018-06-03,23:39:38,3.33
2018-06-04,00:39:38,3.23
2018-06-04,01:39:38,3.03
2018-06-04,02:39:38,3.32
2018-06-04,03:39:38,3.26
2018-06-04,04:39:38,3.38
2018-06-04,05:39:38,3.21
2018-06-04,06:39:38,3.03
2018-06-04,07:39:38,3.15
2018-06-04,08:39:38,3.09
2018-06-04,09:39:38,2.99
2018-06-04,10:39:38,3.04
2018-06-04,11:39:38,2.88
2018-06-04,12:39:38,3.04
2018-06-04,13:39:38,2.85
2018-06-04,14:39:38,2.73
2018-06-04,15:39:38,3.04
2018-06-04,16:39:38,2.80
2018-06-04,17:39:38,2.86
2018-06-04,18:39:38,2.75
2018-06-04,19:39:38,2.74
2018-06-04,20:39:38,2.89
2018-06-04,21:39:38,2.73
2018-06-04,22:39:38,2.93
