* ID=Minilog-II-T
* Serial Number=353783
* Study ID=Melrose 2018 (15m)
* Start Time=2018-06-15 14:27:52
* Finish Time=2018-10-10 11:27:52
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-06-15,14:27:52,3.78
2018-06-15,15:27:52,3.85
2018-06-15,16:27:52,3.78
2018-06-15,17:27:52,3.77
2018-06-15,18:27:52,3.73
2018-06-15,19:27:52,3.71
2018-06-15,20:27:52,3.67
2018-06-15,21:27:52,3.69
2018-06-15,22:27:52,3.73
2018-06-15,23:27:52,3.76
2018-06-16,00:27:52,3.70
2018-06-16,01:27:52,3.63
2018-06-16,02:27:52,3.45
2018-06-16,03:27:52,3.34
2018-06-16,04:27:52,3.25
2018-06-16,05:27:52,3.14
2018-06-16,06:27:52,2.96
2018-06-16,07:27:52,2.82
2018-06-16,08:27:52,2.67
2018-06-16,09:27:52,2.70
2018-06-16,10:27:52,2.86
2018-06-16,11:27:52,2.85
2018-06-16,12:27:52,2.93
2018-06-16,13:27:52,3.05
2018-06-16,14:27:52,3.33
2018-06-16,15:27:52,3.98
2018-06-16,16:27:52,3.98
2018-06-16,17:27:52,4.02
2018-06-16,18:27:52,3.95
2018-06-16,19:27:52,3.96
2018-06-16,20:27:52,3.88
2018-06-16,21:27:52,4.16
2018-06-16,22:27:52,4.23
2018-06-16,23:27:52,4.36
2018-06-17,00:27:52,4.23
2018-06-17,01:27:52,4.28
2018-06-17,02:27:52,4.29
2018-06-17,03:27:52,4.21
2018-06-17,04:27:52,4.18
2018-06-17,05:27:52,4.18
2018-06-17,06:27:52,4.20
2018-06-17,07:27:52,4.19
2018-06-17,08:27:52,4.17
2018-06-17,09:27:52,4.15
2018-06-17,10:27:52,4.17
2018-06-17,11:27:52,4.17
2018-06-17,12:27:52,4.28
2018-06-17,13:27:52,4.45
2018-06-17,14:27:52,4.55
2018-06-17,15:27:52,4.53
2018-06-17,16:27:52,4.56
2018-06-17,17:27:52,4.61
2018-06-17,18:27:52,4.66
2018-06-17,19:27:52,4.64
2018-06-17,20:27:52,4.70
2018-06-17,21:27:52,4.74
2018-06-17,22:27:52,4.69
2018-06-17,23:27:52,4.69
2018-06-18,00:27:52,4.66
2018-06-18,01:27:52,4.64
2018-06-18,02:27:52,4.61
2018-06-18,03:27:52,4.62
2018-06-18,04:27:52,4.65
2018-06-18,05:27:52,4.64
2018-06-18,06:27:52,4.63
2018-06-18,07:27:52,4.62
2018-06-18,08:27:52,4.62
2018-06-18,09:27:52,4.62
2018-06-18,10:27:52,4.61
2018-06-18,11:27:52,4.62
2018-06-18,12:27:52,4.62
2018-06-18,13:27:52,4.57
2018-06-18,14:27:52,4.56
2018-06-18,15:27:52,4.51
2018-06-18,16:27:52,4.52
2018-06-18,17:27:52,4.42
2018-06-18,18:27:52,3.91
2018-06-18,19:27:52,3.62
2018-06-18,20:27:52,3.59
2018-06-18,21:27:52,3.40
2018-06-18,22:27:52,3.31
2018-06-18,23:27:52,3.20
2018-06-19,00:27:52,2.76
2018-06-19,01:27:52,2.40
2018-06-19,02:27:52,2.21
2018-06-19,03:27:52,2.11
2018-06-19,04:27:52,2.16
2018-06-19,05:27:52,1.97
2018-06-19,06:27:52,1.81
2018-06-19,07:27:52,1.64
2018-06-19,08:27:52,1.61
2018-06-19,09:27:52,1.56
2018-06-19,10:27:52,1.59
2018-06-19,11:27:52,1.55
2018-06-19,12:27:52,1.31
2018-06-19,13:27:52,1.20
2018-06-19,14:27:52,0.95
2018-06-19,15:27:52,0.79
2018-06-19,16:27:52,0.65
2018-06-19,17:27:52,0.61
2018-06-19,18:27:52,0.57
2018-06-19,19:27:52,0.55
2018-06-19,20:27:52,0.55
2018-06-19,21:27:52,0.54
2018-06-19,22:27:52,0.61
2018-06-19,23:27:52,0.63
2018-06-20,00:27:52,0.68
2018-06-20,01:27:52,0.93
2018-06-20,02:27:52,1.34
2018-06-20,03:27:52,1.80
2018-06-20,04:27:52,1.91
2018-06-20,05:27:52,1.98
2018-06-20,06:27:52,2.07
2018-06-20,07:27:52,2.76
2018-06-20,08:27:52,3.42
2018-06-20,09:27:52,3.76
2018-06-20,10:27:52,3.79
2018-06-20,11:27:52,3.91
2018-06-20,12:27:52,3.81
2018-06-20,13:27:52,3.76
2018-06-20,14:27:52,3.66
2018-06-20,15:27:52,3.35
2018-06-20,16:27:52,3.68
2018-06-20,17:27:52,3.61
2018-06-20,18:27:52,3.54
2018-06-20,19:27:52,2.80
2018-06-20,20:27:52,3.10
2018-06-20,21:27:52,3.13
2018-06-20,22:27:52,2.86
2018-06-20,23:27:52,2.65
2018-06-21,00:27:52,2.96
2018-06-21,01:27:52,3.05
2018-06-21,02:27:52,3.00
2018-06-21,03:27:52,3.00
2018-06-21,04:27:52,3.17
2018-06-21,05:27:52,3.25
2018-06-21,06:27:52,3.36
2018-06-21,07:27:52,3.41
2018-06-21,08:27:52,3.31
2018-06-21,09:27:52,3.09
2018-06-21,10:27:52,2.94
2018-06-21,11:27:52,2.71
2018-06-21,12:27:52,2.58
2018-06-21,13:27:52,2.54
2018-06-21,14:27:52,2.48
2018-06-21,15:27:52,2.44
2018-06-21,16:27:52,2.38
2018-06-21,17:27:52,2.39
2018-06-21,18:27:52,2.30
2018-06-21,19:27:52,2.17
2018-06-21,20:27:52,2.21
2018-06-21,21:27:52,2.16
2018-06-21,22:27:52,2.12
2018-06-21,23:27:52,2.12
2018-06-22,00:27:52,2.06
2018-06-22,01:27:52,2.06
2018-06-22,02:27:52,2.04
2018-06-22,03:27:52,2.09
2018-06-22,04:27:52,2.18
2018-06-22,05:27:52,2.47
2018-06-22,06:27:52,2.77
2018-06-22,07:27:52,2.94
2018-06-22,08:27:52,3.11
2018-06-22,09:27:52,3.24
2018-06-22,10:27:52,3.49
2018-06-22,11:27:52,3.55
2018-06-22,12:27:52,3.67
2018-06-22,13:27:52,3.76
2018-06-22,14:27:52,4.15
2018-06-22,15:27:52,4.33
2018-06-22,16:27:52,4.44
2018-06-22,17:27:52,4.56
2018-06-22,18:27:52,4.74
2018-06-22,19:27:52,4.76
