* ID=Minilog-II-T
* Serial Number=353785
* Study ID=Melrose 2017 - 15m
* Start Time=2017-06-28 19:00:00
* Finish Time=2017-10-18 03:00:00
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2017-06-28,19:00:00,5.43
2017-06-28,20:00:00,3.53
2017-06-28,21:00:00,6.26
2017-06-28,22:00:00,6.42
2017-06-28,23:00:00,6.43
2017-06-29,00:00:00,6.3
2017-06-29,01:00:00,6.32
2017-06-29,02:00:00,6.4
2017-06-29,03:00:00,6.48
2017-06-29,04:00:00,5.86
2017-06-29,05:00:00,2.53
2017-06-29,06:00:00,1.91
2017-06-29,07:00:00,1.65
2017-06-29,08:00:00,1.44
2017-06-29,09:00:00,1.45
2017-06-29,10:00:00,1.5
2017-06-29,11:00:00,2.27
2017-06-29,12:00:00,3.39
2017-06-29,13:00:00,5.52
2017-06-29,14:00:00,6.2
2017-06-29,15:00:00,6.28
2017-06-29,16:00:00,6.52
2017-06-29,17:00:00,3.46
2017-06-29,18:00:00,1.66
2017-06-29,19:00:00,1.68
2017-06-29,20:00:00,1.21
2017-06-29,21:00:00,1.39
2017-06-29,22:00:00,1.18
2017-06-29,23:00:00,1.15
2017-06-30,00:00:00,1.08
2017-06-30,01:00:00,1.07
2017-06-30,02:00:00,1.1
2017-06-30,03:00:00,1.23
2017-06-30,04:00:00,1.02
2017-06-30,05:00:00,1.0
2017-06-30,06:00:00,0.93
2017-06-30,07:00:00,0.86
2017-06-30,08:00:00,0.84
2017-06-30,09:00:00,0.94
2017-06-30,10:00:00,1.02
2017-06-30,11:00:00,1.09
2017-06-30,12:00:00,1.67
2017-06-30,13:00:00,2.15
2017-06-30,14:00:00,3.56
2017-06-30,15:00:00,5.05
2017-06-30,16:00:00,6.04
2017-06-30,17:00:00,5.85
2017-06-30,18:00:00,6.1
2017-06-30,19:00:00,5.79
2017-06-30,20:00:00,6.43
2017-06-30,21:00:00,4.96
2017-06-30,22:00:00,3.77
2017-06-30,23:00:00,4.99
2017-07-01,00:00:00,6.1
2017-07-01,01:00:00,5.97
2017-07-01,02:00:00,5.74
2017-07-01,03:00:00,6.77
2017-07-01,04:00:00,4.68
2017-07-01,05:00:00,2.68
2017-07-01,06:00:00,2.48
2017-07-01,07:00:00,2.2
2017-07-01,08:00:00,1.66
2017-07-01,09:00:00,1.42
2017-07-01,10:00:00,1.31
2017-07-01,11:00:00,1.11
2017-07-01,12:00:00,1.48
2017-07-01,13:00:00,1.8
2017-07-01,14:00:00,2.03
2017-07-01,15:00:00,4.66
2017-07-01,16:00:00,4.93
2017-07-01,17:00:00,7.19
2017-07-01,18:00:00,6.13
2017-07-01,19:00:00,6.12
2017-07-01,20:00:00,6.5
2017-07-01,21:00:00,6.67
2017-07-01,22:00:00,6.96
2017-07-01,23:00:00,7.08
2017-07-02,00:00:00,7.16
2017-07-02,01:00:00,7.27
2017-07-02,02:00:00,7.32
2017-07-02,03:00:00,7.45
2017-07-02,04:00:00,7.59
2017-07-02,05:00:00,7.58
2017-07-02,06:00:00,7.58
2017-07-02,07:00:00,7.61
2017-07-02,08:00:00,7.25
2017-07-02,09:00:00,7.03
2017-07-02,10:00:00,2.32
2017-07-02,11:00:00,1.7
2017-07-02,12:00:00,1.94
2017-07-02,13:00:00,1.66
2017-07-02,14:00:00,1.68
2017-07-02,15:00:00,1.74
