* ID=Minilog-II-T
* Serial Number=354548
* Study ID=Melrose 2018 (5m)
* Start Time=2018-06-15 14:31:13
* Finish Time=2018-10-10 11:31:13
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-06-15,14:31:13,3.84
2018-06-15,15:31:13,3.91
2018-06-15,16:31:13,3.89
2018-06-15,17:31:13,3.87
2018-06-15,18:31:13,3.88
2018-06-15,19:31:13,3.91
2018-06-15,20:31:13,3.94
2018-06-15,21:31:13,4.01
2018-06-15,22:31:13,4.00
2018-06-15,23:31:13,3.90
2018-06-16,00:31:13,3.90
2018-06-16,01:31:13,3.91
2018-06-16,02:31:13,3.94
2018-06-16,03:31:13,3.86
2018-06-16,04:31:13,3.89
2018-06-16,05:31:13,3.88
2018-06-16,06:31:13,3.83
2018-06-16,07:31:13,3.83
2018-06-16,08:31:13,3.87
2018-06-16,09:31:13,3.82
2018-06-16,10:31:13,3.83
2018-06-16,11:31:13,3.87
2018-06-16,12:31:13,3.91
2018-06-16,13:31:13,3.99
2018-06-16,14:31:13,4.06
2018-06-16,15:31:13,4.11
2018-06-16,16:31:13,4.31
2018-06-16,17:31:13,4.27
2018-06-16,18:31:13,4.39
2018-06-16,19:31:13,4.36
2018-06-16,20:31:13,4.36
2018-06-16,21:31:13,4.41
2018-06-16,22:31:13,4.37
2018-06-16,23:31:13,4.30
2018-06-17,00:31:13,4.38
2018-06-17,01:31:13,4.46
2018-06-17,02:31:13,4.31
2018-06-17,03:31:13,4.29
2018-06-17,04:31:13,4.28
2018-06-17,05:31:13,4.44
2018-06-17,06:31:13,4.51
2018-06-17,07:31:13,4.51
2018-06-17,08:31:13,4.46
2018-06-17,09:31:13,4.45
2018-06-17,10:31:13,4.54
2018-06-17,11:31:13,4.57
2018-06-17,12:31:13,4.60
2018-06-17,13:31:13,4.65
2018-06-17,14:31:13,4.69
2018-06-17,15:31:13,4.77
2018-06-17,16:31:13,4.80
2018-06-17,17:31:13,4.86
2018-06-17,18:31:13,4.95
2018-06-17,19:31:13,4.97
2018-06-17,20:31:13,4.96
2018-06-17,21:31:13,4.91
2018-06-17,22:31:13,4.67
2018-06-17,23:31:13,4.79
2018-06-18,00:31:13,4.75
2018-06-18,01:31:13,4.97
2018-06-18,02:31:13,4.87
2018-06-18,03:31:13,4.76
2018-06-18,04:31:13,4.67
2018-06-18,05:31:13,4.72
2018-06-18,06:31:13,4.70
2018-06-18,07:31:13,4.72
2018-06-18,08:31:13,4.71
2018-06-18,09:31:13,4.76
2018-06-18,10:31:13,4.75
2018-06-18,11:31:13,4.73
2018-06-18,12:31:13,4.69
2018-06-18,13:31:13,4.63
2018-06-18,14:31:13,4.71
2018-06-18,15:31:13,4.62
2018-06-18,16:31:13,4.69
2018-06-18,17:31:13,4.85
2018-06-18,18:31:13,4.83
2018-06-18,19:31:13,4.75
2018-06-18,20:31:13,4.75
2018-06-18,21:31:13,4.70
2018-06-18,22:31:13,4.65
2018-06-18,23:31:13,4.41
2018-06-19,00:31:13,4.45
2018-06-19,01:31:13,3.87
2018-06-19,02:31:13,3.48
2018-06-19,03:31:13,3.53
2018-06-19,04:31:13,3.30
2018-06-19,05:31:13,3.15
2018-06-19,06:31:13,2.81
2018-06-19,07:31:13,2.74
2018-06-19,08:31:13,2.64
2018-06-19,09:31:13,2.46
2018-06-19,10:31:13,2.39
2018-06-19,11:31:13,2.05
2018-06-19,12:31:13,1.62
2018-06-19,13:31:13,1.47
2018-06-19,14:31:13,1.21
2018-06-19,15:31:13,1.08
2018-06-19,16:31:13,0.90
2018-06-19,17:31:13,0.75
2018-06-19,18:31:13,0.70
2018-06-19,19:31:13,0.80
2018-06-19,20:31:13,0.92
2018-06-19,21:31:13,0.94
2018-06-19,22:31:13,0.80
2018-06-19,23:31:13,0.84
2018-06-20,00:31:13,0.87
2018-06-20,01:31:13,1.52
2018-06-20,02:31:13,1.80
2018-06-20,03:31:13,1.98
2018-06-20,04:31:13,2.07
2018-06-20,05:31:13,2.10
2018-06-20,06:31:13,3.03
2018-06-20,07:31:13,4.16
2018-06-20,08:31:13,4.11
2018-06-20,09:31:13,4.41
2018-06-20,10:31:13,4.41
2018-06-20,11:31:13,4.32
2018-06-20,12:31:13,4.28
2018-06-20,13:31:13,4.26
2018-06-20,14:31:13,4.22
2018-06-20,15:31:13,4.40
2018-06-20,16:31:13,4.44
2018-06-20,17:31:13,4.29
2018-06-20,18:31:13,4.18
2018-06-20,19:31:13,3.99
2018-06-20,20:31:13,3.76
2018-06-20,21:31:13,3.83
2018-06-20,22:31:13,4.00
2018-06-20,23:31:13,4.04
2018-06-21,00:31:13,3.98
2018-06-21,01:31:13,3.78
2018-06-21,02:31:13,3.69
2018-06-21,03:31:13,3.72
2018-06-21,04:31:13,3.76
2018-06-21,05:31:13,3.89
2018-06-21,06:31:13,3.78
2018-06-21,07:31:13,3.74
2018-06-21,08:31:13,3.64
2018-06-21,09:31:13,3.60
2018-06-21,10:31:13,3.61
2018-06-21,11:31:13,3.19
2018-06-21,12:31:13,2.94
2018-06-21,13:31:13,2.93
2018-06-21,14:31:13,2.76
2018-06-21,15:31:13,2.85
2018-06-21,16:31:13,2.76
2018-06-21,17:31:13,2.91
2018-06-21,18:31:13,2.67
2018-06-21,19:31:13,2.62
2018-06-21,20:31:13,2.70
2018-06-21,21:31:13,2.61
2018-06-21,22:31:13,2.32
2018-06-21,23:31:13,2.36
2018-06-22,00:31:13,2.33
2018-06-22,01:31:13,2.36
2018-06-22,02:31:13,2.34
2018-06-22,03:31:13,2.33
2018-06-22,04:31:13,2.90
2018-06-22,05:31:13,3.15
2018-06-22,06:31:13,3.45
2018-06-22,07:31:13,3.35
2018-06-22,08:31:13,3.64
2018-06-22,09:31:13,3.74
2018-06-22,10:31:13,3.89
2018-06-22,11:31:13,3.98
2018-06-22,12:31:13,3.75
2018-06-22,13:31:13,4.03
2018-06-22,14:31:13,4.24
2018-06-22,15:31:13,4.32
2018-06-22,16:31:13,4.49
2018-06-22,17:31:13,4.72
2018-06-22,18:31:13,4.76
2018-06-22,19:31:13,4.78
2018-06-22,20:31:13,4.80
2018-06-22,21:31:13,4.85
2018-06-22,22:31:13,4.91
2018-06-22,23:31:13,4.89
2018-06-23,00:31:13,5.00
2018-06-23,01:31:13,5.05
2018-06-23,02:31:13,5.10
2018-06-23,03:31:13,5.18
2018-06-23,04:31:13,5.22
2018-06-23,05:31:13,5.27
2018-06-23,06:31:13,5.28
2018-06-23,07:31:13,5.30
2018-06-23,08:31:13,5.32
2018-06-23,09:31:13,5.37
2018-06-23,10:31:13,5.38
2018-06-23,11:31:13,5.27
2018-06-23,12:31:13,5.40
2018-06-23,13:31:13,5.36
2018-06-23,14:31:13,5.41
2018-06-23,15:31:13,5.46
2018-06-23,16:31:13,5.56
2018-06-23,17:31:13,5.41
2018-06-23,18:31:13,4.91
2018-06-23,19:31:13,4.31
2018-06-23,20:31:13,3.78
2018-06-23,21:31:13,3.93
2018-06-23,22:31:13,3.28
2018-06-23,23:31:13,2.84
2018-06-24,00:31:13,2.56
2018-06-24,01:31:13,2.44
2018-06-24,02:31:13,2.35
2018-06-24,03:31:13,2.09
2018-06-24,04:31:13,1.83
2018-06-24,05:31:13,1.64
2018-06-24,06:31:13,1.59
2018-06-24,07:31:13,1.64
2018-06-24,08:31:13,1.58
2018-06-24,09:31:13,2.32
2018-06-24,10:31:13,2.50
2018-06-24,11:31:13,3.07
2018-06-24,12:31:13,3.37
2018-06-24,13:31:13,3.99
2018-06-24,14:31:13,4.35
2018-06-24,15:31:13,4.31
2018-06-24,16:31:13,4.50
2018-06-24,17:31:13,4.88
2018-06-24,18:31:13,5.06
2018-06-24,19:31:13,5.04
2018-06-24,20:31:13,5.43
2018-06-24,21:31:13,5.49
2018-06-24,22:31:13,5.91
2018-06-24,23:31:13,5.96
2018-06-25,00:31:13,5.93
2018-06-25,01:31:13,5.98
2018-06-25,02:31:13,6.02
2018-06-25,03:31:13,6.12
2018-06-25,04:31:13,6.05
2018-06-25,05:31:13,6.04
2018-06-25,06:31:13,6.05
2018-06-25,07:31:13,6.06
2018-06-25,08:31:13,6.06
2018-06-25,09:31:13,6.09
2018-06-25,10:31:13,6.16
2018-06-25,11:31:13,6.14
2018-06-25,12:31:13,6.21
2018-06-25,13:31:13,6.20
2018-06-25,14:31:13,6.21
2018-06-25,15:31:13,6.22
2018-06-25,16:31:13,6.23
2018-06-25,17:31:13,6.24
2018-06-25,18:31:13,6.24
2018-06-25,19:31:13,6.25
2018-06-25,20:31:13,6.26
2018-06-25,21:31:13,6.26
2018-06-25,22:31:13,6.27
2018-06-25,23:31:13,6.26
2018-06-26,00:31:13,6.19
2018-06-26,01:31:13,6.16
2018-06-26,02:31:13,6.12
2018-06-26,03:31:13,6.13
2018-06-26,04:31:13,6.03
2018-06-26,05:31:13,6.00
2018-06-26,06:31:13,6.00
2018-06-26,07:31:13,6.00
2018-06-26,08:31:13,5.97
2018-06-26,09:31:13,5.95
2018-06-26,10:31:13,5.94
2018-06-26,11:31:13,5.92
2018-06-26,12:31:13,5.90
2018-06-26,13:31:13,5.85
2018-06-26,14:31:13,5.88
2018-06-26,15:31:13,5.86
2018-06-26,16:31:13,5.87
2018-06-26,17:31:13,5.86
2018-06-26,18:31:13,5.86
2018-06-26,19:31:13,5.89
2018-06-26,20:31:13,5.90
2018-06-26,21:31:13,5.90
2018-06-26,22:31:13,5.87
2018-06-26,23:31:13,5.90
2018-06-27,00:31:13,5.89
2018-06-27,01:31:13,5.86
2018-06-27,02:31:13,5.85
2018-06-27,03:31:13,5.84
2018-06-27,04:31:13,5.83
2018-06-27,05:31:13,5.82
2018-06-27,06:31:13,5.81
2018-06-27,07:31:13,5.82
2018-06-27,08:31:13,5.81
2018-06-27,09:31:13,5.84
2018-06-27,10:31:13,5.88
2018-06-27,11:31:13,5.91
2018-06-27,12:31:13,5.90
2018-06-27,13:31:13,5.87
2018-06-27,14:31:13,5.87
2018-06-27,15:31:13,5.51
2018-06-27,16:31:13,4.77
2018-06-27,17:31:13,4.11
2018-06-27,18:31:13,3.92
2018-06-27,19:31:13,3.92
2018-06-27,20:31:13,4.07
2018-06-27,21:31:13,3.85
2018-06-27,22:31:13,3.86
2018-06-27,23:31:13,3.85
2018-06-28,00:31:13,3.87
2018-06-28,01:31:13,3.81
2018-06-28,02:31:13,3.67
2018-06-28,03:31:13,3.54
2018-06-28,04:31:13,3.58
2018-06-28,05:31:13,3.53
2018-06-28,06:31:13,3.60
2018-06-28,07:31:13,4.76
2018-06-28,08:31:13,4.43
2018-06-28,09:31:13,4.75
2018-06-28,10:31:13,4.60
2018-06-28,11:31:13,4.78
2018-06-28,12:31:13,4.64
2018-06-28,13:31:13,4.61
2018-06-28,14:31:13,4.25
2018-06-28,15:31:13,4.21
2018-06-28,16:31:13,4.06
2018-06-28,17:31:13,3.83
2018-06-28,18:31:13,3.89
2018-06-28,19:31:13,3.45
2018-06-28,20:31:13,3.53
2018-06-28,21:31:13,3.29
2018-06-28,22:31:13,3.11
2018-06-28,23:31:13,2.98
2018-06-29,00:31:13,2.72
2018-06-29,01:31:13,2.92
2018-06-29,02:31:13,2.67
2018-06-29,03:31:13,2.77
2018-06-29,04:31:13,2.75
2018-06-29,05:31:13,2.60
2018-06-29,06:31:13,2.46
2018-06-29,07:31:13,2.43
2018-06-29,08:31:13,2.33
2018-06-29,09:31:13,2.00
2018-06-29,10:31:13,2.05
2018-06-29,11:31:13,2.47
2018-06-29,12:31:13,2.34
2018-06-29,13:31:13,2.54
2018-06-29,14:31:13,3.05
2018-06-29,15:31:13,3.07
2018-06-29,16:31:13,3.08
2018-06-29,17:31:13,3.37
2018-06-29,18:31:13,3.33
2018-06-29,19:31:13,3.16
2018-06-29,20:31:13,3.00
2018-06-29,21:31:13,2.83
2018-06-29,22:31:13,2.74
2018-06-29,23:31:13,2.84
2018-06-30,00:31:13,2.52
2018-06-30,01:31:13,2.66
2018-06-30,02:31:13,2.35
2018-06-30,03:31:13,2.38
2018-06-30,04:31:13,2.35
2018-06-30,05:31:13,2.28
2018-06-30,06:31:13,2.27
2018-06-30,07:31:13,2.32
2018-06-30,08:31:13,2.43
2018-06-30,09:31:13,2.55
2018-06-30,10:31:13,2.74
2018-06-30,11:31:13,2.90
2018-06-30,12:31:13,3.00
2018-06-30,13:31:13,3.06
2018-06-30,14:31:13,3.11
2018-06-30,15:31:13,3.10
2018-06-30,16:31:13,3.17
2018-06-30,17:31:13,3.20
2018-06-30,18:31:13,3.27
2018-06-30,19:31:13,3.27
2018-06-30,20:31:13,3.36
2018-06-30,21:31:13,3.42
2018-06-30,22:31:13,3.43
2018-06-30,23:31:13,3.49
