* ID=Minilog-II-T
* Serial Number=350863
* Study ID=Winterton 2018
* Start Time=2018-05-23 10:22:30
* Finish Time=2018-10-12 15:22:30
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2018-05-03,10:22:30,1.47
2018-05-03,11:22:30,1.51
2018-05-03,12:22:30,1.50
2018-05-03,13:22:30,1.49
2018-05-03,14:22:30,1.48
2018-05-03,15:22:30,1.47
2018-05-03,16:22:30,1.38
2018-05-03,17:22:30,1.37
2018-05-03,18:22:30,1.37
2018-05-03,19:22:30,1.32
2018-05-03,20:22:30,1.35
2018-05-03,21:22:30,1.33
2018-05-03,22:22:30,1.22
2018-05-03,23:22:30,1.22
2018-05-04,00:22:30,1.22
2018-05-04,01:22:30,1.20
2018-05-04,02:22:30,0.72
2018-05-04,03:22:30,0.51
2018-05-04,04:22:30,0.22
2018-05-04,05:22:30,0.60
2018-05-04,06:22:30,0.25
2018-05-04,07:22:30,0.39
2018-05-04,08:22:30,0.69
2018-05-04,09:22:30,0.79
2018-05-04,10:22:30,0.58
2018-05-04,11:22:30,0.60
2018-05-04,12:22:30,0.66
2018-05-04,13:22:30,0.73
2018-05-04,14:22:30,0.75
2018-05-04,15:22:30,0.81
2018-05-04,16:22:30,0.91
2018-05-04,17:22:30,0.90
2018-05-04,18:22:30,0.90
2018-05-04,19:22:30,0.91
2018-05-04,20:22:30,0.93
2018-05-04,21:22:30,0.76
2018-05-04,22:22:30,0.79
2018-05-04,23:22:30,0.78
2018-05-05,00:22:30,0.83
2018-05-05,01:22:30,0.81
2018-05-05,02:22:30,0.80
2018-05-05,03:22:30,0.91
2018-05-05,04:22:30,0.99
2018-05-05,05:22:30,1.00
2018-05-05,06:22:30,0.97
2018-05-05,07:22:30,0.98
2018-05-05,08:22:30,0.96
2018-05-05,09:22:30,0.99
2018-05-05,10:22:30,1.07
2018-05-05,11:22:30,1.08
2018-05-05,12:22:30,1.10
2018-05-05,13:22:30,1.05
2018-05-05,14:22:30,0.86
2018-05-05,15:22:30,0.88
2018-05-05,16:22:30,-0.05
2018-05-05,17:22:30,0.10
2018-05-05,18:22:30,-0.30
2018-05-05,19:22:30,0.69
2018-05-05,20:22:30,0.66
2018-05-05,21:22:30,0.74
2018-05-05,22:22:30,0.82
2018-05-05,23:22:30,0.85
2018-05-06,00:22:30,0.93
2018-05-06,01:22:30,0.94
2018-05-06,02:22:30,0.94
2018-05-06,03:22:30,0.91
2018-05-06,04:22:30,0.91
2018-05-06,05:22:30,0.92
2018-05-06,06:22:30,0.92
2018-05-06,07:22:30,0.91
2018-05-06,08:22:30,0.93
2018-05-06,09:22:30,0.95
2018-05-06,10:22:30,0.95
