ShipTrip,Section,Station,Lat,Lon,Date,Day,Month,Year,TimeUTC,Season,T#,SampleID,TowDepth,DW_small,DW_large,corrDW_small,corrDW_large,Comments,Ship,Trip,Set,NewShipTrip,UID,BottomSampleID,TopSampleID
TEM230,S27,S27-01,47.5466666666666,-52.5866666666666,1998-10-24,24,10,1998,nan,,3359,,165.0,0.359,0.143,0.718,0.286,,,,,,,,
TEM230,S27,S27-01,47.5466666666666,-52.5866666666666,1998-11-05,5,11,1998,09:48:00,Fall,3363,,165.0,0.17,0.14,0.34,0.28,,,,,,,,
TEM232,S27,S27-01,47.5466666666666,-52.5866666666666,1998-11-22,22,11,1998,20:45:00,Fall,3361,,165.0,0.144,0.178,0.288,0.356,,,,,,,,
TEL075,S27,S27-01,47.5466666666666,-52.5866666666666,1998-11-24,24,11,1998,04:59:00,Fall,3360,,165.0,0.193,0.188,0.386,0.376,,,,,,,,
TEM234,S27,S27-01,47.5466666666666,-52.5866666666666,1999-03-29,29,3,1999,23:39:00,,3356,,165.0,0.248,0.248,0.496,0.496,,10,234,001,10234,10234001,50040.0,50049.0
CG206,S27,S27-01,47.5466666666666,-52.5866666666666,1999-05-04,4,5,1999,13:30:00,Spring,3357,,165.0,0.473,0.217,0.946,0.434,,27,206,001,27206,27206001,,
TEM237,S27,S27-01,47.5466666666666,-52.5866666666666,1999-05-07,7,5,1999,12:45:00,Spring,3355,,165.0,0.231,0.422,0.462,0.844,,10,237,001,10237,10237001,50060.0,50069.0
TEM238,S27,S27-01,47.5466666666666,-52.5866666666666,1999-05-10,10,5,1999,23:00:00,Spring,3353,,165.0,0.238,0.757,0.476,1.514,,10,238,001,10238,10238001,50070.0,50079.0
TEL078,S27,S27-01,47.5466666666666,-52.5866666666666,1999-05-13,13,5,1999,20:55:00,Spring,2512,,162.0,0.251,0.393,0.502,0.786,,39,078,001,39078,39078001,57102.0,57112.0
TEL078,,FishSet-05,47.5,-52.3416666666666,1999-05-14,14,5,1999,02:30:00,Spring,2515,,162.0,0.325,0.519,0.65,1.038,,39,078,005,39078,39078005,,
TEL078,,FishSet-08,47.5,-52.3083333333333,1999-05-14,14,5,1999,07:32:00,Spring,2514A,,84.0,0.185,0.147,0.37,0.294,,39,078,008,39078,39078008,,
TEL078,,FishSet-08,47.5,-52.3083333333333,1999-05-14,14,5,1999,07:32:00,Spring,2514A,,157.0,0.347,0.501,0.694,1.002,,39,078,008,39078,39078008,,
TEL078,,FishSet-05,47.5,-52.3416666666666,1999-05-14,14,5,1999,02:30:00,Spring,2515A,,80.0,0.184,0.23,0.368,0.46,,39,078,005,39078,39078005,,
TEL078,,FishSet-06,47.4366666666666,-52.2483333333333,1999-05-14,14,5,1999,11:55:00,Spring,2516A,,154.0,0.264,0.557,0.528,1.114,,39,078,006,39078,39078006,,
TEL078,,FishSet-06,47.4366666666666,-52.2483333333333,1999-05-14,14,5,1999,11:55:00,Spring,2516A,,77.0,0.208,0.166,0.416,0.332,,39,078,006,39078,39078006,,
TEL078,,Fish Set 11,47.4949999999999,-50.1866666666666,1999-05-15,15,5,1999,19:20:00,Spring,2518A,,50.0,0.197,0.245,0.394,0.49,,39,078,011,39078,39078011,,
TEL078,,Fish Set 11,47.4949999999999,-50.1866666666666,1999-05-15,15,5,1999,19:20:00,Spring,2518A,,90.0,0.318,0.234,0.636,0.468,,39,078,011,39078,39078011,,
TEL078,,Fish Set 14,47.9983333333333,-49.2133333333333,1999-05-16,16,5,1999,19:20:00,Spring,2517,,200.0,0.398,1.081,0.796,2.162,,39,078,014,39078,39078014,,
TEL078,,Fish Set 14,47.9983333333333,-49.2133333333333,1999-05-16,16,5,1999,19:20:00,Spring,2517A,,70.0,0.31,0.404,0.62,0.808,,39,078,014,39078,39078014,,
TEL078,,Fish Set 21,49.4866666666666,-49.8016666666666,1999-05-18,18,5,1999,20:00:00,Spring,2520,,260.0,0.287,1.762,0.574,3.524,,39,078,021,39078,39078021,,
TEL078,,Fish Set 21,49.4866666666666,-49.8016666666666,1999-05-18,18,5,1999,20:00:00,Spring,2520A,,100.0,0.221,0.345,0.442,0.69,,39,078,021,39078,39078021,,
TEM241,S27,S27-01,47.5466666666666,-52.5866666666666,1999-05-19,19,5,1999,19:40:00,Spring,3345,,165.0,,,,,,10,241,001,10241,10241001,,
TEL078,,Fish Set 26,48.38,-49.8849999999999,1999-05-19,19,5,1999,19:40:00,Spring,2524A,,100.0,0.189,0.297,0.378,0.594,,39,078,026,39078,39078026,,
TEL078,,Fish Set 26,48.38,-49.8849999999999,1999-05-19,19,5,1999,19:40:00,Spring,2524A,,225.0,0.143,1.093,0.286,2.186,,39,078,026,39078,39078026,,
TEL078,,SeqStn-091,48.9916666666666,-53.1416666666666,1999-05-20,20,5,1999,03:45:00,Spring,2522A,,166.0,0.123,0.352,0.246,0.704,,39,078,091,39078,39078091,,
TEL078,,SeqStn-091,48.9916666666666,-53.1416666666666,1999-05-20,20,5,1999,03:45:00,Spring,2522A,,332.0,1.686,0.852,3.372,1.704,,39,078,091,39078,39078091,,
TEL078,,SeqStn-079,48.4983333333333,-49.6049999999999,1999-05-20,20,5,1999,01:20:00,Spring,2525A,,100.0,0.192,0.86,0.384,1.72,,39,078,079,39078,39078079,,
TEL078,,SeqStn-079,48.4983333333333,-49.6049999999999,1999-05-20,20,5,1999,01:20:00,Spring,2525A,,300.0,0.215,1.872,0.43,3.744,,39,078,079,39078,39078079,,
TEM238,S27,S27-01,47.5466666666666,-52.5866666666666,1999-05-21,21,5,1999,06:00:00,Spring,3352,,165.0,0.118,0.239,0.236,0.478,,10,238,001,10238,10238001,50089.0,50088.0
TEL078,BB,BB-04,48.9166666666666,-52.3999999999999,1999-05-22,22,5,1999,17:23:00,Spring,2523,,300.0,0.326,1.185,0.652,2.37,,39,078,004,39078,39078004,,
TEL078,BB,BB-02,48.7999999999999,-52.75,1999-05-22,22,5,1999,11:02:00,Spring,2528,,182.0,0.068,0.628,0.136,1.256,,39,078,002,39078,39078002,57132.0,57137.0
TEL078,BB,BB-05,49.03,-52.0666666666666,1999-05-22,22,5,1999,20:45:00,Spring,2529,,285.0,0.616,0.259,1.232,0.518,,39,078,005,39078,39078005,,
TEL078,BB,BB-06,49.1,-51.8283333333333,1999-05-22,22,5,1999,23:15:00,Spring,2530,,280.0,0.2,0.372,0.4,0.744,,39,078,006,39078,39078006,57150.0,57155.0
TEL078,BB,BB-07,49.1899999999999,-51.5383333333333,1999-05-23,23,5,1999,02:55:00,Spring,2531,,300.0,0.201,0.727,0.402,1.454,,39,078,007,39078,39078007,57156.0,57161.0
TEL078,BB,BB-08,49.2783333333333,-51.2783333333333,1999-05-23,23,5,1999,06:09:00,Spring,2532,,300.0,0.295,2.082,0.59,4.164,,39,078,008,39078,39078008,57162.0,57167.0
TEL078,BB,BB-09,49.3666666666666,-51.0166666666666,1999-05-23,23,5,1999,09:05:00,Spring,2533,,300.0,0.28,1.638,0.56,3.276,,39,078,009,39078,39078009,57168.0,57173.0
TEL078,BB,BB-10,49.5166666666666,-50.5333333333333,1999-05-23,23,5,1999,16:07:00,Spring,2534,,300.0,0.253,1.575,0.506,3.15,,39,078,010,39078,39078010,,
TEL078,BB,BB-11,49.6833333333333,-50.0166666666666,1999-05-24,24,5,1999,00:04:00,Spring,2535,,300.0,0.115,0.635,0.23,1.27,,39,078,011,39078,39078011,,
TEL078,BB,BB-12,49.85,-49.5,1999-05-24,24,5,1999,04:20:00,Spring,2536,,300.0,0.027,2.314,0.054,4.628,,39,078,012,39078,39078012,,
TEL078,BB,BB-13,50.0,-49.0,1999-05-24,24,5,1999,07:49:00,Spring,2537,,300.0,0.096,1.229,0.192,2.458,,39,078,013,39078,39078013,57192.0,57197.0
